24
5-50-2	5-50-5	5-50-8	5-50-10	5-100-2	5-100-5	5-100-8	5-100-10	8-50-2	8-50-5	8-50-8	8-50-10	8-100-2	8-100-5	8-100-8	8-100-10	10-50-2	10-50-5	10-50-8	10-50-10	10-100-2	10-100-5	10-100-8	10-100-10
3.812969595	9.95922548	10.85474881	11.80899555	2.479518419	9.576108479	10.46391148	10.0675197	2.25182109	10.85429467	9.748575756	10.55512315	1.226239899	7.702897953	8.981608148	7.692278133	0.973774633	9.311905517	9.868677539	8.678698737	0	6.854080876	9.152782882	7.843296169
1.774975699	8.449449483	8.201684463	9.443022876	0.562200738	6.625056634	7.501387416	8.643993422	1.232915422	7.883512741	7.625286908	9.151852277	0	5.65641258	7.79435809	6.03313768	1.087415031	7.199993751	7.1570297	8.330950215	0.392280464	5.993298287	6.502787399	6.894796153
3.593867572	11.06438549	13.03304664	12.59344768	1.196457784	10.72918084	10.60318216	11.77283513	2.821664197	11.70837517	11.20377052	11.93263677	0.541360953	8.952519203	10.53711712	10.81139298	2.240625698	10.02442288	10.93379628	10.68921438	0	8.033033804	10.24229626	10.10952415
1.578258261	9.15269095	8.948440639	8.624396247	1.01876297	7.386949195	7.764435871	7.746829159	1.064428437	7.008187121	8.261965488	9.004122646	0.715000515	5.799669827	6.875110236	7.710464764	0.559930793	6.937044803	7.809945802	8.748296488	0	6.300465707	7.160301653	6.158834324
3.608089552	10.71308488	9.454070577	10.72228341	1.811414055	9.261528566	9.014492218	10.275841	1.439047701	9.211215381	10.22556265	8.741637262	0	6.959386737	8.383521665	9.997550542	1.312358821	8.493625312	8.595889301	10.22991802	0.313969609	6.925484569	7.95303731	7.641750606
2.263664627	8.38945727	8.461651247	8.723894326	1.367366266	6.988535643	8.268252486	9.296333504	1.352498479	9.533395371	8.757214623	10.19195606	0.067051956	6.838653073	6.821787243	7.65814433	1.38743484	7.612541948	8.124393425	8.328605122	0	6.250435235	8.012209215	8.694305667
2.295130366	9.248851224	11.10871813	10.23109875	0.035923579	8.313742585	9.121158181	7.961974055	0.40210767	8.211334437	8.90800969	8.835903051	0.32815584	6.671492997	7.974515594	6.649811992	1.17829916	8.093270989	7.776042144	8.510226688	0	5.298554926	7.549775492	7.934238515
4.705720696	11.21944534	11.06268098	11.55351558	0.926670901	9.315325137	10.46809244	10.51161678	2.214649638	8.122625648	10.71392824	11.46008473	0	7.65425072	8.027974155	8.461962062	0.970195242	9.012503134	8.737302349	9.900497356	0.037735046	8.082030829	8.654508449	7.226540362
3.498640388	9.624739786	10.68643845	11.08108141	2.072549818	8.578120671	9.35680186	9.333263044	1.649923867	8.69397578	8.329491929	8.860984903	0.725780152	7.139586403	8.785433887	8.335499231	1.713031186	8.678344535	10.34656615	10.39821056	0	6.837229089	7.077643765	8.858073201
2.611541617	10.06828374	10.77338999	9.948069625	1.042948828	8.018522157	9.520589596	9.801245367	1.222504807	8.588110327	9.868364135	9.35071571	1.242524878	7.012302817	9.127215521	8.796681353	1.903031026	7.931976737	8.663849282	9.70973397	0	6.760818256	8.756984771	8.544634606
