9
30-5	30-8	30-10	50-5	50-8	50-10	70-5	70-8	70-10
3.452567304	0.695046247	1.521394865	1.386781391	3.269600304	1.161683456	0.459215771	0	0.454249116
1.063163064	1.132284097	1.217886142	0.071932175	0.625837486	0.821018967	0.589623357	0	0.309391035
2.109660096	2.930948435	1.944901219	1.566062444	1.089807984	0.831099224	0.566418622	0.854186795	0
0.999349818	0.7033604	1.715395479	1.221714978	0.740073037	0.32469293	0.804892232	0	0.75285779
1.39259876	1.518390585	1.841477548	1.256680581	1.504607491	1.818805765	0.231274683	0.192850794	0
1.195149223	1.568668919	2.150358156	1.524711479	0.747703259	1.647005156	0.199065086	0.984324217	0
2.373253159	3.32613162	6.746330297	2.699696127	1.133867642	2.548233025	0.535396752	0	0.238905718
1.605072924	1.85637222	1.951551899	0.894711661	1.403772721	0.701291133	0.140530331	0	0.608492363
2.021696277	1.334229645	1.66210603	0	0.878349121	0.441397028	0.901872316	0.483598939	0.739457388
1.648567389	0.325402439	0.4806909	0.764602125	0.695888625	1.058936752	0.162220529	0	0.270300083
2.405543084	1.909803565	2.164169409	0.957119958	0.528921609	0	1.019636283	0.582519965	1.529454424
1.947414561	1.45980431	1.57571704	0.839988984	0.648263882	1.669688065	0.855222075	0	0.862384655
2.523783646	2.000586402	2.034793181	1.580868691	1.350496508	1.437275401	0	1.008858321	0.228814888
2.305654091	2.436169804	2.397774656	1.467167054	0.592832196	0.687592717	0.072621944	0.369964342	0
4.979207796	5.042541176	4.628610633	1.726569683	2.260679632	2.076373429	1.47141597	0	0.950047372
1.782878136	0.73647307	1.491456317	0.652798996	1.474459233	0.282040639	0	0.492058024	0.244768101
1.689099569	1.806807321	1.780146448	1.388164972	0.442437177	0	0.1665638	0.510755662	0.218019284
2.188471726	2.481945166	1.289139821	0.834631356	0.649813578	0.839215983	0	0.212153617	0.736806876
1.573028447	1.375734147	1.742873614	1.207118046	1.186516565	0.460899618	0	0.601013101	0.041963813
0.397801802	0.692126773	0.836528964	0.928599618	0.193904996	0.155306495	0	0.091340659	0.316635452
1.613263882	1.922802712	1.384255919	1.162269426	1.025242727	1.215254523	0.584780476	0.669902304	0
1.725606941	2.767330183	1.507338964	0.635115685	0.51161154	0.674152726	0.257418169	0.43783719	0
2.154140323	2.794616308	1.995199556	0.391172223	0.202463125	0.890885841	0	0.551699993	0.300280226
2.245542833	2.465328779	3.765561002	0.563352033	1.186382021	1.006020886	0	1.30160865	1.469532782
1.04656706	0.30451297	1.148551877	1.269584843	0.605679643	0.493810381	1.221604101	0	0.213390745
2.362587657	0.909767082	2.677808052	0.528803803	1.066513662	0.916945903	0.611711085	0	0.523028361
1.951784475	2.059650289	1.715872562	0	1.260500054	1.155979342	0.334181125	1.911533581	0.072111615
2.013618458	2.316826111	1.658300506	1.195948227	1.137703995	1.009679235	0	0.184186832	0.182386044
1.997977994	2.02735104	2.855548757	0.843062412	0	0.939224776	1.160515296	0.198891664	0.69217557
1.207529959	1.331207126	1.286689893	0.620677164	1.351392637	0.8474641	1.09056311	0.371195168	0
1.900583529	2.310938021	1.060596871	0.4286033	0.743327543	0.285536981	0	0.831430836	0.528565611
0.494886439	0.747103482	1.148635137	0.348223952	1.042921453	0.333849437	0.366364484	0.566228589	0
0.642929438	0.788412288	0.871995931	0.143736831	0.799338991	0.217013327	0	0.108816441	0.504205372
1.016429672	0.90367907	1.097892636	0.602313192	0.427719801	0.368649996	0.362057617	0.313713508	0
1.267734369	2.375156125	2.291342367	0.572750137	0.585123947	0.802656882	0.305516873	0	0.650206082
1.683464766	1.814244358	1.18763349	0.856913929	0.670915184	0.710407049	1.100017116	0.64908551	0
1.395924696	0.846403667	0.804204319	0.177720603	0.458522874	0.766652476	0.312870058	0	0.017799945
1.270228387	1.351723566	1.585512444	0.022730403	1.300914431	1.00354728	0.189531446	1.392036604	0
1.329334488	1.567477785	0.982181507	0.721421588	0.71351793	0.205859894	0.297116746	0	0.221120033
2.305065539	0.311151764	2.060926421	1.194604846	0.805120323	0.494634448	0.210178779	0	0.109447936
2.223888442	2.546518861	2.373558868	1.241724489	0.79912628	0.886112571	0.369354209	0.552488319	0
1.12227925	1.239376823	2.622926653	0.659638192	1.039431367	0.60858306	0.080784057	0.596888045	0
2.804159601	1.856212816	3.425507318	1.469828077	0	1.563263028	1.399989948	0.217926707	0.982495496
1.834987711	3.819495066	3.208903909	1.195927556	0.686068443	1.155232958	0	0.753739713	0.738472064
0.650627616	2.62662322	1.575426185	1.742072113	2.32839905	1.202422707	1.422771609	1.26892628	0
1.192230579	0.917193324	1.444517525	1.090680317	0.867117224	0.6159106	0.713647961	0.405946855	0
0.625485559	0.993348191	0.58975973	0.412775103	0.812167197	0.397974402	0.406140306	0	0.308546412
0.894111245	0.975257204	0.702727236	0.60996595	0.491446603	0.438693663	0.191437784	0.459612005	0
1.00301535	0.431341277	0.659007217	0.37662801	0.33672527	0.658334012	0.214569029	0.128643497	0
0.349388663	0.666961338	0.347947335	0.169916595	0.306148813	0.116160387	0.094166784	0	0.141677236
0.609631524	0.537360361	0.614892252	0.281270175	0.039583146	0	0.304713612	0.031462217	0.218090366
0.955001703	0.802590467	1.254582675	0.525023805	0.250718523	0.21921127	0.114672421	0.371273074	0
1.096278212	1.732892343	1.902736476	0.947751833	0	0.147511247	0.689274061	0.210385934	0.540684236
1.934956362	2.041602231	1.958317465	1.62858523	0.130554498	0.685259022	0	1.293256063	0.53986049
1.412281683	1.224180111	1.076993974	0.857765057	0	1.148246412	0.388909424	0.466727787	0.772104063
0.756608279	1.74234116	1.377822419	1.057580944	0.591490975	1.019965767	0.681685406	0.733854684	0
1.81394357	1.458409297	2.13301523	1.083025273	0.2376734	0.491959661	0.427269464	0	0.661325164
2.201137316	2.274960614	1.718004846	1.293220123	1.07202365	0.362335682	0.772519797	0	0.298136755
1.003031965	1.323668324	1.40964637	0.036915594	1.497728062	0	0.989799353	0.472641745	0.188581681
2.756393728	2.732597944	1.863379457	1.362206331	1.497672749	1.477618808	0	0.982467711	1.15061679
1.62373029	1.910674123	0.913348288	1.275097723	0.770739323	0.93553848	0.423881972	0.160854234	0
1.243689839	1.2825216	2.053976148	2.119878128	0.618694506	1.121687165	0	0.739903742	0.429856397
3.590078329	3.170406871	3.997349061	2.89541055	1.640802295	2.241306319	1.497217332	0.287760438	0
1.740568886	1.084019736	0.34939833	1.735335523	1.812028076	0.60183672	1.419906475	0	0.914030598
1.798757254	2.54499556	1.986127801	0	0.535966914	1.513537643	0.882239306	0.699710375	0.273551316
1.755981096	0.683938607	1.882699142	0.622512719	0.310300652	0.661001642	0	0.408347492	0.671861947
2.85523222	2.713867614	1.135821695	0.040464962	1.12119475	0.104359311	0.205609302	0	1.144580345
1.854841609	1.98948336	1.970021413	1.608306503	2.021218143	1.818485255	1.083193402	1.662738332	0
1.445437326	1.409925104	3.129289772	0.896121695	0.596459229	2.13101425	1.061995236	1.675367723	0
2.090573068	3.095870045	3.510986154	0	2.347954176	0.190741349	2.371497565	1.355027454	1.984314289
1.679385614	2.783135958	2.012105145	0.333540192	0.171322812	0.972170985	1.177766176	0.471372208	0
2.271328518	2.354174187	2.204882334	1.422608102	1.171997599	0.062911813	0.657534479	0	1.136276884
2.149147921	2.270165871	2.081754147	2.278527607	1.671347421	1.381776869	0	1.074346739	0.859713701
3.173700341	3.320693659	4.000076143	2.580892011	2.621666381	3.344221727	0	1.729046504	0.993889555
3.05491092	5.244005942	4.354288673	2.726424905	4.11234366	4.30017236	0	3.083096499	3.860251839
1.846219576	1.871528276	1.60635073	1.754882731	2.238003269	2.312801755	0.926461311	1.328142962	0
2.463575396	2.72455513	1.706707991	1.675610305	1.537084252	1.285737471	1.138101994	0.557454806	0
0.839356353	2.114581143	2.460255323	0	2.795478326	0.30290289	1.274499854	0.688509022	0.576204181
1.097739137	0.703016933	0.852677625	0.253772478	1.314306345	0.115184158	0.38538153	0	0.095243393
1.259754084	0.664786538	0.40326116	0	0.016728588	0.170190518	0.174601271	0.558229201	0.034156441
2.860831813	3.46939919	1.681952903	0.017485625	1.178395882	0	0.224849682	0.933935251	1.151394599
0.629235898	2.331346546	2.265580743	1.077847406	1.095300451	0.143670736	0.633184771	0.537583036	0
2.923959518	3.94528032	2.710564015	1.786787565	2.414181372	2.555397362	1.057768975	0	1.551776807
3.451692412	2.732481722	2.883353445	2.081070298	1.875029066	0	1.091739504	1.549103067	1.408951951
3.947849345	2.687291572	2.067590528	2.513748835	1.682821489	1.705346627	0	0.217601342	1.702277164
2.329600565	1.868128377	1.980961761	0.242626817	0.625606217	0.002990201	0.32784756	0.486935623	0
1.371586751	2.174513198	0	1.059510282	1.45737762	2.429333889	1.072873057	1.922986803	0.588565269
2.619013447	1.40442102	2.491676764	0.715174759	0.774702069	0.992012047	0	1.11087844	0.053551051
1.737067256	3.27458487	2.202763988	2.772968232	1.877688836	1.64018059	1.303989682	0	1.316949973
2.632553911	1.828767733	0.341751884	2.083676905	2.466223393	0	2.149322869	2.326708588	1.83456943
0.561729664	0.53655312	1.479268288	0.050938587	1.100683338	0	0.729768452	0.123599262	0.92122728
