x 5-50-2 5-50-5 5-50-8 5-50-10 5-100-2 5-100-5 5-100-8 5-100-10 8-50-2 8-50-5 8-50-8 8-50-10 8-100-2 8-100-5 8-100-8 8-100-10 10-50-2 10-50-5 10-50-8 10-50-10 10-100-2 10-100-5 10-100-8 10-100-10
1 1.20485e+06 1.19309e+06 1.19468e+06 1.19884e+06 1.18889e+06 1.18885e+06 1.18815e+06 1.19251e+06 1.19469e+06 1.18342e+06 1.19389e+06 1.18648e+06 1.18541e+06 1.18472e+06 1.19119e+06 1.19851e+06 1.19903e+06 1.19291e+06 1.19538e+06 1.19726e+06 1.20166e+06 1.1921e+06 1.18921e+06 1.19311e+06 
2 982161 987896 980253 987567 993162 979040 979022 991165 982075 982142 986210 987436 988685 986873 984880 974142 980220 986613 980909 983339 979493 974244 976524 983799 
3 1.14394e+06 1.14798e+06 1.15548e+06 1.14214e+06 1.1492e+06 1.1388e+06 1.13848e+06 1.14318e+06 1.14753e+06 1.14109e+06 1.16011e+06 1.14611e+06 1.14829e+06 1.14487e+06 1.13919e+06 1.15374e+06 1.15376e+06 1.13776e+06 1.14372e+06 1.149e+06 1.14949e+06 1.13984e+06 1.1427e+06 1.14334e+06 
4 932046 943148 950993 951043 933677 930642 947405 937794 933199 955299 946677 942384 928385 939493 937124 947460 950445 959449 941503 946402 926583 943083 934689 939036 
5 1.05683e+06 1.0553e+06 1.0543e+06 1.06568e+06 1.04331e+06 1.05443e+06 1.05984e+06 1.05491e+06 1.04765e+06 1.04754e+06 1.05764e+06 1.04865e+06 1.04395e+06 1.04955e+06 1.05785e+06 1.0535e+06 1.05606e+06 1.04534e+06 1.04838e+06 1.0631e+06 1.04423e+06 1.04002e+06 1.05138e+06 1.05691e+06 
6 1.14469e+06 1.13881e+06 1.13296e+06 1.12885e+06 1.1318e+06 1.13973e+06 1.12608e+06 1.13583e+06 1.1411e+06 1.13207e+06 1.13953e+06 1.13803e+06 1.14486e+06 1.12442e+06 1.1244e+06 1.13189e+06 1.14331e+06 1.12538e+06 1.13141e+06 1.13194e+06 1.13558e+06 1.12735e+06 1.1267e+06 1.12643e+06 
7 1.13378e+06 1.12176e+06 1.12287e+06 1.12026e+06 1.1315e+06 1.12542e+06 1.11813e+06 1.12155e+06 1.12644e+06 1.11793e+06 1.12782e+06 1.13346e+06 1.12415e+06 1.11808e+06 1.12554e+06 1.12547e+06 1.13209e+06 1.12508e+06 1.11991e+06 1.11979e+06 1.12315e+06 1.12798e+06 1.12181e+06 1.12678e+06 
8 1.23591e+06 1.22611e+06 1.22978e+06 1.21821e+06 1.21321e+06 1.21082e+06 1.21033e+06 1.21917e+06 1.22872e+06 1.21021e+06 1.21385e+06 1.20995e+06 1.20749e+06 1.2256e+06 1.22465e+06 1.20881e+06 1.21702e+06 1.21179e+06 1.22453e+06 1.20866e+06 1.21591e+06 1.21404e+06 1.21966e+06 1.21442e+06 
9 1.20856e+06 1.20892e+06 1.22326e+06 1.21495e+06 1.21413e+06 1.21331e+06 1.21192e+06 1.21305e+06 1.20923e+06 1.21244e+06 1.21538e+06 1.20862e+06 1.20599e+06 1.21462e+06 1.21147e+06 1.21335e+06 1.20319e+06 1.22017e+06 1.21433e+06 1.21295e+06 1.22038e+06 1.21441e+06 1.21395e+06 1.2219e+06 
10 1.19125e+06 1.19261e+06 1.18496e+06 1.17995e+06 1.17708e+06 1.17465e+06 1.19162e+06 1.18611e+06 1.19812e+06 1.18562e+06 1.19587e+06 1.17317e+06 1.19078e+06 1.17645e+06 1.19152e+06 1.18289e+06 1.17768e+06 1.18316e+06 1.19049e+06 1.18165e+06 1.17874e+06 1.1778e+06 1.1832e+06 1.18938e+06 
11 1.00075e+06 1.00233e+06 997218 1.00017e+06 1.00872e+06 1.00065e+06 1.00114e+06 1.00303e+06 1.00953e+06 1.00528e+06 1.01021e+06 1.00848e+06 1.01008e+06 997265 999886 1.00354e+06 1.00398e+06 1.00687e+06 1.00148e+06 1.00289e+06 1.00293e+06 1.0071e+06 1.00615e+06 1.00685e+06 
