x 5-50-2 5-50-5 5-50-8 5-50-10 5-100-2 5-100-5 5-100-8 5-100-10 8-50-2 8-50-5 8-50-8 8-50-10 8-100-2 8-100-5 8-100-8 8-100-10 10-50-2 10-50-5 10-50-8 10-50-10 10-100-2 10-100-5 10-100-8 10-100-10
1 668102 668252 676698 671833 668914 671419 672023 671477 672746 669644 670691 675449 672772 674042 669445 672893 677426 668252 670182 669382 673045 671277 668252 673686 
2 704560 703139 705076 704616 703305 705846 706392 706973 706226 705445 711316 710084 707322 707996 705307 708934 715468 706178 708964 709727 701748 705417 709982 704905 
3 736832 736688 748584 749148 739414 733502 747066 741700 733600 741397 723113 746409 731918 731963 717277 738167 738670 739591 745442 748925 743497 737698 738525 743833 
4 696943 694762 696190 698095 702396 697400 693861 696647 702765 704938 693806 697949 693901 697041 695780 702040 701964 701066 701647 701630 703943 693749 697928 696357 
5 686804 681991 691697 698380 686636 691662 693557 686918 695874 683535 682953 691350 681386 682171 684717 690307 694827 688181 690488 688470 682528 686656 684885 683982 
6 769938 771612 765930 763659 760653 773833 765364 762693 769857 766865 769363 764672 766843 759997 762417 760325 767782 763334 761383 767222 765196 759816 765389 762417 
7 757456 755748 750894 749808 756143 745781 748429 753988 755766 751776 752346 752895 746369 749882 751341 747490 751714 752475 749702 749849 753858 749327 751592 751597 
8 642786 649543 646660 646040 637177 643221 641695 644123 638295 647431 646817 645520 651801 644923 647620 647337 640044 644503 645688 647910 641932 641576 644408 644415 
9 588897 591621 588566 593504 591838 588597 589933 589585 595853 591458 590894 591666 587196 587824 587110 590526 597905 592823 585810 586730 588656 588047 590930 586326 
10 578352 581873 581379 580866 593351 581233 586466 584023 589351 592811 587556 581871 584312 581471 580596 584386 585909 586032 580559 587519 584312 580559 579680 581061 
11 852143 848963 848435 846216 844193 846350 849557 844251 847071 844144 845086 847054 847763 848457 844419 848171 848531 842953 847005 843875 849164 845443 848524 846155 
12 706030 696124 700128 700396 702851 699182 696622 698222 700396 700630 696124 706528 704505 698545 697984 699640 700689 698057 703379 699791 699899 699515 700877 697180 
13 733966 731923 730106 727070 726200 727645 728233 728691 728626 726619 729768 729472 728698 726253 729965 726200 740852 727782 732024 726576 729899 727645 730001 726253 
14 897791 892074 894519 887281 883089 890678 885007 890774 886009 895423 888697 892076 894990 887324 884518 893540 887180 895740 890599 889985 877234 886242 884835 884375 
15 759355 757287 759403 760221 749580 746366 749277 755403 757471 748871 757067 758561 749011 752137 750820 752687 749011 750627 750294 761473 756068 749011 753257 760811 
16 528656 527696 534669 531218 524860 528150 531717 529487 527535 529452 530210 533281 524262 526070 530930 530212 527524 531254 529793 530254 529074 524902 524934 524835 
17 626719 638590 625935 640060 635529 624381 637350 626817 628163 623668 625963 624381 626867 624748 624190 624083 625675 624872 633971 639218 622060 624078 624700 629420 
18 544723 541042 542916 538235 536863 541629 539325 540105 538423 541018 538388 538323 539947 542579 538614 538778 543169 539947 542056 541820 538264 538086 537397 539089 
19 626543 624738 626334 629844 625421 626071 626788 625090 627384 625701 626970 627038 626100 627156 627200 631130 626085 626002 627098 627527 625602 626676 628327 627574 
20 611973 610510 612133 611903 608977 607802 612398 614982 613405 610415 614258 613208 607809 610266 610032 612314 611727 608929 610356 614598 611866 609545 610658 611127 
21 678651 664922 667631 680648 669005 669991 665897 669963 673465 665990 676204 674634 667142 668224 670505 670094 672945 675514 669024 673726 673184 668640 670943 678811 
22 677635 678294 684708 678350 676187 682304 675050 681512 675196 675436 681939 677956 675588 675649 675266 682152 679503 676951 679721 677811 676676 676092 679488 680635 
23 590498 589007 586020 585352 586831 584003 581634 583199 585341 587277 584821 591660 581738 581690 588452 591654 587760 586439 592828 592135 587228 581763 588602 586700 
24 677893 677859 683555 679355 671370 680177 680356 679093 675977 682205 676270 677715 680523 674443 681736 684335 673958 681665 681981 676896 677713 676334 674012 685575 
25 706250 701316 712115 707493 701311 700297 692414 694649 700127 707746 701899 701571 712895 689606 702366 714569 699158 701491 704963 705785 700245 701974 694166 698269 
26 702358 699026 699860 704052 692060 697413 700966 698277 697733 696392 692412 701646 694391 692578 699938 701049 697386 711693 697472 697106 694939 691743 702990 694488 
27 702219 699408 704462 698844 703496 694799 692750 703460 694311 700972 700288 699036 705001 698166 696385 698943 708983 696005 691527 704720 709426 697329 693477 704862 
28 693590 692618 691948 695051 684425 688790 692352 688554 689427 693008 695624 689527 681470 690755 689395 692054 689024 687459 686901 693819 688251 691552 691161 690804 
29 675559 679998 676700 676285 671889 676007 676109 672125 676983 678287 675377 676565 676548 675296 674955 669119 673968 672176 675846 685636 675422 674718 671711 674597 
30 723068 723914 730439 729228 725223 724529 729666 726126 722712 725047 722744 723193 710945 722551 717289 726080 716576 723975 722659 734717 723050 716134 726149 725030 
31 558299 564183 561780 561915 558051 559365 558386 559533 554129 556926 559788 565195 556063 555076 561742 557549 561351 562630 562476 566303 562645 554571 562492 560924 
32 601746 599614 605259 598145 596857 593464 597043 603892 598137 597220 601222 599818 597611 597326 600021 601421 602718 598426 600538 599397 598266 596466 601174 603414 
33 591245 594145 597159 595140 590964 593618 596139 597231 600957 591954 593972 595836 591878 590329 592732 594187 591854 592531 593297 594830 592304 591477 595028 593959 
34 533412 533887 533723 534228 531965 527223 533505 531027 534601 532412 532228 529422 530508 526467 532997 532787 533468 526957 534246 535479 531401 530794 530624 532138 
35 504401 493862 494361 506497 497498 491424 493817 505568 495977 491413 493693 498446 495903 489526 493150 504363 504777 492501 493593 493504 498745 491435 493169 499100 
36 571998 559803 575927 560358 567768 566981 560459 560345 570096 566188 574131 560764 569162 568361 571007 571771 564248 558479 572265 569627 571798 569728 556880 557392 
37 555959 555779 555161 556067 554727 555382 555542 555019 556283 552728 553933 555272 558658 554539 554862 555527 558449 554897 557537 555820 552539 555252 556300 556639 
38 526278 526727 527298 529862 528332 529255 525869 524011 523971 527929 529892 532132 526465 530103 529979 531673 528849 525698 529051 528365 529603 530987 525171 525655 
39 584099 582983 579636 576617 577498 578572 577175 580841 583427 584518 578797 583681 582465 576827 579104 579046 581620 576387 578960 577957 579826 576885 580173 582149 
40 516861 514562 514011 518491 513496 510020 511860 516411 512926 518732 514352 516101 509632 513285 513271 510797 514454 511869 519036 517118 507653 510384 514163 513978 
41 701297 703395 703120 709681 703381 700188 706293 708285 700168 699133 702969 711826 701173 701697 704483 700843 701755 705742 705792 706638 703659 699186 704411 705493 
42 551961 551925 554946 556780 550797 551819 551346 553493 554038 553504 553368 552106 554878 551530 553978 554706 553895 551742 553097 552937 551201 550729 553696 552106 
43 574837 576679 574079 576565 574028 574295 574042 575542 573977 581554 575278 576788 573955 574669 577049 575445 575794 575460 574468 578312 574342 573465 573793 577215 
44 604213 605444 602412 605818 601060 603548 598405 602814 604971 603194 605356 602679 602941 597636 606326 603130 602679 601381 603885 603182 606263 600293 601918 598975 
45 575493 577146 573923 575627 580894 576845 575521 573417 571642 578263 576052 581331 573529 575246 573680 570482 579789 577501 568069 576104 569230 570754 573501 576403 
46 580657 582980 584129 586085 578999 570906 584343 582603 587314 573694 585045 587409 578671 571872 573557 573471 584937 573112 582238 577636 578741 571861 582830 574374 
47 622080 620221 619418 618402 616422 617150 617229 620207 624063 618987 619769 623223 619799 621130 620851 621146 619425 618904 620281 621965 622223 619139 623419 620716 
48 564168 559724 567923 568805 556678 555399 566181 564035 562652 556606 563237 558402 555355 555183 561096 562978 558200 558886 566349 564009 560809 554878 563870 561412 
49 507020 506142 520036 512506 509303 507343 510524 509300 516257 509440 517331 516586 507336 510907 512097 514051 518699 506372 510247 513366 508755 510601 506116 511937 
50 658408 652061 653162 655174 650275 652253 652983 655371 653304 656056 654414 652918 653086 650811 653379 655310 654882 656348 652846 657195 652997 653799 652842 657418 
51 634369 632911 633228 633282 627904 633144 631892 630156 628260 627904 631435 632106 632970 628937 631320 630225 627892 632253 635664 629496 631032 631512 633955 634242 
