x 5-50-2 5-50-5 5-50-8 5-50-10 5-100-2 5-100-5 5-100-8 5-100-10 8-50-2 8-50-5 8-50-8 8-50-10 8-100-2 8-100-5 8-100-8 8-100-10 10-50-2 10-50-5 10-50-8 10-50-10 10-100-2 10-100-5 10-100-8 10-100-10
1 4 6 8 10 8 10 16 16 5 9 13 14 9 18 25 24 7 12 14 16 12 22 28 32 
2 3 5 8 7 5 12 17 18 5 9 12 12 9 19 22 26 7 10 15 14 13 22 25 36 
3 3 5 6 8 6 12 11 14 5 7 10 12 9 15 21 21 6 9 12 13 11 23 24 35 
4 3 6 7 8 6 12 15 18 4 9 15 13 10 18 23 26 6 10 14 15 12 21 32 29 
5 4 4 9 9 9 12 19 19 6 9 12 13 10 21 22 27 6 13 14 16 13 21 33 33 
6 4 5 10 10 7 14 13 21 5 10 13 12 10 19 26 24 9 12 15 18 13 21 31 30 
7 3 7 9 9 8 11 13 30 6 12 13 12 15 17 24 24 8 13 14 17 13 24 29 34 
8 3 6 8 10 8 15 18 19 5 9 14 16 9 19 25 28 6 11 17 14 12 22 30 35 
9 3 6 9 8 5 11 18 18 5 9 12 12 9 19 24 23 5 11 14 15 10 25 27 28 
10 4 6 8 7 6 16 17 16 5 8 11 12 10 19 24 31 5 12 14 17 13 26 35 35 
11 4 6 9 10 7 13 18 16 5 9 13 14 11 18 24 27 6 11 15 18 13 21 30 33 
12 4 7 6 9 6 12 14 16 6 9 12 14 9 19 25 26 6 12 15 16 12 24 27 31 
13 5 5 9 12 7 17 16 17 5 10 11 13 13 18 25 23 6 11 16 15 13 23 26 34 
14 3 7 9 11 9 13 20 18 5 10 12 20 15 21 25 39 7 14 19 21 13 28 36 37 
15 4 6 7 8 7 12 15 15 6 9 13 13 11 19 26 30 8 11 20 16 14 23 32 33 
16 3 5 8 8 5 11 16 18 5 9 11 12 8 16 24 24 5 10 10 14 10 19 26 31 
17 4 7 7 9 7 10 17 20 4 8 14 14 9 16 23 26 6 9 15 16 11 20 29 35 
18 4 6 8 10 5 14 19 17 5 10 13 13 9 18 24 30 6 10 18 16 12 25 30 35 
19 4 6 10 9 8 14 15 19 5 11 13 12 9 20 23 26 7 12 16 17 13 23 29 40 
20 3 5 7 7 6 9 13 13 5 9 12 11 8 17 18 23 5 10 11 12 10 21 25 32 
21 3 5 6 7 5 10 16 16 5 9 10 13 8 15 20 21 5 9 12 15 11 18 25 32 
22 2 6 8 7 7 11 12 16 5 9 12 10 11 15 19 24 5 10 13 14 10 20 27 26 
23 3 5 8 8 7 16 17 19 5 10 10 12 9 16 21 22 6 11 13 14 11 21 29 30 
24 5 6 9 10 6 11 21 26 5 9 15 16 9 18 31 36 6 11 13 17 13 24 31 36 
25 3 6 7 8 6 10 16 16 5 9 12 12 10 14 22 28 6 9 13 18 10 19 27 32 
26 4 6 8 7 7 11 16 18 5 9 14 15 9 18 26 29 5 12 16 15 12 22 31 31 
27 3 6 10 10 7 12 15 18 6 10 11 14 9 20 24 31 7 11 16 17 12 26 28 32 
28 4 6 8 11 6 12 15 14 5 10 11 14 10 18 24 24 6 13 14 14 11 21 26 31 
29 3 7 9 7 7 11 14 21 5 8 11 15 12 17 24 28 7 13 15 16 14 23 31 33 
30 3 7 8 9 5 10 15 12 4 8 11 13 7 17 19 23 6 10 14 16 11 21 26 27 
31 3 5 8 7 5 15 15 17 4 9 13 11 9 16 22 26 5 11 14 14 10 21 26 33 
32 4 4 10 7 5 12 12 16 5 7 10 10 9 16 20 21 5 9 14 12 10 17 25 28 
33 3 4 8 8 7 10 20 20 6 8 9 13 8 17 21 27 5 11 13 14 11 22 26 28 
34 3 6 7 7 6 9 14 13 4 7 9 11 9 15 22 20 4 9 12 14 10 18 25 29 
35 3 6 7 8 5 11 14 22 5 8 11 12 10 19 26 22 5 10 14 15 10 20 27 32 
36 3 5 5 7 5 12 15 20 5 8 11 13 7 17 21 24 5 9 14 15 10 20 25 30 
37 3 6 7 8 6 11 12 16 5 7 10 11 8 17 25 25 6 11 12 13 10 18 24 29 
38 3 6 9 10 5 13 16 19 5 10 12 15 9 21 23 25 6 11 17 16 13 24 27 40 
39 3 5 7 7 8 10 16 18 5 9 11 15 8 16 22 23 5 10 12 14 12 23 27 32 
40 4 5 8 9 6 11 13 15 5 9 13 12 9 17 26 26 5 10 14 16 11 22 29 32 
41 4 5 7 7 7 11 17 15 7 7 11 12 9 20 23 30 6 13 14 15 11 20 28 29 
42 3 6 6 6 7 10 15 22 4 9 11 10 9 16 19 26 6 9 12 13 11 21 25 28 
43 3 6 7 8 7 12 16 22 4 9 11 15 10 17 20 25 5 11 15 14 12 19 31 33 
44 4 6 7 6 6 12 16 16 5 8 11 10 9 17 22 22 6 9 13 18 10 20 29 27 
45 4 5 6 8 5 14 15 15 4 8 10 12 9 18 21 23 7 9 15 16 13 19 28 33 
46 3 8 11 7 6 10 14 14 4 8 10 14 7 17 30 25 5 10 13 15 12 20 28 32 
47 4 6 10 8 5 11 17 15 4 9 11 11 9 18 24 32 6 13 14 15 11 22 26 32 
48 3 5 6 9 6 11 17 17 5 9 11 11 8 17 20 23 6 11 12 15 10 20 28 27 
49 3 5 6 9 7 12 18 18 4 9 12 12 10 18 22 27 6 11 16 16 11 21 27 34 
50 4 5 8 9 6 10 16 15 5 10 11 13 10 21 27 26 6 11 16 13 12 20 32 29 
51 2 5 7 7 5 9 12 18 4 9 10 12 8 18 24 28 6 10 14 18 10 22 26 29 
52 3 5 8 7 8 10 15 15 5 7 13 13 8 19 23 26 5 10 12 14 10 23 26 30 
53 3 6 10 8 7 11 13 15 5 8 11 12 8 17 28 28 6 10 14 16 11 21 29 30 
54 4 6 8 10 7 13 16 17 6 9 13 13 11 19 26 25 7 11 15 16 10 23 34 40 
55 3 5 8 7 6 14 12 16 5 8 10 12 8 18 21 27 6 10 13 15 10 20 27 32 
56 2 6 9 10 6 11 18 17 4 9 13 11 11 16 21 30 5 11 14 15 10 21 32 31 
57 3 5 6 7 5 10 10 14 4 8 9 10 8 15 23 26 4 9 12 13 10 17 26 29 
58 4 6 8 9 8 11 15 16 5 8 14 14 9 18 21 27 7 13 15 16 11 20 32 33 
59 4 8 7 8 8 13 16 21 5 11 12 14 10 18 32 29 6 12 15 21 13 22 29 36 
60 3 5 8 6 5 11 14 18 5 9 11 11 8 14 28 20 5 10 13 14 10 18 27 29 
