x 5-50-2 5-50-5 5-50-8 5-50-10 5-100-2 5-100-5 5-100-8 5-100-10 8-50-2 8-50-5 8-50-8 8-50-10 8-100-2 8-100-5 8-100-8 8-100-10 10-50-2 10-50-5 10-50-8 10-50-10 10-100-2 10-100-5 10-100-8 10-100-10
41 290732 292474 291631 295370 290040 290040 291062 293618 290154 293831 293463 292323 291135 289709 291299 290369 290850 292169 292102 293104 291724 290094 290732 292821 
42 285533 282640 286941 286884 282734 285617 282499 283879 284568 283049 284032 285277 282640 284873 283265 284535 284849 282119 285521 285016 284651 282895 283748 284120 
43 264500 264507 264353 263185 262702 263348 264167 263875 264292 263185 263574 263908 262702 263562 262702 264230 264350 264503 265244 264314 263562 263160 263562 263502 
44 246039 245568 247671 244517 245305 245626 245887 245552 245367 246321 246084 245508 245074 244517 245552 246209 246084 246536 244931 246210 245070 245552 246283 246061 
45 236838 237314 235162 236172 235392 234859 234774 236491 234389 235224 234311 235521 234311 235068 234860 236142 234502 234581 234933 236327 234405 234311 234405 234502 
46 223252 221764 222495 222689 222042 221161 221161 221161 222644 221161 223065 222024 221764 221795 221161 222714 222408 221764 222484 221900 222021 221161 221814 221764 
47 248191 247972 247799 248825 248581 248296 247940 248764 250522 249123 249353 248836 247432 246951 248606 249402 249206 248802 248851 251213 247610 248005 248614 248528 
48 262867 263697 263707 264418 261825 263576 263061 263002 263920 263126 262875 263426 263712 262945 262174 263461 263556 263118 263104 264286 262501 263575 263148 263324 
49 230608 232343 233074 231716 230566 230566 230566 230608 230698 231199 230608 231782 230947 230960 231393 230608 230859 230746 231468 231714 231342 231234 230608 231536 
50 265507 264828 264406 264654 264887 263824 263509 264038 264732 264562 263998 264820 263557 263149 264161 263674 263918 265524 264229 265370 264902 264731 264568 264620 
51 274964 273714 274068 276709 275954 276468 276058 273904 274650 274952 276596 274551 275596 273880 276384 273996 274436 274646 274357 274563 275301 273927 275638 274391 
52 240224 239783 242621 241941 239783 241695 239783 240430 240282 242150 240224 240430 240282 240282 239783 240282 240224 240809 239783 240430 239833 240224 241202 240430 
53 220639 221474 222001 220663 221058 220639 222379 221474 222438 221290 221051 222033 221509 220639 221113 220639 221927 222574 221146 221671 220810 220827 221379 221535 
54 232147 231493 233579 229978 230385 230385 230385 230385 230538 231667 230254 232656 230209 230385 230430 230535 230874 231192 232280 230700 234214 231147 230408 231044 
55 231297 231166 231541 232584 231371 232404 232342 230904 231325 231703 232168 232342 231610 230904 231865 230904 231610 231480 231506 232045 230819 231323 231064 231646 
56 277103 272471 271719 272025 270684 270610 271151 272327 273217 271465 271141 277116 271664 271109 268732 270991 272399 271109 272733 273441 275407 270602 271279 270839 
57 294430 296147 295630 294845 292091 292300 294573 294607 295646 294164 296149 296785 292764 293439 294317 292680 291205 296113 293968 296562 295203 295046 291764 293342 
58 254252 254554 255151 254765 253503 255573 254467 254429 255195 255023 255226 254149 254785 254847 255785 254813 254782 253503 255502 254893 254438 253503 255080 254581 
59 204148 205358 206572 206003 205063 206284 206284 205063 205063 205885 207227 205802 205358 204148 205480 205000 205063 205063 206032 205913 205480 206032 205885 205873 
60 240523 238457 239995 241870 239438 239112 238934 240086 240508 239999 242176 245024 239596 241816 239214 243119 238773 239176 240183 239692 239596 240184 238773 240986 
