x 5-50-2 5-50-5 5-50-8 5-50-10 5-100-2 5-100-5 5-100-8 5-100-10 8-50-2 8-50-5 8-50-8 8-50-10 8-100-2 8-100-5 8-100-8 8-100-10 10-50-2 10-50-5 10-50-8 10-50-10 10-100-2 10-100-5 10-100-8 10-100-10
1 16 21 36 42 29 47 72 86 22 36 57 62 35 68 100 129 29 45 69 67 50 82 130 139 
2 11 25 27 35 22 41 73 67 21 36 46 48 34 63 88 98 22 43 57 57 43 73 105 146 
3 14 21 27 27 26 39 47 81 19 28 44 45 33 67 88 98 21 41 58 61 38 77 104 118 
4 12 23 30 31 25 50 61 61 18 35 50 60 39 66 104 117 23 48 57 74 44 83 105 134 
5 13 23 26 32 23 34 48 53 17 33 41 45 33 64 82 92 26 46 55 61 42 76 114 126 
6 13 23 34 33 32 41 68 67 18 35 48 61 39 76 94 101 23 45 65 62 46 82 116 145 
7 16 28 31 38 24 55 78 62 19 39 47 60 40 64 91 112 25 46 60 69 45 96 120 132 
8 14 23 27 35 27 40 60 84 18 33 47 57 35 66 88 102 24 44 59 67 46 91 116 136 
9 19 26 35 37 24 56 87 74 23 36 56 64 48 79 92 119 29 47 73 76 62 89 129 174 
10 24 28 37 37 30 42 76 66 21 34 54 63 37 80 121 111 22 48 62 76 52 83 119 148 
11 19 32 39 49 34 42 66 87 25 38 54 62 49 78 95 129 27 58 68 80 54 92 129 158 
12 17 28 32 41 27 47 61 72 22 39 57 51 38 99 94 113 26 51 62 75 53 95 137 150 
13 14 25 43 40 27 56 74 88 20 39 56 61 40 73 101 113 27 54 63 66 52 102 126 164 
14 16 28 35 43 27 53 78 80 31 43 52 62 52 91 125 121 32 46 69 75 53 100 129 171 
15 13 20 36 41 31 40 54 73 23 38 45 46 36 70 92 110 21 44 66 64 46 80 101 121 
16 8 20 31 34 24 41 43 59 15 30 35 41 33 58 74 102 18 34 49 56 32 69 93 110 
17 10 17 23 29 17 42 42 51 16 37 59 54 27 69 90 97 21 35 47 47 39 77 95 113 
18 10 18 31 33 23 38 47 68 20 29 39 40 27 55 94 101 17 32 52 58 32 67 114 139 
19 9 17 25 26 19 35 44 61 19 27 37 42 28 60 76 95 19 36 45 56 38 74 88 116 
20 9 16 27 33 16 38 49 55 14 29 37 47 28 52 85 79 17 32 47 61 39 69 90 117 
21 11 18 32 30 18 33 58 60 17 23 43 47 34 51 68 98 21 33 45 56 34 64 93 105 
22 11 20 25 29 16 30 50 67 16 29 35 47 28 52 80 83 22 35 48 52 39 69 105 109 
23 11 25 28 31 19 38 61 65 20 37 40 48 34 53 91 87 24 31 46 55 41 71 97 116 
24 11 18 27 29 22 33 40 57 15 28 50 45 31 52 85 90 22 35 48 57 44 73 112 129 
25 11 21 28 31 21 35 71 86 18 30 37 51 35 63 88 89 24 39 51 58 38 80 116 117 
26 12 17 30 36 22 37 60 58 15 29 46 47 33 58 78 103 20 36 57 67 41 78 114 121 
27 15 21 31 36 22 39 57 68 19 31 50 49 34 66 87 119 23 37 61 58 37 87 112 121 
28 12 21 25 30 24 33 55 62 17 30 45 53 41 64 93 89 22 38 55 52 38 81 113 122 
29 11 22 24 29 19 34 52 67 17 28 44 48 35 62 103 98 19 38 53 61 41 69 108 136 
30 15 21 28 32 21 35 47 56 15 30 45 46 29 60 95 99 20 39 50 50 39 75 107 112 
31 11 15 21 29 18 38 44 51 15 30 36 37 25 49 65 87 17 31 39 48 31 62 85 100 
32 11 19 26 34 18 37 47 53 15 28 36 42 32 46 75 84 16 34 46 50 31 66 89 114 
33 10 21 24 32 26 40 62 67 13 28 37 57 30 62 75 87 17 34 44 54 38 67 93 114 
34 10 20 26 27 16 36 46 48 14 25 35 55 26 54 86 95 17 34 45 55 32 62 94 119 
35 8 22 34 29 18 34 49 52 16 29 37 46 29 55 92 83 20 35 47 52 32 79 96 124 
36 9 19 28 40 20 34 67 83 16 28 38 52 28 56 76 85 19 40 49 61 34 69 107 137 
37 13 14 29 28 24 33 58 57 14 27 46 43 27 48 67 85 17 29 48 50 30 66 92 98 
38 12 20 22 26 24 35 46 75 15 28 39 47 27 57 77 94 20 38 47 53 37 62 98 119 
39 9 18 28 37 20 42 52 54 14 28 36 43 28 55 71 86 21 35 47 53 37 68 89 107 
40 10 24 21 33 23 37 51 55 17 28 32 41 36 51 73 82 18 35 44 54 35 66 87 99 
41 11 19 28 27 20 38 52 70 18 27 39 44 31 60 82 96 18 35 52 60 40 85 94 102 
42 13 20 35 30 22 42 61 73 18 28 47 51 35 63 89 103 28 43 52 67 42 74 103 131 
