x 5-50-2 5-50-5 5-50-8 5-50-10 5-100-2 5-100-5 5-100-8 5-100-10 8-50-2 8-50-5 8-50-8 8-50-10 8-100-2 8-100-5 8-100-8 8-100-10 10-50-2 10-50-5 10-50-8 10-50-10 10-100-2 10-100-5 10-100-8 10-100-10
43 13 21 31 50 23 38 64 71 17 30 41 47 31 62 83 112 19 36 50 57 33 80 97 142 
44 10 17 23 28 23 33 49 51 16 28 39 50 28 56 69 77 19 37 53 56 36 70 107 114 
45 10 18 30 39 19 39 54 68 19 28 44 46 30 56 88 122 20 35 50 55 45 75 114 116 
46 9 16 27 22 26 45 42 49 13 27 33 42 27 59 77 92 16 31 47 59 31 61 76 103 
47 9 17 23 26 21 34 40 51 13 24 34 35 22 45 65 78 14 29 37 45 26 60 90 106 
48 12 17 24 25 17 34 44 46 15 31 37 44 29 56 72 74 17 29 40 54 31 77 87 109 
49 10 17 18 37 18 45 51 72 13 28 29 42 31 54 71 90 17 31 42 44 36 64 84 91 
50 11 17 23 30 21 34 53 51 15 23 36 40 29 53 81 115 19 33 40 52 31 57 90 105 
51 11 21 29 32 19 29 57 49 17 31 39 44 27 49 83 73 20 31 41 54 37 68 84 120 
52 9 18 27 32 15 33 59 51 13 24 35 41 29 48 65 87 16 36 44 49 29 59 87 102 
53 9 22 25 24 20 30 47 51 15 30 47 42 30 53 66 92 19 36 46 56 35 69 91 114 
54 9 19 31 30 18 40 51 57 15 30 42 44 25 58 95 83 17 33 48 55 35 70 90 104 
55 11 16 29 31 22 30 56 57 13 27 45 42 39 53 88 90 16 33 43 62 38 72 84 119 
56 10 17 29 24 22 38 44 67 15 28 36 44 33 50 75 88 19 35 44 54 31 71 95 109 
57 9 21 29 29 21 34 58 63 15 28 47 53 35 55 84 97 21 39 55 55 35 69 95 113 
58 9 19 32 40 26 43 48 64 15 26 44 48 29 59 99 103 22 35 55 56 41 74 115 110 
59 13 22 27 26 23 39 53 61 17 29 34 45 26 53 76 101 17 35 49 61 34 63 87 109 
60 10 16 22 28 22 38 48 56 17 29 35 42 25 51 89 88 19 31 49 50 35 63 108 101 
