40_500_0.2 40_800_0.2 40_1000_0.2 40_500_0.3 40_800_0.3 40_1000_0.3 40_500_0.5 40_800_0.5 40_1000_0.5 50_500_0.2 50_800_0.2 50_1000_0.2 50_500_0.3 50_800_0.3 50_1000_0.3 50_500_0.5 50_800_0.5 50_1000_0.5 70_500_0.2 70_800_0.2 70_1000_0.2 70_500_0.3 70_800_0.3 70_1000_0.3 70_500_0.5 70_800_0.5 70_1000_0.5 OVER_1 OVER_2 OVER_3 OVER_4 OVER_5 OVER_6 OVER_7 OVER_8 OVER_9 OVER_10 OVER_11 OVER_12 OVER_13 OVER_14 OVER_15 OVER_16 OVER_17 OVER_18 OVER_19 OVER_20 OVER_21 OVER_22 OVER_23 OVER_24 OVER_25 OVER_26 OVER_27 TIME_1 TIME_2 TIME_3 TIME_4 TIME_5 TIME_6 TIME_7 TIME_8 TIME_9 TIME_10 TIME_11 TIME_12 TIME_13 TIME_14 TIME_15 TIME_16 TIME_17 TIME_18 TIME_19 TIME_20 TIME_21 TIME_22 TIME_23 TIME_24 TIME_25 TIME_26 TIME_27 
905616 886228 933345 926237 884301 887577 869903 846748 892649 927925 898441 892436 901266 850301 900255 899450 839985 878565 930515 894101 873508 923637 852621 848084 911939 841896 915817 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0 0 0 0 0 61 0 0 0 0 0 1 0 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 2 1 1 1 2 0 2 1
946175 1.00004e+06 944424 972354 871216 922913 956257 939449 947780 983228 957700 885640 981600 970151 913910 938326 1.00837e+06 948414 1.00019e+06 975216 972468 987545 880900 902838 924080 885689 895915 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 42 0 0 0 0 0 0 1 1 0 1 0 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 2 1 1 1 1 2 1
982507 1.02475e+06 1.00458e+06 993849 959691 1.01831e+06 945934 946991 917403 969340 1.00304e+06 976047 968543 981066 916823 981986 924390 967487 994732 970095 961363 987653 951509 959761 927418 1.0168e+06 970086 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 2 1 1 2
961125 993017 876712 958649 941954 907176 978090 902305 910407 927016 953101 1.13616e+06 960102 928780 948045 889534 981670 924687 987876 961020 971761 990027 918935 857658 938302 912966 920068 0 0 0 0 3 0 0 0 0 0 0 192 0 0 36 0 43 26 0 17 46 37 0 0 0 0 49 0 1 1 0 1 1 0 1 1 0 1 2 0 1 1 1 1 1 1 1 2 1 1 2 1 1 2
961620 895329 904328 1.01927e+06 975810 895426 961718 901042 985100 912753 915031 912359 890565 900228 967307 934347 958344 895235 879057 888068 890951 880679 897425 914331 852277 881219 885650 0 10 0 44 43 0 51 0 71 0 15 0 0 22 54 0 33 0 0 0 0 0 33 46 0 0 0 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2
1.01414e+06 989356 1.01804e+06 1.02382e+06 1.0316e+06 957867 1.04129e+06 1.01889e+06 963978 1.02803e+06 1.04842e+06 978800 1.03974e+06 1.02541e+06 968522 1.0035e+06 987278 956512 993708 1.00623e+06 1.01986e+06 1.03567e+06 949379 1.00348e+06 1.00237e+06 952065 914145 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 37 0 0 0 1 1 0 1 1 0 1 1 1 0 1 1 1 1 0 1 2 0 1 2 1 1 2 0 2 1
1.01931e+06 962971 985249 1.05275e+06 1.10762e+06 1.01358e+06 1.05594e+06 1.01647e+06 962290 1.02619e+06 1.11237e+06 1.02517e+06 1.10797e+06 1.03879e+06 966823 970750 1.01737e+06 1.01652e+06 1.03402e+06 1.09466e+06 968839 991000 1.0181e+06 961022 953874 975740 928732 0 0 0 20 106 0 29 27 0 0 95 0 98 19 0 0 40 1 0 112 0 0 0 0 0 0 0 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2
897101 864540 862775 895459 874538 839368 880020 911683 845379 902024 885984 875520 869825 841952 860238 844354 835258 831415 893822 883912 852321 858169 868691 818490 861938 821280 825487 0 0 0 0 0 0 0 25 0 0 0 21 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 1 1 0 1 0 1 1 1 0 1 1 1 1 1 0 1 2 0 2 1 1 1 2 0 2 1
850058 825823 780293 797158 863039 809337 899303 801320 813191 840104 840442 841503 881859 857255 786968 811559 751932 784040 822998 771173 813607 871358 797220 799744 807445 730135 788109 0 0 0 0 56 0 64 0 0 0 0 0 40 58 0 0 0 0 0 0 17 0 0 0 0 0 0 1 1 0 1 1 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 2 1 1 1 1 2 1
829685 830351 825506 828752 810114 866014 781287 797809 842570 816405 839555 806464 874600 866036 851682 811286 894124 755550 885933 827536 825869 894064 826784 759637 783634 783260 769068 0 0 0 0 11 0 0 0 46 0 53 0 24 48 27 0 40 0 0 0 0 39 0 0 0 0 0 1 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 0 2 1 1 1 2 1 1 2
1.1205e+06 1.12524e+06 1.09246e+06 1.06612e+06 1.03408e+06 1.10716e+06 1.0969e+06 1.06545e+06 1.13781e+06 1.21121e+06 1.11949e+06 1.08719e+06 1.14529e+06 1.10436e+06 1.102e+06 1.09419e+06 1.11424e+06 1.07101e+06 1.09601e+06 1.08798e+06 1.11647e+06 1.09628e+06 1.06729e+06 1.13522e+06 1.12773e+06 1.06117e+06 1.04339e+06 0 0 0 0 0 0 0 0 0 69 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 2 0 2 1 1 1 2
944860 955718 933098 1.01753e+06 968308 933486 957126 948089 891176 981096 950360 956277 972563 984243 955250 985084 942102 912387 960171 992966 912513 953211 925577 913822 924563 959636 963107 0 0 0 0 0 0 0 26 0 0 0 0 0 0 0 33 0 0 0 10 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 0 2 0 2 1 1 1 2 0 2 1
1.01709e+06 959550 930000 1.00374e+06 933498 964578 1.01129e+06 953084 932269 938130 998240 979649 992337 946777 969444 928970 976338 1.01461e+06 946558 978116 964853 1.02334e+06 938261 900291 971613 936827 935393 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 78 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 2 0 1 2 1 1 2
1.18457e+06 1.17659e+06 1.15289e+06 1.12762e+06 1.21124e+06 1.15339e+06 1.20184e+06 1.12403e+06 1.14982e+06 1.16693e+06 1.21334e+06 1.09341e+06 1.1422e+06 1.16046e+06 1.09973e+06 1.16279e+06 1.11049e+06 1.12838e+06 1.12431e+06 1.1849e+06 1.11572e+06 1.16737e+06 1.1528e+06 1.10975e+06 1.09569e+06 1.13227e+06 1.15617e+06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 2 0 2 1 1 1 2
980832 1.01667e+06 971805 964178 989199 1.00332e+06 998672 978016 969739 975155 996977 966342 984618 962979 967580 924222 995968 948822 967595 1.01632e+06 947756 970269 905455 985039 930694 956216 920398 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23 0 0 13 0 54 0 0 0 0 0 14 0 0 1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2
751396 723666 707890 742641 708731 758080 691450 716583 679357 735259 711566 667842 726837 700466 736513 709160 704216 675928 675162 722798 701245 713763 692555 672297 719491 738088 689378 0 0 0 0 0 78 0 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 104 23 0 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 1 2
