       Instance   Obj_Value     Obj_1     Obj_2      OBj_3  RelativeGap%      Status     CPUtime	Processing_Order        Vehicle_Routes
 2_10_4_2.0_2.0     15287.7      3572      6250     5465.7       58.7237    Feasible     3629.64	8-1-10-2-9-4-7-6-5-3    | 8-1 | 10-2 | 9-4 | 6-3-5-7 |
 3_10_4_2.0_2.0     10741.2      2346      4880     3515.2       56.4708    Feasible     3621.95	9-5-7-1-3-6-8-2-10-4    | 5-9 | 7-1-3 | 2-8-6 | 10-4 |
 4_10_4_2.0_2.0     10671.7      2417      4000     4254.7       50.0867    Feasible     3608.94	5-4-9-2-8-10-1-7-6-3    | 5-2-4-9 | 10-8-1 | 6-7-3 |
 5_10_4_2.0_2.0     13242.8      2311      4850     6081.8       58.7326    Feasible        3623	5-4-6-9-1-8-10-3-2-7    | 6-4-5 | 1-9 | 7-2-10-8-3 |
 1_10_4_2.0_2.5     13459.5      3064      4680     5715.5       56.3849    Feasible     3610.13	4-5-7-3-10-2-6-8-1-9    | 7-4-5 | 2-3-10 | 6-1-8 | 9 |
 2_10_4_2.0_2.5     13234.7      2867      4760     5607.7       48.7733    Feasible     3623.86	4-1-7-8-6-9-2-3-5-10    | 8-4-1-7 | 9-6 | 2-5-10-3 |
 3_10_4_2.0_2.5     14758.7      2741      6120     5897.7       50.2627    Feasible     3650.39	9-2-7-3-4-8-1-5-10-6    | 9-7-2 | 3-4 | 8-1 | 10-5-6 |
 4_10_4_2.0_2.5     10427.9      3025      2910     4492.9        45.804    Feasible     3617.37	1-6-4-3-7-2-9-8-5-10    | 3-4-6-1 | 2-7 | 9-8 | 5-10 |
 5_10_4_2.0_2.5      8478.9      1989      2920     3569.9       51.0471    Feasible     3632.83	10-9-8-6-4-2-7-5-3-1    | 8-6-10-9 | 4-2-7 | 1-5-3 |
 1_10_5_1.0_0.5     10406.1      3901      2360     4145.1       42.4943    Feasible     3618.84	5-8-4-2-9-3-7-10-1-6    | 8-5 | 2-4-9 | 7-10-3 | 6-1 |
 2_10_5_1.0_0.5     14429.8      4862      3440     6127.8       57.5248    Feasible     3645.85	1-2-8-5-10-6-4-3-9-7    | 1 | 5-8-2 | 10-6 | 9-3-4 | 7 |
 3_10_5_1.0_0.5     14973.2      3463      5500     6010.2       58.6127    Feasible      3648.7	5-8-6-3-10-4-2-7-9-1    | 8-5 | 6-10-3 | 2-4 | 7 | 1-9 |
 4_10_5_1.0_0.5     15078.8      4090      5150     5838.8       54.2403    Feasible     3626.85	3-10-9-5-8-4-2-7-1-6    | 3 | 9-10-5 | 8-4 | 7-2 | 6-1 |
 5_10_5_1.0_0.5     12843.8      4314      5220     3309.8       50.0041    Feasible     3638.64	9-2-7-6-8-10-1-3-4-5    | 7-2-9 | 6-8 | 10-1 | 3 | 5-4 |
 1_10_5_1.0_1.0     12764.1      3966      3320     5478.1       48.8229    Feasible     3625.98	8-5-10-2-4-3-1-7-6-9    | 10-5-2-8 | 3-4 | 1-7 | 9-6 |
 2_10_5_1.0_1.0      7386.9      2191      2740     2455.9       49.6783    Feasible     3623.58	10-5-6-3-1-7-8-2-9-4    | 10-5 | 6-3-1 | 8-7 | 4-9-2 |
 3_10_5_1.0_1.0     16115.2      3544      5390     7181.2       43.0249    Feasible     3635.57	1-4-9-3-7-2-6-10-8-5    | 1-4-9-3 | 2-7 | 6-10 | 8-5 |
 4_10_5_1.0_1.0     16201.6      3815      5510     6876.6       51.6852    Feasible     3652.72	8-6-10-3-9-2-7-5-1-4    | 6-10-8 | 9-3 | 2-7-5 | 4-1 |
 5_10_5_1.0_1.0     17401.5      3076      5890     8435.5       64.3308    Feasible      3611.6	2-4-10-3-5-8-6-9-1-7    | 4-2 | 3-5-10 | 8-6 | 1-9 | 7 |
 1_10_5_1.0_1.5     11388.2      4182      3950     3256.2       48.0811    Feasible     3619.38	6-4-2-3-5-1-10-7-8-9    | 4-6 | 3-2 | 5-1 | 7-10 | 8-9 |
 2_10_5_1.0_1.5     14405.6      3727      4790     5888.6       62.1532    Feasible     3625.52	9-7-4-6-2-10-5-1-8-3    | 9 | 4-7-6 | 5-1-10-2 | 3-8 |
 3_10_5_1.0_1.5     15016.1      4122      3920     6974.1       57.6396    Feasible     3645.27	2-6-8-4-1-5-9-7-10-3    | 2-6-8 | 4-5-1 | 9-7 | 3-10 |
 4_10_5_1.0_1.5     13753.7      3029      4860     5864.7       54.9782    Feasible      3618.7	2-8-5-6-10-3-9-7-1-4    | 8-5-2 | 3-6-10 | 7-9 | 4-1 |
 5_10_5_1.0_1.5     10971.8      3948      3310     3713.8       50.6993    Feasible     3613.91	9-8-7-2-10-6-5-4-3-1    | 9-8-7 | 2 | 10 | 5-6 | 1-3-4 |
 1_10_5_1.0_2.0     12230.4      3503      4339     4377.4        45.663    Feasible     3615.81	4-9-5-1-8-10-3-6-2-7    | 5-4-9 | 10-8-3-1 | 6 | 7-2 |
 2_10_5_1.0_2.0       18445      4257      5590       8598       53.2826    Feasible     3623.26	10-4-7-2-8-6-5-9-3-1    | 7-4-10 | 2-8-6 | 9-5 | 3-1 |
 3_10_5_1.0_2.0     11397.9      4053      3670     3674.9       43.8336    Feasible     3646.83	7-1-8-9-4-2-5-6-3-10    | 1-8-7 | 9 | 4-2 | 5-6 | 10-3 |
 4_10_5_1.0_2.0     16447.7      3154      4430     8863.7       51.3969    Feasible     3634.77	3-4-8-9-10-2-6-1-5-7    | 8-4-3 | 9-10-2 | 1-7-6-5 |
 5_10_5_1.0_2.0     17714.9      4168      6440     7106.9       60.9482    Feasible     3643.15	5-1-4-10-7-6-3-8-2-9    | 5-1 | 4 | 10 | 6-7 | 3-9-2-8 |
 1_10_5_1.0_2.5     14225.6      3259      5530     5436.6       49.0197    Feasible     3610.36	1-3-7-4-9-8-5-6-2-10    | 1-7-3 | 9-4 | 8-6-5 | 2-10 |
 2_10_5_1.0_2.5     13105.8      3786      5400     3919.8       40.6962    Feasible     3638.81	5-2-6-4-1-10-3-7-8-9    | 5-2 | 4-6 | 1-10-3-7 | 8-9 |
 3_10_5_1.0_2.5     15524.6      3998      4950     6576.6       54.2455    Feasible     3631.95	8-4-10-1-5-7-2-3-6-9    | 8-4-10 | 5-1 | 2-7 | 3-9-6 |
 4_10_5_1.0_2.5     13742.2      4298      5270     4174.2       48.3891    Feasible     3625.84	4-1-7-3-2-6-10-9-8-5    | 4-1 | 7 | 2-3 | 9-10-6 | 5-8 |
 5_10_5_1.0_2.5     11620.1      2965      4810     3845.1       45.3103    Feasible     3632.04	3-9-10-4-1-8-7-5-6-2    | 3-9-4-10 | 8-1 | 5-7 | 6-2 |
 1_10_5_1.5_0.5     14103.6      3040      4710     6353.6       51.9096    Feasible      3636.7	10-7-5-2-1-4-8-6-3-9    | 5-7-10 | 1-2-4 | 8-6 | 3-9 |
 2_10_5_1.5_0.5     13460.9      3642      4420     5398.9       54.2753    Feasible     3639.39	8-3-4-2-1-5-6-10-7-9    | 8-3 | 2-4 | 1-5-6-10 | 9-7 |
 3_10_5_1.5_0.5     14380.5      3890      4100     6390.5        62.276    Feasible     3643.92	2-8-3-6-10-1-5-9-4-7    | 8-2 | 6-3 | 10-1 | 5-9-4 | 7 |
 4_10_5_1.5_0.5     16379.2      4126      5000     7253.2       59.0855    Feasible      3630.6	9-5-1-8-2-3-10-7-6-4    | 9-5-1 | 8-2 | 3-7-10 | 4-6 |
 5_10_5_1.5_0.5       13252      3239      4310       5699       53.1655    Feasible     3617.23	5-1-6-9-10-4-3-7-8-2    | 5 | 6-1 | 9-10-4-3 | 8-2-7 |
 1_10_5_1.5_1.0     14740.7      2737      4740     7263.7       50.9611    Feasible     3608.01	3-5-8-7-9-4-1-6-10-2    | 3-8-5 | 9-6-7-4-1 | 2-10 |
 2_10_5_1.5_1.0     14218.1      3249      3690     7279.1       58.8878    Feasible     3661.73	7-4-2-9-5-6-1-3-8-10    | 7-2-4 | 5-9 | 1-6-3 | 8-10 |
 3_10_5_1.5_1.0     14882.3      3047      5210     6625.3       46.6124    Feasible     3628.26	10-1-6-5-4-9-2-8-7-3    | 1-10 | 5-6-4 | 2-9 | 3-7-8 |
 4_10_5_1.5_1.0     16398.2      3588      5970     6840.2       59.2412    Feasible     3636.07	5-9-1-8-3-10-7-6-2-4    | 9-5 | 1 | 3-10-8 | 7-6 | 4-2 |
 5_10_5_1.5_1.0     12951.9      3798      4280     4873.9       55.9572    Feasible     3639.58	5-7-2-3-6-1-9-4-8-10    | 7-5 | 3-6-2 | 1 | 9-4-8 | 10 |
 1_10_5_1.5_1.5     18269.9      4800      6050     7419.9       63.2745    Feasible      3618.8	9-4-8-2-6-7-1-5-10-3    | 9-4-8 | 2 | 6-7 | 1-5 | 3-10 |
 2_10_5_1.5_1.5     12678.3      3066      4770     4842.3       49.6879    Feasible     3650.28	3-10-1-6-4-5-7-2-8-9    | 3-10 | 4-6-1-5 | 2-7-8 | 9 |
 3_10_5_1.5_1.5     16353.3      3275      6070     7008.3       50.7596    Feasible     3621.14	6-3-1-4-10-5-2-7-8-9    | 3-6 | 1-10-5-4 | 2-7 | 8-9 |
 4_10_5_1.5_1.5     12597.4      3104      3310     6183.4       58.8608    Feasible     3609.25	10-4-6-3-7-1-9-2-8-5    | 10-4 | 6-3 | 7-1-9 | 8-5-2 |
 5_10_5_1.5_1.5     15556.4      4028      4830     6698.4       50.9575    Feasible     3668.07	2-8-6-7-1-5-10-9-3-4    | 2-8 | 7-1-6 | 5-10 | 3-4-9 |
 1_10_5_1.5_2.0     10195.1      3977      3240     2978.1       40.6517    Feasible     3619.22	2-7-5-8-6-4-1-9-10-3    | 7-2 | 5-8 | 6-4 | 9-1 | 3-10 |
 2_10_5_1.5_2.0     14587.8      4044      4370     6173.8       51.5289    Feasible     3635.51	8-3-2-4-6-9-7-10-5-1    | 3 | 8-2-4 | 7-9-6-10 | 1-5 |
 3_10_5_1.5_2.0     11383.7      3534      4180     3669.7       53.9425    Feasible     3628.54	4-7-1-10-3-2-9-5-8-6    | 1-7-10-4 | 3-2 | 9-5-8 | 6 |
 4_10_5_1.5_2.0     13985.4      3927      4930     5128.4        50.719    Feasible     3610.84	4-1-8-9-3-6-2-10-5-7    | 4-1-8 | 3-9 | 6-2 | 5-7-10 |
 5_10_5_1.5_2.0     11902.7      3307      4820     3775.7       45.8544    Feasible      3640.6	10-3-4-1-9-2-6-8-7-5    | 10-3 | 1-9-4 | 2-6 | 8-7-5 |
 1_10_5_1.5_2.5     10785.6      3713      3040     4032.6       43.0015    Feasible      3614.6	8-4-2-3-6-9-10-1-7-5    | 2-4-8 | 3-6 | 1-9-10 | 7-5 |
 2_10_5_1.5_2.5     14455.4      3954      5040     5461.4       55.6187    Feasible     3647.31	9-6-10-4-5-8-1-2-3-7    | 10-6-9 | 8-4-5 | 1-2 | 7-3 |
 3_10_5_1.5_2.5     13805.2      3547      5900     4358.2        53.319    Feasible     3664.71	9-8-7-2-6-1-10-3-5-4    | 8-9 | 1-2-6-7 | 10-3 | 4-5 |
 4_10_5_1.5_2.5     15071.8      3436      5100     6535.8       53.6345    Feasible     3629.86	1-7-8-2-5-4-10-9-3-6    | 1-7 | 8-5-2 | 4-10 | 3-6-9 |
 5_10_5_1.5_2.5     15053.7      4216      5800     5037.7       55.7934    Feasible     3610.86	6-8-7-10-4-3-5-9-2-1    | 8-6 | 10-7 | 4 | 5-3 | 2-9-1 |
 1_10_5_2.0_0.5     15354.5      3727      4690     6937.5       60.4312    Feasible     3609.62	10-3-2-1-4-9-5-8-6-7    | 3-10 | 1-2 | 5-4-9 | 8-7-6 |
 2_10_5_2.0_0.5     14350.4      3475      4870     6005.4       61.2619    Feasible     3612.27	10-1-4-9-7-8-3-2-6-5    | 10-1 | 4-9-7 | 3-8 | 2-5-6 |
 3_10_5_2.0_0.5     14937.1      3165      5520     6252.1       59.6439    Feasible     3623.18	7-1-6-9-10-2-8-5-3-4    | 1-7 | 10-6-9 | 2-8-5 | 3-4 |
 4_10_5_2.0_0.5     18081.7      4839      7180     6062.7       57.9148    Feasible     3628.15	1-5-6-3-8-2-10-9-7-4    | 1-5 | 6-3 | 8-2 | 10-9 | 7-4 |
 5_10_5_2.0_0.5     13717.6      3774      4420     5523.6       55.6983    Feasible     3610.98	2-5-4-8-10-7-9-6-1-3    | 5-8-2-4 | 7-10 | 9-6 | 3-1 |
 1_10_5_2.0_1.0     15062.8      3423      3979     7649.8       55.9247    Feasible     3629.06	3-6-8-10-2-5-9-1-4-7    | 8-6-3 | 2-10-5 | 9-1-4-7 |
 2_10_5_2.0_1.0     15675.3      2911      6390     6374.3       62.5763    Feasible     3610.66	6-2-4-1-8-10-7-9-3-5    | 4-2-6 | 8-1 | 9-7-10 | 5-3 |
 3_10_5_2.0_1.0     11912.9      3274      2230     6408.9       56.7608    Feasible     3610.58	8-4-7-1-5-6-3-10-9-2    | 4-8-7 | 5-3-6-1 | 10-9-2 |
 4_10_5_2.0_1.0       14281      3214      4060       7007       54.9403    Feasible     3630.67	3-4-5-10-8-2-6-1-9-7    | 3-8-4-10-5 | 6-2-1 | 7-9 |
 5_10_5_2.0_1.0     15814.2      4245      5910     5659.2       56.8902    Feasible     3642.21	6-7-8-3-9-2-1-10-4-5    | 6-7 | 8 | 3-9 | 1-10-2 | 4-5 |
 1_10_5_2.0_1.5     12378.9      2682      4200     5496.9        53.775    Feasible     3625.36	9-10-1-2-7-5-3-4-6-8    | 9-1-10 | 2-5-7 | 3-6-8-4 |
 2_10_5_2.0_1.5     11881.2      4460      3090     4331.2       56.5679    Feasible     3627.89	2-4-7-8-6-1-9-5-3-10    | 4-7-2 | 8 | 1-6 | 3-5-9 | 10 |
 3_10_5_2.0_1.5        9024      3247      2470       3307       40.1463    Feasible        3609	3-7-10-6-1-9-8-4-2-5    | 10-3-7 | 6-1-9 | 5-8-2-4 |
 4_10_5_2.0_1.5     11965.6      3449      3610     4906.6        54.794    Feasible     3627.75	7-6-9-10-8-1-4-3-2-5    | 9-7-6 | 8-4-10-1 | 2-3 | 5 |
 5_10_5_2.0_1.5     11781.4      3372      3450     4946.4       55.8972    Feasible     3629.85	7-9-4-10-6-3-5-8-1-2    | 7-9-4 | 10 | 3-5-6 | 2-8-1 |
 1_10_5_2.0_2.0     13672.9      3144      4680     5848.9       50.8944    Feasible     3637.51	5-8-2-10-6-3-7-4-1-9    | 8-5-2 | 6-10-3-7 | 9-1-4 |
 2_10_5_2.0_2.0     10833.6      3821      4390     2622.6       45.9963    Feasible     3624.23	4-10-3-5-8-7-6-9-1-2    | 3-10-5-4 | 8-7 | 6-9 | 1-2 |
 3_10_5_2.0_2.0     16829.1      3938      6360     6531.1        57.902    Feasible     3610.29	8-6-4-9-3-10-2-7-1-5    | 6-8 | 4-3-9 | 2-10 | 5-7-1 |
 4_10_5_2.0_2.0     15139.8      3308      2890     8941.8         61.28    Feasible     3635.36	2-3-8-5-7-6-9-10-4-1    | 8-3-2 | 6-5-7 | 9-4-10-1 |
 5_10_5_2.0_2.0       10523      3279      3590       3654       43.9517    Feasible     3636.27	4-8-5-3-7-10-1-2-9-6    | 8-5-4 | 3-7 | 1-10-2 | 9-6 |
 1_10_5_2.0_2.5     15032.4      4270      5060     5702.4       55.2667    Feasible     3639.75	1-4-8-7-6-5-3-2-10-9    | 4-8-1 | 6-5-7 | 2-10-3 | 9 |
 2_10_5_2.0_2.5        8861      3307      3490       2064       30.1934    Feasible     3605.42	1-8-9-4-10-6-3-5-7-2    | 1-8 | 4-10-9 | 5-3-6 | 7-2 |
 3_10_5_2.0_2.5     14425.2      4012      5930     4483.2       54.8791    Feasible     3659.74	10-7-6-4-8-9-3-1-2-5    | 7-10 | 6-4 | 8-1-3-9 | 2-5 |
 4_10_5_2.0_2.5     13335.1      3135      5330     4870.1       55.3488    Feasible     3653.84	1-2-3-7-4-8-9-5-10-6    | 1-2 | 7-4-3 | 8-9 | 5-10-6 |
 5_10_5_2.0_2.5     14027.1      3618      5200     5209.1       52.6714    Feasible      3641.7	2-3-4-1-8-6-10-5-9-7    | 3-2 | 4-1 | 6-8-10-5 | 9-7 |
 1_10_6_1.0_0.5     12561.9      3890      3630     5041.9       49.5259    Feasible     3623.54	8-10-5-1-6-7-4-2-9-3    | 8-10-5 | 1-6 | 7-2-4 | 3-9 |
 2_10_6_1.0_0.5     11209.6      3929      3260     4020.6        50.105    Feasible     3664.37	4-6-9-1-2-3-5-8-7-10    | 1-9-6-4 | 2-3 | 5-8 | 10-7 |
 3_10_6_1.0_0.5     11429.1      4533      2170     4726.1       39.1358    Feasible     3613.91	8-4-7-3-9-1-2-6-5-10    | 7-4-8 | 9-1-3 | 6-2 | 5-10 |
 4_10_6_1.0_0.5     11258.8      3978      3030     4250.8       49.1403    Feasible     3636.87	8-3-4-10-7-9-2-1-6-5    | 8-3 | 7-4-10 | 2-9 | 5-6-1 |
 5_10_6_1.0_0.5     11800.1      5121      3250     3429.1       48.3327    Feasible     3677.19	7-5-6-8-3-9-4-1-2-10    | 7-5 | 6-8 | 3-4-9 | 1 | 2-10 |
 1_10_6_1.0_1.0     15087.2      5245      4310     5532.2       58.7974    Feasible     3672.46	5-3-9-2-7-6-8-10-4-1    | 3-5 | 2-9 | 7 | 6-8 | 10-4 | 1 |
 2_10_6_1.0_1.0     13138.3      4273      4050     4815.3       50.7622    Feasible      3625.6	3-5-4-7-6-2-8-1-9-10    | 5-3 | 7-4 | 1-6-8-2 | 9-10 |
 3_10_6_1.0_1.0     17265.4      5568      4510     7187.4       57.2537    Feasible     3622.48	4-9-7-1-3-2-5-10-6-8    | 7-4-9 | 1-3 | 2 | 10-5 | 8-6 |
 4_10_6_1.0_1.0       12792      4555      3249       4975        52.505    Feasible     3640.03	8-1-6-9-3-10-4-7-2-5    | 8-1 | 6-9 | 10-3-4 | 2-5-7 |
 5_10_6_1.0_1.0     16479.2      4286      5020     7173.2       54.0164    Feasible     3667.56	2-4-9-3-7-5-1-10-6-8    | 4-2 | 9-3-7 | 5 | 6-8-10-1 |
 1_10_6_1.0_1.5     14663.9      5063      4130     5470.9       59.2411    Feasible     3614.09	7-6-5-4-2-8-9-1-3-10    | 6-7 | 5 | 2-8-4 | 9-1 | 3-10 |
 2_10_6_1.0_1.5     11971.3      4824      5260     1887.3       32.3036    Feasible     3619.41	5-3-4-10-1-9-2-7-6-8    | 4-3-5 | 9-1-10 | 2-7 | 6 | 8 |
 3_10_6_1.0_1.5     11112.1      4368      3060     3684.1       45.8897    Feasible     3698.79	4-10-9-8-1-7-2-5-6-3    | 9-8-10-4 | 1-7 | 2-5 | 3-6 |
 4_10_6_1.0_1.5       18626      4092      4980       9554       61.3834    Feasible     3627.11	10-7-8-1-9-3-4-6-5-2    | 8-7-10 | 9-1-4-3 | 5-6 | 2 |
 5_10_6_1.0_1.5     13551.4      4611      5620     3320.4       45.9197    Feasible     3637.27	5-6-9-2-10-7-4-3-1-8    | 5-6 | 10-2-9 | 4-7 | 1-3 | 8 |
 1_10_6_1.0_2.0     16001.2      4889      6010     5102.2       46.5243    Feasible     3633.14	3-8-2-10-4-6-7-9-5-1    | 3-8-2 | 10-6-4 | 7-9 | 5 | 1 |
 2_10_6_1.0_2.0     13209.3      4640      5320     3249.3       46.8849    Feasible     3645.62	1-4-3-10-7-9-5-2-6-8    | 1 | 4-10-3 | 7-5-9 | 2-6 | 8 |
 3_10_6_1.0_2.0     13752.8      4445      4400     4907.8       47.6896    Feasible     3644.53	1-8-7-10-2-6-3-4-5-9    | 8-1 | 7 | 10-2 | 6-4-3 | 9-5 |
 4_10_6_1.0_2.0       15903      3482      6240       6181       58.7582    Feasible     3631.23	9-5-1-8-7-3-4-6-10-2    | 9-5 | 8-1 | 7-3 | 4-6 | 2-10 |
 5_10_6_1.0_2.0     10924.2      3828      3660     3436.2       41.5136    Feasible     3656.62	1-3-8-6-2-9-5-10-7-4    | 8-6-3-1 | 9-10-2-5 | 4-7 |
 1_10_6_1.0_2.5     12773.9      4030      4910     3833.9       43.7356    Feasible     3668.72	6-2-10-4-1-7-5-8-3-9    | 2-6 | 10-4-1 | 5-7-8 | 9-3 |
 2_10_6_1.0_2.5     16041.7      5467      6390     4184.7       47.1418    Feasible      3653.2	3-9-2-6-4-8-7-5-10-1    | 3-9 | 4-6-2 | 8 | 5-7 | 10-1 |
 3_10_6_1.0_2.5     13338.3      4377      3920     5041.3       46.2373    Feasible     3622.02	9-7-8-10-2-3-4-6-1-5    | 9-8 | 10-7 | 4-2-3-6 | 5-1 |
 4_10_6_1.0_2.5     11956.9      4172      4280     3504.9       43.3449    Feasible      3614.6	3-5-2-4-1-9-6-7-10-8    | 3-5 | 2-4-1 | 6-9 | 7 | 8-10 |
 5_10_6_1.0_2.5     14596.6      3899      5380     5317.6       49.8226    Feasible     3648.48	5-8-2-4-7-1-9-6-10-3    | 8-2-5 | 4-7-1 | 6-9 | 10-3 |
 1_10_6_1.5_0.5     17997.5      3986      4090     9921.5       55.0483    Feasible     3624.75	4-8-6-9-3-5-1-10-2-7    | 9-6-4-8 | 10-1-3-5 | 7-2 |
 2_10_6_1.5_0.5     15216.2      4608      4390     6218.2       55.9791    Feasible     3626.54	1-6-10-8-2-9-7-5-4-3    | 6-1 | 8-10 | 9-2 | 7-5 | 3-4 |
 3_10_6_1.5_0.5       14151      4898      3170       6083       51.8555    Feasible     3622.07	8-7-1-9-5-4-2-3-10-6    | 1-7-8 | 9-5 | 2-4 | 6-10-3 |
 4_10_6_1.5_0.5     17055.6      6305      5650     5091.6       52.2314    Feasible     3632.53	7-8-1-5-3-9-2-10-6-4    | 7-8 | 1 | 5-3 | 9-2 | 10 | 6-4 |
 5_10_6_1.5_0.5     10272.3      4212      2710     3350.3       40.9529    Feasible     3635.96	8-3-10-6-2-7-4-5-9-1    | 8-3-10 | 2-6-7 | 4-5 | 9-1 |
 1_10_6_1.5_1.0     13847.9      3969      5220     4658.9       58.6581    Feasible     3624.09	9-6-5-3-2-4-10-7-8-1    | 9-5-6 | 3 | 2-4 | 10-7-8 | 1 |
 2_10_6_1.5_1.0     16446.3      4491      5750     6205.3       51.5144    Feasible     3638.71	7-3-10-5-1-4-2-6-9-8    | 3-7 | 1-10-5 | 4-6-2 | 8-9 |
 3_10_6_1.5_1.0     16610.1      4464      3690     8456.1       59.4823    Feasible     3644.25	6-7-4-10-3-9-1-5-8-2    | 7-4-6 | 3-10 | 1-9 | 5-2-8 |
 4_10_6_1.5_1.0     15985.7      3288      4990     7707.7       58.1796    Feasible     3643.11	8-4-10-5-6-1-2-3-7-9    | 8-10-4 | 5-6 | 2-1 | 3-9-7 |
 5_10_6_1.5_1.0     13730.8      4360      4380     4990.8       57.5139    Feasible     3643.93	2-5-9-8-4-1-6-10-7-3    | 2-5-9 | 8-4 | 6-1 | 7-3-10 |
 1_10_6_1.5_1.5     12120.2      4100      2990     5030.2       54.6138    Feasible     3624.28	2-9-4-8-3-7-5-6-1-10    | 9-4-2 | 7-3-8 | 5-6 | 1-10 |
 2_10_6_1.5_1.5     13534.5      3372      3870     6292.5       57.3397    Feasible     3641.76	7-1-3-6-8-5-10-9-2-4    | 1-3-7 | 8-6 | 10-5 | 4-2-9 |
 3_10_6_1.5_1.5     15755.1      3605      5070     7080.1       57.7706    Feasible     3645.89	9-8-3-6-2-5-1-4-10-7    | 8-9 | 3-6-2 | 5-1-4 | 7-10 |
 4_10_6_1.5_1.5     14403.2      4499      4630     5274.2       48.1359    Feasible     3664.98	7-4-1-9-5-6-2-10-8-3    | 4-7-1 | 5-9 | 6-2 | 8-10-3 |
 5_10_6_1.5_1.5     15607.8      4777      4140     6690.8       57.6047    Feasible     3612.22	10-6-1-2-9-5-7-3-8-4    | 10-6 | 2-1 | 5-7-9 | 8-4-3 |
 1_10_6_1.5_2.0     13862.9      3900      5690     4272.9       50.4306    Feasible     3667.81	6-9-7-8-10-1-4-3-2-5    | 9-6 | 10-7-8 | 1 | 3-4-2 | 5 |
 2_10_6_1.5_2.0     14802.6      4503      5130     5169.6       52.7705    Feasible     3615.19	6-3-1-2-9-8-4-5-10-7    | 3-6 | 2-1-9-8 | 4 | 7-5-10 |
 3_10_6_1.5_2.0     13809.8      4209      4490     5110.8        48.793    Feasible     3635.29	5-6-8-7-2-10-1-9-3-4    | 6-5 | 7-8-2 | 10-1 | 4-9-3 |
 4_10_6_1.5_2.0     15941.1      5559      6940     3442.1       49.0958    Feasible     3627.36	8-7-9-1-6-2-10-3-5-4    | 7-8 | 9-1 | 6-2 | 3-10 | 5 | 4 |
 5_10_6_1.5_2.0     13375.3      5952      3940     3483.3       53.1129    Feasible     3610.59	7-3-1-6-5-8-2-10-4-9    | 7 | 1-3 | 6-5 | 2-8 | 10 | 4-9 |
 1_10_6_1.5_2.5     10742.7      3146      3690     3906.7       56.4989    Feasible      3630.8	6-10-8-9-7-3-1-5-4-2    | 8-7-6-9-10 | 1-5-3 | 4 | 2 |
 2_10_6_1.5_2.5     12461.4      5208      3870     3383.4       48.0741    Feasible     3638.66	5-8-10-4-3-1-6-7-9-2    | 8-5 | 4-10 | 1-6-3 | 7 | 9-2 |
 3_10_6_1.5_2.5     14917.9      3962      6060     4895.9       51.1036    Feasible     3633.08	5-3-8-7-2-4-10-9-6-1    | 3-5 | 7-2-8 | 10-9-4-6 | 1 |
 4_10_6_1.5_2.5     12702.8      5073      3630     3999.8       52.6995    Feasible     3654.83	4-5-6-2-9-3-8-7-1-10    | 5-4 | 2-6 | 9-3-8 | 1-7 | 10 |
 5_10_6_1.5_2.5     16834.9      4788      5880     6166.9        56.976    Feasible     3658.86	7-5-8-2-1-3-10-4-6-9    | 5-7 | 8 | 2-1 | 4-3-10 | 6-9 |
 1_10_6_2.0_0.5     12188.4      4020      3930     4238.4       60.7103    Feasible     3613.17	2-7-4-10-1-3-8-5-6-9    | 7-2 | 10-4 | 3-1 | 8-5-6 | 9 |
 2_10_6_2.0_0.5     13198.1      5244      4010     3944.1       51.5632    Feasible     3611.07	9-2-6-10-3-1-5-7-8-4    | 2-9 | 3-6-10 | 1 | 7-5 | 4-8 |
 3_10_6_2.0_0.5     16138.4      4234      5140     6764.4       53.3739    Feasible     3619.41	6-8-9-7-4-3-2-5-10-1    | 6-8 | 9-7 | 4-2-3 | 5-10-1 |
 4_10_6_2.0_0.5     15178.9      5024      5320     4834.9       58.4362    Feasible     3622.65	2-6-8-3-4-7-9-1-10-5    | 8-6-2 | 3-4 | 7-9 | 1-10 | 5 |
 5_10_6_2.0_0.5     14061.8      4974      4520     4567.8        52.889    Feasible     3616.09	2-6-10-5-7-4-3-9-8-1    | 6-2 | 7-5-10 | 3-4 | 9-1-8 |
 1_10_6_2.0_1.0     11797.3      3601      3610     4586.3        43.988    Feasible     3609.83	2-5-6-8-9-3-4-7-1-10    | 5-6-2 | 7-3-4-8-9 | 1-10 |
 2_10_6_2.0_1.0       13237      4678      3660       4899       51.9685    Feasible     3648.55	8-2-7-9-10-6-5-1-3-4    | 8-2 | 9-7 | 10-6-5 | 1-4-3 |
 3_10_6_2.0_1.0     13294.9      4749      4030     4515.9       51.4584    Feasible     3652.82	4-3-9-6-10-1-8-5-7-2    | 4 | 3-9 | 10-6 | 1-5-8 | 7-2 |
 4_10_6_2.0_1.0      7898.5      4044      1280     2574.5       34.3262    Feasible     3608.74	6-2-1-9-5-10-7-4-3-8    | 6-2 | 1-5-9 | 10-4-7 | 8-3 |
 5_10_6_2.0_1.0     16879.6      5010      4930     6939.6       61.4677    Feasible     3637.32	2-7-5-4-1-3-10-9-8-6    | 7 | 2-4-5 | 3-1 | 9-10 | 6-8 |
 1_10_6_2.0_1.5     10503.2      4892      2440     3171.2       49.2266    Feasible     3632.11	5-10-8-9-2-1-4-3-6-7    | 8-10-5 | 2 | 1-4-9 | 3 | 7-6 |
