       Instance   Obj_Value     Obj_1     Obj_2      OBj_3  RelativeGap%      Status     CPUtime	Processing_Order        Vehicle_Routes
 4_10_3_1.5_1.0     11018.4      2107      3690     5221.4       46.9228    Feasible     3609.48	2-4-5-9-8-1-7-6-3-10    | 4-5-2 | 9-1-8 | 10-7-3-6 |
 5_10_3_1.5_1.0     10776.6      2212      3240     5324.6       59.0356    Feasible     3608.46	8-5-3-7-4-10-2-1-6-9    | 5-8-3 | 7-10-4 | 9-6-1-2 |
 1_10_3_1.5_1.5     13511.8      2226      4370     6915.8       59.0135    Feasible     3609.03	8-1-9-3-2-10-4-6-7-5    | 1-8-9-3 | 4-2-10 | 6-5-7 |
 2_10_3_1.5_1.5     16568.6      2250      4840     9478.6       62.5391    Feasible     3625.57	3-7-6-2-10-8-9-5-1-4    | 7-3-6 | 2-10 | 1-9-5-4-8 |
 3_10_3_1.5_1.5     16912.6      2344      4090    10478.6       67.4275    Feasible     3612.42	7-3-9-10-6-4-1-8-5-2    | 7-9-10-3 | 6-1-4 | 8-5-2 |
 4_10_3_1.5_1.5     12901.3      1786      4130     6981.3       65.6965    Feasible     3609.09	1-4-8-2-3-5-6-7-9-10    | 1-4-8 | 5-3-2-6 | 7-10-9 |
 5_10_3_1.5_1.5     14711.8      2076      4420     8215.8       63.8763    Feasible     3637.86	7-5-10-8-3-2-4-1-6-9    | 10-7-5 | 8-2-4-3 | 1-9-6 |
 1_10_3_1.5_2.0     18247.1      1970      4850    11427.1       67.1649    Feasible     3609.24	2-8-6-7-10-5-3-9-4-1    | 8-6-2 | 10-7 | 4-5-1-3-9 |
 2_10_3_1.5_2.0     13945.9      1975      4870     7100.9       61.0596    Feasible     3609.56	4-3-7-6-10-5-9-8-2-1    | 7-3-4-6 | 9-10-5 | 8-1-2 |
 3_10_3_1.5_2.0     13002.2      1917      4230     6855.2       57.3564    Feasible     3608.63	5-7-9-10-1-4-2-6-8-3    | 7-9-1-10-5 | 4-2 | 6-3-8 |
 4_10_3_1.5_2.0     13183.2      2476      4980     5725.2       53.7267    Feasible      3607.6	10-4-6-3-8-7-9-2-5-1    | 6-4-3-10 | 8-7-9 | 1-2-5 |
 5_10_3_1.5_2.0      8499.7      1767      3030     3702.7       44.2383    Feasible     3609.42	10-9-7-5-6-3-1-8-4-2    | 10-7-9 | 3-6-1-5 | 4-2-8 |
 1_10_3_1.5_2.5     12377.1      2252      5420     4705.1       50.5906    Feasible     3609.76	6-1-8-2-10-7-4-3-9-5    | 6-1-2-8 | 7-4-10 | 3-9-5 |
 2_10_3_1.5_2.5     12254.7      1874      4870     5510.7       55.1181    Feasible     3608.89	5-4-1-7-3-2-9-8-10-6    | 1-5-4 | 9-3-2-7 | 6-8-10 |
