       Instance   Obj_Value     Obj_1     Obj_2      OBj_3  RelativeGap%      Status     CPUtime	Processing_Order                                      Vehicle_Routes
 5_20_4_1.0_2.5     43553.2      4477     11400    27676.2       66.8393    Feasible     3619.21	15-7-8-11-10-2-13-6-16-4-5-19-14-12-17-20-18-1-9-3    | 15-8-11-7 | 6-10-2-16-4-13 | 19-17-14-5-18-20-12 | 3-1-9 |
 1_20_4_1.5_0.5       48098      3919     12420      31759       76.7287    Feasible     3614.94	18-11-10-16-2-7-14-3-1-13-5-4-12-19-15-6-9-8-17-20    | 14-18-11-10-16-7-2 | 3-13-1-4-12-5 | 15-8-9-6-19 | 17-20 |
 2_20_4_1.5_0.5     52509.6      5684     15240    31585.6       64.1113    Feasible      3617.6	14-16-5-8-17-6-9-2-11-19-10-18-20-1-4-15-7-12-3-13    | 17-14-8-16-5 | 6-2-19-11-9 | 10-18-1-20-4 | 13-12-7-3-15 |
 3_20_4_1.5_0.5     44070.5      4794     11440    27836.5       70.9082    Feasible     3613.27	17-8-7-1-6-14-16-4-3-20-11-18-19-2-9-10-5-12-13-15    | 17-8-7 | 6-4-1-16-20-3-14 | 18-11-19 | 15-5-9-10-13-2-12 |
 4_20_4_1.5_0.5     65232.2      5068     19140    41024.2       75.2701    Feasible     3616.98	16-15-8-2-6-19-17-11-18-10-12-14-13-5-3-7-9-20-4-1    | 16-15-8-6-2 | 11-19-17 | 10-18-12-14-13 | 9-7-20-3-4-1-5 |
 5_20_4_1.5_0.5     42467.6      4833      8460    29174.6       71.4673    Feasible     3634.05	4-9-18-17-7-1-12-3-19-2-5-11-16-10-15-13-6-14-20-8    | 4-17-12-1-9-7-18-3 | 19-5-2 | 11-16-15-10 | 14-20-8-13-6 |
 1_20_4_1.5_1.0     60014.1      4471     15420    40123.1       75.5209    Feasible     3614.08	18-12-19-16-20-7-5-17-8-6-1-2-13-10-11-9-15-4-14-3    | 20-19-18-16-12 | 5-8-7-17-6 | 10-13-1-11-2-9 | 15-3-14-4 |
 2_20_4_1.5_1.0     46075.7      4508      9160    32407.7       76.4176    Feasible     3614.52	10-20-5-14-2-3-6-7-16-19-17-9-4-1-13-12-8-18-15-11    | 5-14-10-20 | 6-2-19-3-7-17-9-16 | 1-13-12-4 | 18-8-15-11 |
 3_20_4_1.5_1.0     42871.4      4034     13300    25537.4        68.382    Feasible     3615.13	10-18-11-3-17-2-20-14-5-19-13-16-6-4-12-1-15-7-9-8    | 18-11-10-3-17 | 20-2-14 | 19-5-13-16 | 12-4-6-1-8-15-7-9 |
 4_20_4_1.5_1.0     81323.8      5926     17040    58357.8       80.9305    Feasible     3619.58	20-7-3-5-12-8-18-16-10-13-4-2-6-11-1-17-19-15-9-14    | 20-7 | 12-5-18-8-3 | 4-2-16-13-10 | 6-11-9-15-1-19-17-14 |
 5_20_4_1.5_1.0     54368.5      4512     17380    32471.5       69.2039    Feasible     3620.13	13-15-20-4-2-19-17-14-11-3-9-18-1-8-5-6-12-7-16-10    | 13-15-20 | 4-17-2-19 | 14-9-18-11-1-3 | 10-16-12-6-8-5-7 |
 1_20_4_1.5_1.5     54500.7      5084     12380    37036.7        71.016    Feasible     3625.36	8-12-16-4-11-15-5-7-10-18-19-2-9-20-1-13-17-3-6-14    | 11-16-12-4-15-8 | 5-10-19-7-18 | 2-9-20-1 | 14-3-13-17-6 |
 2_20_4_1.5_1.5     46661.4      4776     14080    27805.4       72.3274    Feasible     3606.87	15-13-4-20-2-18-1-6-8-11-16-14-9-5-19-12-3-7-10-17    | 2-4-15-13-18-20 | 6-1-8 | 19-14-9-11-12-16-5 | 17-3-7-10 |
 3_20_4_1.5_1.5     53082.7      4472     14960    33647.7       74.3468    Feasible     3624.77	1-20-13-18-15-4-2-8-5-16-9-7-17-6-11-3-14-12-19-10    | 1-18-13-20 | 16-5-4-8-15-2 | 6-7-17-9 | 14-19-10-11-3-12 |
 4_20_4_1.5_1.5     71372.8      4739     13620    53013.8       79.6081    Feasible     3614.96	2-14-15-6-8-13-12-11-5-1-4-16-19-17-7-10-20-3-9-18    | 2-15-14 | 13-11-12-6-8 | 17-16-1-4-5-19 | 10-7-18-20-9-3 |
 5_20_4_1.5_1.5     72363.3      4914     20140    47309.3        75.597    Feasible     3611.64	8-1-18-12-6-2-11-17-9-16-4-20-5-14-13-10-19-3-15-7    | 1-18-8 | 6-12-2 | 4-9-16-11-20-17 | 14-10-19-3-15-13-5-7 |
 1_20_4_1.5_2.0     51303.1      4614     16760    29929.1       71.7312    Feasible     3613.77	2-6-15-17-20-16-7-13-14-8-4-19-1-11-9-12-18-5-10-3    | 15-2-6-17-20-16 | 13-14-19-8-4-7 | 1-9-12-11 | 18-3-10-5 |
 2_20_4_1.5_2.0     52137.9      4840     18160    29137.9       68.9122    Feasible     3607.79	15-9-6-12-1-16-10-5-2-3-7-4-11-13-8-18-17-14-20-19    | 6-5-10-9-15-16-1-12 | 2-4-3-11-7 | 13-8-18-17 | 20-19-14 |
 3_20_4_1.5_2.0     45063.6      3823     13080    28160.6       75.2228    Feasible     3617.16	11-2-4-9-10-18-6-12-16-17-8-14-1-3-15-13-5-20-19-7    | 9-4-2-11 | 17-16-6-10-12-18 | 1-15-3-8-13-14 | 20-7-19-5 |
 4_20_4_1.5_2.0     84000.1      5682     21240    57078.1       73.8161    Feasible     3608.81	12-17-7-1-4-9-10-18-19-15-16-2-8-14-3-6-11-20-5-13    | 17-7-12 | 10-18-4-1-19-9 | 3-15-2-8-6-14-16 | 13-5-11-20 |
 5_20_4_1.5_2.0     53944.7      4605     11720    37619.7       76.1181    Feasible     3619.31	10-5-18-19-16-1-12-2-7-9-13-15-8-6-4-11-14-17-20-3    | 10-16-19-5-18 | 12-7-2-9-1 | 13-4-6-8-15 | 17-20-3-14-11 |
 1_20_4_1.5_2.5     68020.6      5262     14640    48118.6       72.7795    Feasible     3622.89	8-1-16-11-5-19-18-12-10-17-14-20-15-9-4-6-2-3-7-13    | 8-11-16-1 | 17-19-5-18-10-12 | 20-14-15 | 9-3-13-7-2-4-6 |
 2_20_4_1.5_2.5     51984.9      3570     13220    35194.9        68.683    Feasible     3609.66	20-9-7-5-1-10-8-2-6-11-18-4-13-16-17-15-3-14-19-12    | 5-2-20-7-9-10-8-1 | 16-4-6-13-11-17-18 | 14-3-15-19-12 |
 3_20_4_1.5_2.5     50915.9      5215     14720    30980.9       78.4328    Feasible     3611.04	10-18-15-7-4-3-1-2-5-20-11-19-17-13-14-9-8-6-12-16    | 10-4-18-7-15-3-1 | 11-20-5-2 | 19-9-17-8-14-13 | 16-12-6 |
 4_20_4_1.5_2.5     61651.6      4613     19620    37418.6        79.376    Feasible     3608.46	18-1-7-5-8-20-13-2-19-14-10-12-3-16-11-17-6-4-9-15    | 5-18-7-1 | 2-13-20-8 | 3-11-14-16-19-10-12 | 4-9-15-6-17 |
 5_20_4_1.5_2.5     65571.6      4830     20760    39981.6       73.5415    Feasible     3617.31	8-2-16-7-14-15-10-9-18-1-5-6-3-11-13-12-4-20-17-19    | 2-8-16 | 10-15-7-14 | 5-18-3-1-6-11-9 | 19-13-17-4-20-12 |
 1_20_4_2.0_0.5     54799.4      4106     12980    37713.4       78.2987    Feasible     3610.49	5-14-2-3-17-10-13-8-4-18-9-7-20-16-19-15-1-6-11-12    | 3-5-14-2 | 4-9-17-13-8-10-18 | 19-16-15-20-7 | 6-12-1-11 |
 2_20_4_2.0_0.5     58910.4      4593     15320    38983.4       75.5567    Feasible     3609.77	2-7-16-1-4-13-14-18-17-3-6-10-19-15-5-12-9-20-11-8    | 7-4-16-1-2 | 14-18-13-17 | 6-3-10-19-15 | 20-9-8-5-11-12 |
 3_20_4_2.0_0.5       73486      3805     18960      50721       76.6354    Feasible     3607.98	14-13-4-2-1-5-16-18-3-7-12-19-8-6-17-20-11-15-10-9    | 4-2-13-14-1-5 | 16-7-8-3-18-12-19 | 17-15-20-6-10-11-9 |
 4_20_4_2.0_0.5     54554.1      4280     14720    35554.1       79.5125    Feasible     3611.39	11-16-8-6-15-9-17-10-5-12-1-2-19-3-14-4-18-13-20-7    | 6-8-11-16 | 9-17-15 | 10-12-5-1 | 3-14-7-13-18-20-19-4-2 |
 5_20_4_2.0_0.5     61612.2      4711     14360    42541.2       71.2603    Feasible     3624.29	11-20-3-8-1-7-6-12-19-9-18-15-14-2-17-16-4-5-10-13    | 8-11-7-3-1-20 | 12-19-18-6-9 | 16-15-2-17-14 | 13-5-10-4 |
 1_20_4_2.0_1.0     61594.9      4301     13100    44193.9       78.8698    Feasible      3617.2	12-7-19-6-4-18-1-2-10-11-17-14-8-13-3-20-15-16-5-9    | 12-18-4-19-6-7 | 1-2 | 20-8-3-5-15-11-10-14-17-13-16 | 9 |
 2_20_4_2.0_1.0     69335.8      4327     11320    53688.8       82.7346    Feasible     3609.06	7-8-15-2-12-4-1-14-17-19-9-3-5-6-11-16-20-18-10-13    | 15-12-2-8-7 | 9-1-5-14-3-19-17-4 | 18-10-11-16-6-13-20 |
 3_20_4_2.0_1.0       67256      4777     27120      35343       76.0263    Feasible     3610.06	1-6-11-15-17-14-13-12-4-2-16-10-9-19-7-3-8-18-20-5    | 6-11-15-17-1 | 4-13-2-12 | 14-16-9-10 | 20-8-3-18-7-5-19 |
 4_20_4_2.0_1.0     53145.7      3922     18180    31012.7       76.3562    Feasible     3607.92	9-7-12-17-19-8-18-2-10-14-16-5-11-4-3-13-20-15-1-6    | 7-17-12-9 | 19-18-8 | 11-10-2-14-16-5 | 4-3-15-1-6-20-13 |
 5_20_4_2.0_1.0     63465.4      5311     16540    41614.4       79.2101    Feasible     3607.34	19-9-3-17-1-20-8-10-11-14-15-2-12-16-13-4-5-18-7-6    | 19-9-20-1-3-17 | 2-8-14-11-10-15 | 13-12-16 | 5-4-7-18-6 |
 1_20_4_2.0_1.5     50538.4      4145     12260    34133.4       78.3177    Feasible     3617.24	8-15-17-11-9-7-3-4-20-10-19-5-16-1-14-6-13-12-2-18    | 3-7-17-15-11-8-9 | 10-4-20 | 5-16-19-14-1 | 2-18-12-13-6 |
 2_20_4_2.0_1.5     52363.3      4142     14500    33707.3        75.072    Feasible     3627.29	2-13-5-20-8-4-7-16-6-9-3-17-11-15-10-14-19-18-12-1    | 5-8-20-2-13 | 9-4-7-6-16 | 17-10-11-3-15 | 18-14-19-12-1 |
 3_20_4_2.0_1.5     53136.1      4254     19180    29681.1        70.999    Feasible     3613.37	2-5-15-7-11-12-20-6-14-17-19-18-16-3-4-13-8-9-10-1    | 7-2-12-11-5-15 | 18-6-14-19-20-17 | 3-13-16-4 | 9-10-8-1 |
 4_20_4_2.0_1.5       78269      4402     19320      54547       79.1762    Feasible     3608.41	4-6-8-19-17-10-12-5-13-2-15-9-14-7-1-16-3-20-11-18    | 10-17-19-8-4-6 | 15-12-9-2-5-14-13 | 20-11-7-18-16-1-3 |
 5_20_4_2.0_1.5       65976      5002     13800      47174       78.5477    Feasible     3607.58	4-14-7-20-10-5-11-13-16-15-18-2-12-6-1-19-9-3-17-8    | 7-10-4-5-14-20 | 11-12-13-2-6-15-18 | 16-19-1 | 9-3-17-8 |
 1_20_4_2.0_2.0       64904      4305     18440      42159        71.908    Feasible     3613.75	15-1-17-20-18-5-12-7-8-13-6-11-16-2-19-4-14-10-9-3    | 17-15-20-1 | 18-7-12-5 | 6-11-2-16-8-13 | 3-10-9-14-4-19 |
 2_20_4_2.0_2.0     64567.2      5209     18200    41158.2       75.1435    Feasible     3608.26	18-8-6-17-16-5-2-15-19-11-4-3-9-12-7-13-1-20-14-10    | 18-8 | 19-11-5-6-17-16-15-2 | 12-9-3-4 | 7-14-10-20-13-1 |
 3_20_4_2.0_2.0     61955.8      3820     16400    41735.8       75.6889    Feasible     3607.52	12-16-4-5-20-13-1-6-18-11-17-7-10-8-9-19-15-3-2-14    | 20-13-12-16-5-4 | 8-1-19-7-6-17-11-18-10-9 | 14-2-3-15 |
 4_20_4_2.0_2.0     49983.1      4369     10140    35459.1       76.3068    Feasible     3611.33	2-19-7-17-15-10-12-1-4-6-16-18-5-3-20-13-8-14-11-9    | 7-15-19 | 10-17-2 | 12-6-5-18-3-16-13-20-4-8-1 | 14-9-11 |
 5_20_4_2.0_2.0     59184.4      3997     15760    39427.4        78.366    Feasible     3607.46	18-16-13-3-14-17-11-6-20-4-19-7-1-15-2-12-9-8-5-10    | 14-17-6-3-18-13-16-11-20 | 4-1-19-2-15-7 | 5-12-8-10-9 |
 1_20_4_2.0_2.5     48454.2      4125     18160    26169.2        73.488    Feasible     3607.35	20-15-6-2-14-8-3-5-10-13-16-17-19-1-12-4-7-9-18-11    | 2-15-20-6 | 14-8-3 | 13-1-12-17-19-16-10-5 | 9-11-18-4-7 |
 2_20_4_2.0_2.5     53431.9      5061     14040    34330.9       81.0449    Feasible     3608.73	12-20-7-15-2-6-16-18-5-8-9-1-17-3-11-10-13-14-4-19    | 12-20-15-7 | 16-5-2-18-6 | 3-11-10-8-17-9-1 | 13-4-14-19 |
 3_20_4_2.0_2.5     49208.8      4403     17160    27645.8       79.0849    Feasible     3614.26	1-18-11-13-14-19-7-17-20-6-15-9-12-4-8-3-10-16-2-5    | 14-1-19-17-11-18-7-13 | 6-15 | 12-4-9-20 | 2-8-10-16-5-3 |
 4_20_4_2.0_2.5     47906.7      6011      7920    33975.7       76.5746    Feasible     3626.47	12-9-10-18-20-19-4-8-11-1-14-3-13-7-5-2-15-6-16-17    | 12-18-9-20-19-10 | 8-4-11 | 14-3-7-13-1 | 2-17-6-16-5-15 |
 5_20_4_2.0_2.5     45909.8      4485     10600    30824.8       76.7514    Feasible     3612.09	12-20-6-4-15-16-5-9-7-14-17-3-1-8-18-10-2-19-13-11    | 15-4-6-20-12 | 5-16-3-14-7-17 | 8-18-1-9 | 13-10-11-2-19 |
 1_20_5_1.0_0.5     57380.6      6075     13860    37445.6        68.846    Feasible     3627.17	5-1-8-11-15-9-4-14-16-19-12-18-13-10-3-7-2-6-17-20    | 9-15-11-5-1-8 | 16-4-19-14 | 18-12-13 | 3-2-10-7 | 6-17-20 |
 2_20_5_1.0_0.5     45636.6      6047     13140    26449.6       69.4988    Feasible     3626.64	10-12-20-11-8-15-19-9-5-16-7-14-13-4-3-2-18-6-17-1    | 10-20-12-11 | 8-15-9-19 | 7-14-5-16 | 13-4 | 3-2-6-17-18-1 |
 3_20_5_1.0_0.5     49792.3      5599     15980    28204.3       67.2716    Feasible     3623.08	4-2-14-3-10-13-18-12-11-15-20-5-8-16-1-17-6-7-9-19    | 4-14-3-2 | 12-18-13-10-11 | 5-15-8-20 | 1-16-6-17-7 | 9-19 |
 4_20_5_1.0_0.5     41598.7      5399     11260    24939.7       70.8601    Feasible     3613.84	2-4-13-17-3-15-20-7-6-18-1-10-14-12-5-9-11-19-8-16    | 13-2-17-4 | 15-20-3-6-7 | 18-10-1 | 5-14-12 | 19-16-9-11-8 |
 5_20_5_1.0_0.5     56294.1      6016     15240    35038.1       72.5547    Feasible     3625.09	7-16-18-13-9-5-12-8-17-19-2-15-3-6-11-14-1-10-20-4    | 7-18-13-16 | 5-12-9 | 17-8-19-2 | 14-6-15-3-11 | 4-10-20-1 |
 1_20_5_1.0_1.0     52650.3      4854     10460    37336.3       78.5852    Feasible     3624.25	12-10-20-13-9-15-18-3-19-8-2-4-11-14-1-6-17-7-5-16    | 12-20-13-10 | 18-9-15-3 | 4-11-2-14-8 | 19-6-1 | 16-5-7-17 |
 2_20_5_1.0_1.0     51335.2      5673     14140    31522.2        74.962    Feasible      3613.8	13-3-9-7-6-10-14-5-16-8-4-2-12-18-19-17-20-15-1-11    | 13 | 3-9-6-7-10-14 | 4-5-16-8 | 2-18-20-17-19-12 | 11-15-1 |
 3_20_5_1.0_1.0     46432.8      5239     12200    28993.8       70.9158    Feasible     3647.97	5-4-2-17-19-8-9-14-13-15-11-1-10-6-12-18-20-3-7-16    | 19-4-17-5-2 | 14-9-8 | 13-10-11-1-15 | 6-12-18-20 | 16-7-3 |
 4_20_5_1.0_1.0     42800.2      6154     12260    24386.2       74.4399    Feasible     3616.54	11-18-13-17-3-4-2-10-20-15-7-5-12-14-9-1-6-16-19-8    | 11-13-18 | 17-4-3-10-2 | 20-7-15 | 12-5-14-9 | 16-8-6-1-19 |
 5_20_5_1.0_1.0     56996.5      6108     14740    36148.5       72.9195    Feasible     3624.48	8-4-15-7-2-9-14-10-11-13-20-17-1-5-16-3-12-18-6-19    | 15-4 | 2-14-9-7 | 8-10-11-13-20 | 17-16-5-1 | 18-6-12-19-3 |
 1_20_5_1.0_1.5     48215.3      6473     10140    31602.3       69.8681    Feasible     3624.16	11-2-9-20-17-14-13-5-12-1-4-10-19-6-8-18-16-3-7-15    | 2-20-11-9 | 17-14 | 13-4-10-5-1-12 | 19-8-6 | 7-18-15-16-3 |
 2_20_5_1.0_1.5     50628.9      5971      9640    35017.9       72.7967    Feasible     3621.56	4-11-3-17-8-5-12-10-1-16-15-19-13-20-2-9-14-7-6-18    | 4-8-11-17-3 | 5-16-10-12-1-15 | 13-20-19-2 | 7-9-18-14-6 |
 3_20_5_1.0_1.5     47932.2      5728     14180    28024.2       61.7905    Feasible     3629.22	19-13-7-14-4-15-20-12-16-5-9-1-17-10-8-3-6-11-18-2    | 15-13-19-7-4-14 | 16-20-5-12 | 9-1-17 | 8-10-3 | 2-11-6-18 |
 4_20_5_1.0_1.5     54440.3      6100     16340    32000.3       68.5325    Feasible     3620.61	5-18-13-2-1-20-16-11-4-14-19-7-12-17-10-3-8-15-6-9    | 5-18 | 2-16-20-1-13 | 19-14-4-11 | 7-10-17-12 | 6-3-8-9-15 |
 5_20_5_1.0_1.5     46866.2      5767     11720    29379.2       66.1951    Feasible     3620.74	19-8-9-2-16-12-6-13-18-14-1-3-17-4-10-11-7-15-20-5    | 9-19-8 | 2-6-16-13-12 | 14-3-18-1 | 17-10-4 | 5-15-20-7-11 |
 1_20_5_1.0_2.0     48751.7      4005     13960    30786.7       71.5784    Feasible     3616.15	6-13-16-17-4-15-18-10-8-1-11-19-2-20-12-7-14-3-9-5    | 6-13-16-17 | 4-15-10-18 | 20-8-19-11-2-1 | 14-12-7 | 3-9-5 |
 2_20_5_1.0_2.0     44296.8      6396      6400    31500.8       81.3677    Feasible     3617.17	11-5-10-12-3-20-16-18-13-6-19-17-14-15-4-7-8-1-2-9    | 3-12-10-5-11 | 16-18-20 | 19-13-6-17 | 15-7-4-14 | 9-1-8-2 |
 3_20_5_1.0_2.0     51789.8      6410     14280    31099.8       71.2867    Feasible     3618.11	1-9-11-13-17-6-10-15-5-4-16-18-2-19-12-14-7-8-3-20    | 9-11-17-13-1 | 10-15-6 | 5-16-4-2-18 | 12-19-14 | 7-8-3-20 |
 4_20_5_1.0_2.0     52338.8      6298     13800    32240.8       76.4386    Feasible      3613.8	18-15-19-8-12-11-4-13-6-7-17-1-16-20-9-5-2-3-14-10    | 19-15-18-8 | 4-13-12-7-6-11 | 17-1 | 16-20-2-9-5-3 | 10-14 |
 5_20_5_1.0_2.0     38277.5      5418     10620    22239.5       60.7885    Feasible     3640.21	17-15-6-9-20-10-14-11-8-5-1-7-12-18-2-3-19-4-13-16    | 6-9-20-15-17 | 8-14-10-11 | 1-5-12-7 | 3-4-18-2-19 | 13-16 |
 1_20_5_1.0_2.5     49481.9      6040     11300    32141.9       70.6082    Feasible     3622.04	14-6-13-11-15-17-7-16-5-18-3-19-12-10-2-9-20-1-4-8    | 6-14-13-11 | 16-15-7-17 | 3-12-19-5-18 | 20-10-9-2 | 1-8-4 |
 2_20_5_1.0_2.5     33173.6      5507     12160    15506.6       66.9422    Feasible     3619.49	7-17-11-12-18-13-16-15-1-19-2-10-5-8-14-3-6-20-9-4    | 12-17-7-11 | 13-15-16-18 | 19-1-2-10 | 8-14-5-3 | 4-6-9-20 |
 3_20_5_1.0_2.5       51320      6271     11240      33809       73.9631    Feasible     3622.42	7-5-16-18-17-4-9-11-1-19-10-12-14-3-13-15-6-8-20-2    | 7-5-18-16 | 9-4-11-1-19-17 | 3-14-12-10 | 6-15-8-13 | 2-20 |
 4_20_5_1.0_2.5     49245.9      6090     14260    28895.9       67.1151    Feasible     3621.06	3-2-5-10-15-1-6-16-20-8-13-12-17-4-7-18-11-19-9-14    | 2-10-3-5 | 6-16-1-20-15 | 12-13-8-17 | 18-7-4 | 14-9-11-19 |
 5_20_5_1.0_2.5     45565.1      5808     10640    29117.1        69.461    Feasible     3617.07	4-8-14-6-15-16-18-10-9-13-1-19-12-7-5-11-17-3-2-20    | 6-8-4-15-16-14-18 | 9-10-1-13-19 | 7-11-12-5 | 17-3-20-2 |
 1_20_5_1.5_0.5     53462.6      5002     20200    28260.6        68.904    Feasible     3623.97	18-12-13-20-4-3-16-17-11-6-1-9-5-15-14-10-8-2-7-19    | 18-12 | 3-13-4-20 | 16-11-17-6 | 9-15-10-14-5-1 | 19-2-8-7 |
 2_20_5_1.5_0.5     72611.1      5693     15560    51358.1       73.8599    Feasible     3629.91	3-15-8-9-19-2-1-10-11-6-7-5-20-16-18-17-12-13-4-14    | 19-8-3-15-9 | 2-7-1-10-11-6 | 18-16-20-5 | 14-17-12-13-4 |
 3_20_5_1.5_0.5     51101.9      5840      9760    35501.9       78.4906    Feasible        3614	9-17-6-4-14-13-18-15-5-11-1-10-8-2-20-12-3-7-19-16    | 9-6-17-4 | 18-13-14 | 10-15-11-8-5-1 | 20-19-12-2-3-7-16 |
 4_20_5_1.5_0.5     57720.8      5517     16660    35543.8       73.8043    Feasible      3617.6	11-6-15-8-4-12-5-20-18-17-16-13-3-14-7-1-10-19-2-9    | 15-11-6 | 8-4-5-12 | 18-16-17-20 | 3-14-13-1-7 | 19-9-2-10 |
 5_20_5_1.5_0.5     48332.8      4967     14560    28805.8       73.9247    Feasible     3621.63	8-5-15-12-1-19-6-9-13-3-17-20-2-10-11-7-18-14-4-16    | 19-1-12-8-15-5 | 9-3-17-6-13 | 2-20-10 | 11-7-14-18 | 16-4 |
 1_20_5_1.5_1.0     55168.3      6643     15960    32565.3       74.4426    Feasible     3616.49	1-13-6-19-18-15-11-8-14-3-17-7-10-9-12-4-5-2-20-16    | 18-19-13-1-6 | 11-8-15 | 17-3-14 | 12-10-7-9 | 20-4-2-16-5 |
 2_20_5_1.5_1.0     40891.6      5590     11700    23601.6       72.9339    Feasible     3609.85	19-20-18-11-17-3-5-6-14-8-16-9-10-2-4-1-7-12-13-15    | 18-19-20 | 17-11-3 | 8-16-5-6-14 | 10-9-2-1-4 | 12-7-15-13 |
 3_20_5_1.5_1.0     43588.1      6626     13520    23442.1        66.541    Feasible     3615.66	16-7-4-14-13-9-5-19-11-17-1-18-10-12-8-15-2-20-6-3    | 4-7-16 | 9-5-14-13-19 | 17-11-1 | 18-12-8-10 | 6-15-20-3-2 |
 4_20_5_1.5_1.0     51798.5      5063     14680    32055.5       74.4933    Feasible     3619.87	3-18-9-17-15-11-12-4-5-16-1-10-20-6-19-13-14-8-2-7    | 18-3 | 15-17-9 | 16-5-4-11-12 | 19-6-1-10-20 | 14-13-2-8-7 |
 5_20_5_1.5_1.0     42551.6      4738     11180    26633.6       72.8943    Feasible      3619.7	10-9-8-15-1-14-2-17-5-7-16-18-3-4-12-19-20-13-11-6    | 8-15-10-9 | 17-2-5-1-14 | 16-7-4-3-18 | 19-12-11-13-20-6 |
 1_20_5_1.5_1.5     63101.3      6046     15180    41875.3       81.4814    Feasible     3613.65	17-3-11-5-14-12-8-9-13-16-19-1-4-2-7-20-10-15-18-6    | 17-3-11 | 5-9-8-14-12 | 4-16-2-13-1-19 | 15-10-20-7 | 18-6 |
 2_20_5_1.5_1.5       45295      5552     15640      24103       72.8152    Feasible     3620.97	14-16-2-10-3-8-6-1-20-9-7-17-12-11-19-18-15-13-5-4    | 16-14-2 | 10-3-8 | 6-20-1 | 9-7-12-17 | 19-18-15-5-4-11-13 |
 3_20_5_1.5_1.5     51141.7      6971     14840    29330.7       76.7998    Feasible      3611.9	7-16-12-8-19-11-10-17-20-3-15-4-6-14-9-13-5-2-18-1    | 16-7-12-8-19 | 10-11 | 4-6-3-15-17-20 | 13-14-9 | 1-2-18-5 |
 4_20_5_1.5_1.5     37584.2      5930     10320    21334.2       69.0423    Feasible     3621.45	10-15-8-1-9-13-6-20-11-3-16-5-7-17-19-18-4-12-2-14    | 8-10-15 | 9-1-13 | 6-11-16-5-20-3 | 17-18-7-19 | 12-4-14-2 |
 5_20_5_1.5_1.5     54999.2      5058     13880    36061.2       76.0356    Feasible     3620.17	2-20-19-10-4-18-5-12-6-17-9-3-1-8-14-11-7-13-16-15    | 10-2-20-19 | 4-18-5 | 12-9-6-17-3-8-1 | 14-15-11-7-13-16 |
 1_20_5_1.5_2.0     52821.3      6664     15920    30237.3       72.0034    Feasible     3612.61	8-10-11-18-15-9-16-5-6-12-2-17-4-14-3-13-20-7-19-1    | 10-11-15-8-9-18 | 16-6-5 | 14-17-2-4-12 | 20-13-3 | 7-19-1 |
 2_20_5_1.5_2.0       53884      5695     13720      34469       77.6113    Feasible      3611.8	16-9-17-3-20-2-19-12-18-15-13-4-8-10-7-5-14-11-1-6    | 16-17-3-20-9 | 19-2-12-18-13-15-4 | 8-5-7-10 | 11-6-1-14 |
 3_20_5_1.5_2.0     52626.7      5764     16700    30162.7       66.5471    Feasible     3614.18	3-12-7-13-6-1-8-5-2-10-16-14-9-15-17-19-11-4-18-20    | 3-7-12 | 13-6 | 1-14-16-9-2-5-10-8 | 19-15-17 | 20-11-18-4 |
 4_20_5_1.5_2.0     48723.2      6905     14560    27258.2       72.1417    Feasible     3612.05	9-5-19-8-13-14-2-15-4-6-7-17-10-1-12-20-3-16-11-18    | 5-9 | 13-19-8 | 15-6-2-4-7-14 | 1-3-17-10-20-12 | 16-18-11 |
 5_20_5_1.5_2.0     43757.4      5877     15300    22580.4        69.236    Feasible     3618.62	20-17-11-19-14-3-13-10-1-16-5-8-2-6-7-12-9-18-4-15    | 20-11-14-19-17 | 10-13-1-3 | 16-8-5 | 12-7-6-2 | 9-4-18-15 |
 1_20_5_1.5_2.5     45627.6      5744     15980    23903.6       69.7995    Feasible     3616.43	6-7-9-16-4-11-15-2-5-14-17-8-3-1-13-12-19-18-20-10    | 6-7-9 | 11-16-4 | 14-5-17-8-2-15 | 1-12-13-3 | 19-18-10-20 |
 2_20_5_1.5_2.5     46370.6      5931     17840    22599.6       71.0575    Feasible     3611.08	3-20-9-1-6-12-11-15-4-13-16-8-2-18-19-7-14-5-10-17    | 9-20-3 | 1-12-6 | 15-13-4-11 | 16-19-18-8-2 | 7-10-5-17-14 |
 3_20_5_1.5_2.5     42940.7      4939     16000    22001.7       66.7083    Feasible     3619.75	6-5-20-14-16-8-3-19-15-18-1-7-9-11-10-4-2-17-12-13    | 5-20-6 | 3-8-19-15-14-16 | 18-7-1 | 9-10-4-11 | 17-13-12-2 |
 4_20_5_1.5_2.5     68133.7      6175     16740    45218.7       78.1029    Feasible     3609.95	2-18-1-5-17-13-14-20-4-6-16-11-12-15-7-3-10-8-19-9    | 18-2 | 1-5-17-13 | 14-6-4-20 | 15-7-11-12-3-16 | 8-10-19-9 |
 5_20_5_1.5_2.5     54524.9      6223     16740    31561.9       76.7297    Feasible     3613.11	16-3-18-10-9-11-6-4-15-2-7-14-20-12-5-19-8-1-17-13    | 10-3-16-18 | 11-6-4 | 2-15-9 | 7-14-5-20-12 | 1-19-13-8-17 |
 1_20_5_2.0_0.5     52478.2      4936     13800    33742.2       78.8483    Feasible      3609.9	5-9-10-17-18-11-20-1-14-7-12-15-16-3-6-2-13-19-4-8    | 5-17-10-9 | 20-18-1-11 | 15-16-12-3-7-14 | 13-4-19-2-6-8 |
