       Instance   Obj_Value     Obj_1     Obj_2      OBj_3  RelativeGap%      Status     CPUtime	Processing_Order                                      Vehicle_Routes
 4_20_3_1.0_2.5     38122.3      2985     11920    23217.3       62.6897    Feasible        3622	8-20-13-15-18-10-4-9-1-6-2-12-14-3-17-7-16-19-11-5    | 18-4-13-9-8-1-15-10-20 | 14-12-3-6-2 | 5-11-16-7-19-17 |
 5_20_3_1.0_2.5     52964.7      2689     13140    37135.7       71.0708    Feasible     3614.66	20-2-10-9-17-11-8-7-12-1-18-19-16-15-5-14-6-4-3-13    | 17-9-10-8-11-2-7-20 | 18-12-1-19 | 6-3-15-16-4-5-14-13 |
 1_20_3_1.5_0.5     47863.3      2637      9660    35563.3       75.4578    Feasible     3616.75	15-16-13-7-4-9-2-3-17-11-20-5-8-1-12-6-18-19-14-10    | 16-13-15-4-7 | 17-3-9-20-2-11 | 8-10-14-19-18-12-6-5-1 |
 2_20_3_1.5_0.5       61040      2905     14900      43235       71.7912    Feasible     3624.76	1-16-11-10-2-7-13-4-17-9-12-5-8-20-15-14-19-18-3-6    | 1-16-13-10-2-11-7 | 20-17-4-9-8-5-12 | 18-15-14-3-19-6 |
 3_20_3_1.5_0.5     63276.7      3069     14220    45987.7        78.086    Feasible     3611.21	13-5-15-1-10-19-4-2-18-9-17-7-8-6-11-14-16-12-20-3    | 2-4-5-19-1-15-10-13 | 9-17-18 | 11-7-16-6-8-3-20-14-12 |
 4_20_3_1.5_0.5     79848.3      3363     20960    55525.3        78.444    Feasible     3612.07	2-7-10-8-16-4-12-19-17-13-5-6-18-20-15-3-11-1-14-9    | 16-7-12-8-4-10-2 | 17-5-6-13-19 | 9-11-14-18-15-1-20-3 |
 5_20_3_1.5_0.5     59084.6      3387     12780    42917.6       74.8734    Feasible     3610.29	15-18-14-8-16-2-13-7-1-20-19-4-12-10-6-9-5-17-11-3    | 7-1-2-15-20-19-8-16-18 | 13-10-4-12 | 14-9-6-11-5-17-3 |
 1_20_3_1.5_1.0     50028.5      3168     14580    32280.5       73.4117    Feasible      3606.9	17-15-8-19-7-2-6-12-11-20-13-9-4-1-14-3-18-10-5-16    | 15-19-7-2-17-8 | 11-12-6-13-20 | 1-5-9-18-10-4-16-3-14 |
 2_20_3_1.5_1.0     51358.5      3091     13780    34487.5       75.2789    Feasible      3607.7	7-9-11-15-16-19-20-10-2-5-14-8-6-1-3-4-12-17-18-13    | 15-9-16-7-19-10-20-2-11 | 5-14-6-3-1-4-8 | 13-12-18-17 |
 3_20_3_1.5_1.0     65705.6      3915      9260    52530.6       81.8026    Feasible     3612.74	11-12-16-18-1-7-14-9-2-5-10-3-15-6-8-19-4-13-17-20    | 16-11-12 | 1-14-2-9-7-18 | 13-15-19-10-4-20-6-17-8-3-5 |
 4_20_3_1.5_1.0     72375.5      3247     19060    50068.5        79.161    Feasible     3609.89	7-13-19-20-2-12-5-15-18-17-1-6-11-10-3-14-4-9-16-8    | 19-5-13-7-2-20-12-15 | 18-1-17 | 3-16-4-14-10-8-6-11-9 |
 5_20_3_1.5_1.0     68125.4      2876     16100    49149.4       77.2809    Feasible     3608.74	2-8-6-13-7-5-17-4-1-3-18-11-15-9-16-14-10-12-20-19    | 8-7-2-4-13-6-5-17 | 9-3-1-18-16-14-15-11 | 19-20-12-10 |
 1_20_3_1.5_1.5     47547.1      2884     15480    29183.1       62.4983    Feasible     3629.82	15-7-2-5-9-18-6-3-8-19-14-17-16-12-10-1-4-13-20-11    | 15-7-9-5-2 | 6-18-19-8-3-14 | 12-10-13-1-20-4-11-16-17 |
 2_20_3_1.5_1.5     52740.3      2369     17120    33251.3       75.9158    Feasible     3608.21	6-15-5-10-17-4-19-20-12-13-9-8-1-16-7-3-11-14-2-18    | 12-19-5-15-6-4-20-10-17 | 8-1-7-13-16-9 | 18-11-3-14-2 |
