40_500_0.2 40_800_0.2 40_1000_0.2 40_500_0.3 40_800_0.3 40_1000_0.3 40_500_0.5 40_800_0.5 40_1000_0.5 50_500_0.2 50_800_0.2 50_1000_0.2 50_500_0.3 50_800_0.3 50_1000_0.3 50_500_0.5 50_800_0.5 50_1000_0.5 70_500_0.2 70_800_0.2 70_1000_0.2 70_500_0.3 70_800_0.3 70_1000_0.3 70_500_0.5 70_800_0.5 70_1000_0.5 OVER_1 OVER_2 OVER_3 OVER_4 OVER_5 OVER_6 OVER_7 OVER_8 OVER_9 OVER_10 OVER_11 OVER_12 OVER_13 OVER_14 OVER_15 OVER_16 OVER_17 OVER_18 OVER_19 OVER_20 OVER_21 OVER_22 OVER_23 OVER_24 OVER_25 OVER_26 OVER_27 TIME_1 TIME_2 TIME_3 TIME_4 TIME_5 TIME_6 TIME_7 TIME_8 TIME_9 TIME_10 TIME_11 TIME_12 TIME_13 TIME_14 TIME_15 TIME_16 TIME_17 TIME_18 TIME_19 TIME_20 TIME_21 TIME_22 TIME_23 TIME_24 TIME_25 TIME_26 TIME_27 
916086 898747 888916 884989 896951 917033 876628 816964 841642 914826 957735 858888 950662 832689 842797 911343 851722 856126 938453 853124 832277 857301 900396 866637 870239 900555 833080 0 0 0 0 0 0 0 0 0 0 38 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 2 0 2 1 1 1 2
966119 1.00398e+06 1.00992e+06 994544 1.00493e+06 985644 1.10634e+06 930033 959827 946969 968612 960898 971299 952759 945296 959720 926631 925616 990636 952272 975493 949847 945452 934485 940729 931551 958409 0 0 44 0 0 0 139 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 1 1 0 2 0 1 1 1 1 1 0 2 1 1 1 2 0 2 1
1.04815e+06 995405 930427 1.03058e+06 984718 952828 976883 1.00446e+06 942838 966841 927291 1.08807e+06 987974 896086 932056 981687 950728 981725 993060 972414 1.02519e+06 953655 976624 952900 952028 955456 934791 0 0 0 17 0 0 0 0 0 0 0 102 0 0 0 0 0 0 0 3 38 0 0 0 0 0 0 1 0 1 1 0 1 1 0 1 1 1 1 1 0 2 0 1 1 1 1 2 1 1 1 1 2 1
1.00951e+06 951528 932304 945743 965572 907972 910078 944434 990249 1.0053e+06 944002 978088 969118 897392 920698 975739 902159 907302 996552 967892 930972 963275 918043 916531 923001 923075 901934 0 0 0 18 0 12 0 20 62 0 33 0 0 0 0 0 0 0 0 26 0 0 0 0 0 0 0 1 0 1 0 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 2 0 2 1 1 1 2
908796 991682 957307 912823 940285 887225 895970 982036 872370 919597 901165 923605 909627 885425 957150 914981 899293 892191 910621 887680 882246 883936 865959 872462 876319 865964 900227 0 24 0 0 0 0 0 42 0 0 0 45 0 0 42 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 2 0 2 1 1 1 2
1.00859e+06 1.01634e+06 1.02451e+06 1.02835e+06 1.00395e+06 1.03392e+06 1.03181e+06 992471 963528 1.03987e+06 963809 1.00364e+06 1.03075e+06 1.02428e+06 1.03282e+06 1.0194e+06 950869 1.06804e+06 1.03129e+06 1.00321e+06 1.01174e+06 977700 1.0137e+06 1.04592e+06 998895 974187 926056 0 0 0 0 0 0 30 0 0 0 0 0 0 0 0 0 0 110 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 2 1 1 2
1.04136e+06 1.02311e+06 1.01836e+06 1.05988e+06 1.01592e+06 957346 1.00432e+06 1.05845e+06 1.01629e+06 1.03524e+06 1.10125e+06 977497 1.0006e+06 955788 991977 1.00548e+06 946573 946273 1.08342e+06 942600 951542 991668 1.02913e+06 972977 976845 961574 947457 0 0 0 0 0 0 0 37 48 0 58 0 0 0 0 0 0 0 53 0 0 0 37 0 0 0 0 0 1 0 1 1 0 1 1 1 0 1 1 1 1 1 0 1 1 1 1 2 0 2 1 1 2 1
892412 840790 895093 884834 883373 882668 952741 855782 862712 1.00973e+06 876410 849705 855229 864888 837078 853013 817172 858880 883600 849238 834953 853568 849605 821416 802562 809863 875988 0 0 0 0 21 0 73 0 0 104 0 0 0 0 0 0 0 0 28 0 0 0 29 0 0 0 0 1 0 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 2 1 1 1 2
853485 789781 824326 842271 860328 928182 824746 968004 821784 939460 808931 787114 788262 846808 819335 812735 788714 741678 845516 921529 815581 827585 971808 812457 811798 778798 806025 0 0 0 0 0 121 0 139 0 90 0 0 0 0 0 0 0 0 0 85 0 0 139 0 15 0 9 0 1 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 1 0 2 1 1 1 2 1 1 2
874679 783805 827157 865020 806077 801671 881967 794951 789605 792998 815294 846277 792248 752928 777811 825946 782664 786171 831471 852702 770455 813366 849532 786102 774716 785237 789198 28 0 0 48 0 0 108 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 0 1 2 0 2 1 1 1 2 0 2 1
1.14098e+06 1.11072e+06 1.1159e+06 1.0863e+06 1.11794e+06 1.14612e+06 1.11906e+06 1.11736e+06 1.04136e+06 1.12021e+06 1.14618e+06 1.11001e+06 1.18856e+06 1.22388e+06 1.09003e+06 1.14318e+06 1.11817e+06 1.09086e+06 1.18747e+06 1.06625e+06 1.07456e+06 1.08319e+06 1.0288e+06 1.06988e+06 1.12895e+06 1.09524e+06 1.07958e+06 0 0 0 0 0 0 3 0 0 0 0 0 43 116 0 0 0 0 32 0 0 0 0 0 0 0 0 1 1 0 1 0 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 2 1 1 1 1 1 2
984473 995565 1.11508e+06 950335 948781 946542 964745 948762 924564 985953 909967 947891 1.07517e+06 1.00452e+06 987426 961252 952300 933385 970121 967232 945233 902721 934723 899912 958542 892883 918129 0 24 162 0 0 0 0 0 0 0 0 0 84 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 2 0 1 2 1 1 2
