       Instance   Obj_Value     Obj_1     Obj_2      OBj_3  RelativeGap%      Status     CPUtime	Processing_Order                       Vehicle_Routes
 3_15_3_1.5_0.5     40408.6      3017     13350    24032.6       68.1455    Feasible     3606.97	14-7-8-9-10-15-11-13-2-5-6-4-1-3-12    | 14-7-15-8-10-9 | 11-5-13-2 | 3-12-6-4-1 |
 4_15_3_1.5_0.5     37620.7      3034      8385    26198.7       71.0495    Feasible     3626.02	9-10-6-5-15-11-2-13-12-4-14-7-3-1-8    | 10-5-6-9-11-15-2 | 4-14-12-13 | 8-3-1-7 |
 5_15_3_1.5_0.5     28228.6      2252      8790    17186.6         61.09    Feasible     3625.28	15-12-1-11-6-3-8-13-5-4-2-7-9-10-14    | 1-11-12-15 | 6-3-5-8-13 | 9-10-7-4-14-2 |
 1_15_3_1.5_1.0     30255.3      2578      7395    20282.3        68.017    Feasible     3609.52	15-12-7-10-5-2-11-1-14-6-8-4-9-13-3    | 7-5-15-10-12 | 11-14-8-1-2-6 | 4-3-9-13 |
 2_15_3_1.5_1.0     29266.9      2182     10680    16398.9       56.5575    Feasible     3628.16	10-5-13-11-7-14-2-4-15-3-8-6-1-12-9    | 11-13-5-10 | 15-4-8-3-2-7-14 | 1-12-9-6 |
 3_15_3_1.5_1.0     25128.7      1841      5370    17917.7       76.6964    Feasible     3608.01	4-7-10-9-6-3-5-12-2-11-15-14-1-8-13    | 7-4-10 | 9-5-12-6-3 | 8-1-2-14-11-13-15 |
 4_15_3_1.5_1.0     23288.5      2357      6255    14676.5       64.0481    Feasible     3647.99	5-13-10-8-7-14-4-12-6-11-1-15-3-2-9    | 7-8-10-13-5 | 1-14-11-4-12-6 | 2-9-15-3 |
 5_15_3_1.5_1.0     29283.6      2559      7230    19494.6       73.2272    Feasible     3607.86	1-8-4-3-6-15-12-9-11-7-5-2-14-10-13    | 1-8-4 | 3-11-15-9-12-6 | 13-2-7-14-10-5 |
 1_15_3_1.5_1.5     29396.8      3050      9030    17316.8       72.8195    Feasible     3607.56	15-8-1-13-2-11-3-12-4-14-9-10-7-5-6    | 8-15 | 1-2-4-11-13-3-12 | 7-14-5-6-9-10 |
 2_15_3_1.5_1.5     28385.2      2795      7965    17619.2       70.6466    Feasible     3611.15	1-7-4-9-2-13-8-15-6-3-14-5-12-11-10    | 1-4-2-7-9 | 6-8-15-13-3 | 14-5-12-10-11 |
 3_15_3_1.5_1.5     33449.3      2557     10260    20632.3       74.0519    Feasible     3608.47	14-8-5-11-1-4-6-15-2-9-13-7-10-3-12    | 14-11-5-8 | 15-4-2-1-6-9 | 13-10-3-12-7 |
 4_15_3_1.5_1.5     21077.5      2451      6315    12311.5       67.9559    Feasible     3608.57	14-5-3-13-15-1-8-11-12-4-10-6-9-2-7    | 14-5-3-13 | 8-1-15-11-12 | 4-10-7-9-6-2 |
 5_15_3_1.5_1.5     37004.1      2668     10800    23536.1       65.6092    Feasible      3609.7	6-14-12-1-2-7-9-11-3-15-4-5-8-13-10    | 6-2-1-14-12 | 11-9-4-15-7-3 | 10-8-5-13 |
 1_15_3_1.5_2.0     28314.1      2584      7650    18080.1       73.2343    Feasible     3607.66	9-8-1-11-10-5-13-7-6-14-12-4-3-2-15    | 1-11-8-9 | 5-10-6-13-7 | 2-12-15-3-4-14 |
 2_15_3_1.5_2.0     24887.7      3033      7170    14684.7       61.8754    Feasible     3609.65	4-12-2-14-8-6-7-15-11-9-5-13-3-10-1    | 2-4-14-8-12 | 7-15-9-6-11 | 1-3-5-10-13 |
 3_15_3_1.5_2.0     28156.4      2516      9240    16400.4       70.3373    Feasible     3607.05	1-6-8-14-10-15-4-11-9-12-5-3-7-2-13    | 6-15-1-14-8-10 | 5-3-11-12-9-4 | 2-13-7 |
 4_15_3_1.5_2.0     20194.8      2344      6690    11160.8       64.2079    Feasible     3607.12	3-13-2-7-8-4-5-1-11-10-9-14-12-6-15    | 7-13-3-2 | 4-5-11-9-10-1-8 | 14-6-12-15 |
 5_15_3_1.5_2.0     22338.6      2457      7410    12471.6       57.5623    Feasible     3662.52	4-3-12-9-15-7-2-5-13-6-11-1-8-14-10    | 15-4-9-12-3 | 5-6-7-13-2 | 14-10-1-8-11 |
 1_15_3_1.5_2.5     34360.9      1857      7440    25063.9       72.9429    Feasible     3605.98	8-4-1-14-2-10-9-13-11-15-12-3-7-5-6    | 10-1-8-4-14-9-2-13 | 6-3-15-7-12-11-5 |
