       Instance   Obj_Value     Obj_1     Obj_2      OBj_3  RelativeGap%      Status     CPUtime	Processing_Order                       Vehicle_Routes
 5_15_4_1.5_2.0     31664.5      3557      8400    19707.5       72.8765    Feasible     3634.54	1-2-13-11-10-4-3-12-15-9-5-14-6-7-8    | 2-4-11-1-13-10 | 15-3-9-12 | 5-6-14 | 8-7 |
 1_15_4_1.5_2.5     29225.6      3784     10170    15271.6       69.8822    Feasible     3634.11	10-9-5-8-14-7-2-3-1-6-11-12-15-13-4    | 10-5-9 | 14-8-3-7-2 | 12-6-1-11 | 15-13-4 |
 2_15_4_1.5_2.5       32702      3997     13125      15580       69.4846    Feasible      3662.5	1-7-14-15-8-10-12-9-5-11-13-4-6-2-3    | 7-1-8-15-14 | 12-5-10-9 | 13-4-11 | 2-6-3 |
 3_15_4_1.5_2.5     29708.9      4071      9555    16082.9       64.9251    Feasible     3677.79	14-8-6-10-13-2-3-15-7-9-12-4-5-1-11    | 8-14-6 | 2-3-10-13 | 4-15-9-12-7 | 5-1-11 |
 4_15_4_1.5_2.5     28483.9      3301     10020    15162.9       61.1543    Feasible     3613.86	13-5-14-3-12-9-15-1-4-6-7-11-2-10-8    | 5-3-14-13 | 12-15-9 | 1-6-4-11-7 | 10-2-8 |
 5_15_4_1.5_2.5     26397.6      3473      9990    12934.6       70.2272    Feasible     3609.96	12-5-3-10-15-7-2-8-1-14-11-13-4-6-9    | 12-3-5-10 | 7-15-8-2 | 1-14-13-11 | 4-6-9 |
 1_15_4_2.0_0.5     25475.3      3536      8115    13824.3       65.3647    Feasible     3620.37	1-3-9-8-2-14-4-7-12-15-6-5-10-11-13    | 1-8-3-9 | 2-4-14 | 12-7-15 | 13-5-11-6-10 |
 2_15_4_2.0_0.5     27486.8      3742      8460    15284.8       65.6809    Feasible     3624.77	1-9-3-11-10-13-4-5-2-12-15-14-8-7-6    | 1-3-9 | 11-13-10 | 2-5-15-12-4 | 7-8-14-6 |
 3_15_4_2.0_0.5     35554.8      4124     11790    19640.8         76.37    Feasible     3614.87	1-2-15-3-6-9-8-11-7-14-10-12-13-4-5    | 2-1 | 3-6-8-9-15 | 7-11-14 | 12-4-10-5-13 |
 4_15_4_2.0_0.5     35000.9      4302      8460    22238.9       74.3229    Feasible     3618.58	3-14-9-7-1-2-4-11-13-15-6-8-10-5-12    | 3-9-14-7 | 2-1-13-11-4 | 15-6 | 8-12-5-10 |
 5_15_4_2.0_0.5     30573.1      3486     10560    16527.1       71.5656    Feasible     3618.88	13-10-4-3-11-7-15-5-9-2-1-6-14-8-12    | 13-10 | 3-11-4-7 | 15-2-9-5 | 8-6-12-1-14 |
 1_15_4_2.0_1.0     32243.9      4025      9375    18832.9       74.0886    Feasible     3609.06	7-10-5-8-3-12-2-4-1-15-6-9-13-14-11    | 10-7-5 | 8-3-12 | 1-4-2-15 | 9-13-6-11-14 |
 2_15_4_2.0_1.0     25017.8      3476      6045    15488.8       70.8966    Feasible     3675.24	12-9-1-10-14-13-5-4-8-15-3-7-2-6-11    | 12-1-9 | 10-5-4-13-14 | 8-15-3 | 7-2-11-6 |
 3_15_4_2.0_1.0     34477.2      2810      9675    21992.2       73.7884    Feasible     3611.23	6-10-13-5-11-3-15-1-14-9-7-2-12-4-8    | 10-6-13-11-3-5 | 14-9-15-1 | 7-2-12-8-4 |
 4_15_4_2.0_1.0     37774.1      3263     10335    24176.1       73.8017    Feasible     3654.71	13-7-12-3-11-4-5-2-9-14-6-1-10-8-15    | 11-3-7-12-4-13 | 2-5-9-14-6 | 1-8-10-15 |
 5_15_4_2.0_1.0       32386      4072     11415      16899        70.421    Feasible     3673.93	11-5-1-4-8-15-7-14-13-9-6-2-3-12-10    | 11-4-1-5 | 7-15-8 | 14-9-13 | 6-3-2-12-10 |
 1_15_4_2.0_1.5     21825.2      3682      9330     8813.2       64.5408    Feasible     3609.06	7-13-8-12-11-10-6-3-9-14-1-4-5-15-2    | 7-8-12-11-13 | 3-10-6 | 9-14-1 | 4-5-15-2 |
 2_15_4_2.0_1.5     29031.7      3562     12075    13394.7        71.338    Feasible     3607.43	6-11-13-10-14-7-2-8-3-5-1-4-12-9-15    | 14-6-11-10-13 | 2-7-8 | 1-3-5 | 12-9-4-15 |
 3_15_4_2.0_1.5     31117.8      3315     11055    16747.8       73.6244    Feasible     3608.69	15-12-7-10-5-8-9-14-13-4-3-2-6-1-11    | 15-7-12 | 14-10-5-8-9 | 4-13 | 11-2-6-1-3 |
 4_15_4_2.0_1.5     28728.7      3786     10485    14457.7       69.0149    Feasible     3608.29	7-5-6-9-13-4-10-12-15-2-11-14-1-3-8    | 6-4-5-13-9-7 | 10-12 | 2-14-15-11 | 8-1-3 |
 5_15_4_2.0_1.5     28432.9      4000      9075    15357.9        76.291    Feasible     3608.09	13-15-11-9-14-6-10-8-7-3-2-4-12-5-1    | 13-11-9-15 | 10-6-14-8 | 2-7-3 | 1-4-12-5 |
 1_15_4_2.0_2.0     23730.1      3427      8775    11528.1       65.0247    Feasible     3607.55	5-1-6-2-14-9-15-11-3-7-13-10-8-4-12    | 1-5 | 14-2-9-6 | 7-15-3-11-13 | 12-8-10-4 |
 2_15_4_2.0_2.0     26719.7      3545      9720    13454.7       65.8979    Feasible     3619.93	12-4-2-13-8-3-10-11-9-1-5-14-6-15-7    | 2-4-13-12 | 10-8-3 | 9-1-5-11 | 6-7-15-14 |
 3_15_4_2.0_2.0     21616.8      2912      6825    11879.8       73.5275    Feasible     3641.74	9-3-11-4-1-15-10-7-2-12-6-14-8-5-13    | 4-1-3-9-11 | 15-7-10 | 12-6-2 | 14-13-5-8 |
 4_15_4_2.0_2.0     30389.6      3778      9105    17506.6         69.71    Feasible     3617.64	7-1-10-13-5-8-2-14-6-3-11-9-4-15-12    | 7-10-1-13-5 | 6-3-8-14-2 | 11-9 | 4-12-15 |
 5_15_4_2.0_2.0     34322.4      3484     14070    16768.4       70.9176    Feasible     3607.85	4-8-10-15-6-12-1-5-14-7-2-3-13-9-11    | 15-10-4-8 | 6-1-5-12 | 14-2-7-3 | 11-13-9 |
 1_15_4_2.0_2.5     32484.5      2749     10845    18890.5       66.6337    Feasible     3609.44	2-5-1-13-9-3-8-12-15-10-7-6-11-4-14    | 2-13-5-1 | 12-15-8-3-9 | 11-4-6-14-10-7 |
 2_15_4_2.0_2.5     21653.2      3370     10080     8203.2       63.4023    Feasible     3609.48	14-12-9-5-13-11-2-8-7-15-10-1-4-3-6    | 12-14-13-9-5 | 2-8-11 | 7-15-10-1 | 4-3-6 |
 3_15_4_2.0_2.5     24433.2      4029     10500     9904.2       63.5571    Feasible     3653.26	9-7-11-4-1-10-6-5-2-12-14-13-3-15-8    | 7-9-11 | 5-1-6-2-4-10 | 13-14-12 | 15-8-3 |
 4_15_4_2.0_2.5     30333.9      3780      9255    17298.9       71.2794    Feasible     3609.94	10-5-12-13-14-2-15-6-3-11-7-1-9-8-4    | 5-10 | 2-12-13-14 | 6-11-3-7-1-15 | 4-8-9 |
 5_15_4_2.0_2.5     23361.4      3562      8805    10994.4       70.3025    Feasible     3606.08	4-1-3-5-11-13-8-12-14-6-10-7-2-9-15    | 1-5-4-3 | 12-13-11-8 | 14-10-6 | 15-9-2-7 |
 1_15_5_1.0_0.5       30957      4027     11205      15725       63.0972    Feasible     3629.46	15-8-12-4-1-2-3-13-9-10-11-5-6-14-7    | 15-8-12-4 | 1-3-2 | 13-9 | 5-10-11 | 14-7-6 |
 2_15_5_1.0_0.5     26215.5      4710     10380    11125.5       63.0163    Feasible      3622.5	12-15-3-1-6-9-8-13-14-5-4-11-2-7-10    | 12-15 | 1-3-6 | 9-13-8 | 4-5-14 | 2-7-11-10 |
 3_15_5_1.0_0.5     28035.8      4724      8790    14521.8       61.8476    Feasible      3682.6	8-2-11-3-13-14-6-1-15-7-10-9-5-4-12    | 11-2-8 | 6-14-3-13 | 1 | 15-7-10 | 5-12-4-9 |
 4_15_5_1.0_0.5     27689.2      4326      9135    14228.2       65.8428    Feasible     3671.38	11-12-6-7-4-9-1-2-14-15-13-3-8-10-5    | 11-12 | 4-6-7 | 2-1-9 | 15-3-13-14-8 | 5-10 |
 5_15_5_1.0_0.5     22954.4      5232      6540    11182.4       60.2344    Feasible     3642.29	4-3-6-1-2-7-11-9-14-12-5-8-13-10-15    | 4-1-3-6 | 11-7-2 | 14-12-9 | 8-13-5 | 15-10 |
 1_15_5_1.0_1.0     27268.5      4412      9165    13691.5        69.757    Feasible     3685.79	9-1-13-12-6-8-7-14-15-10-2-11-5-4-3    | 1-9 | 13-12-6 | 8-7-14 | 15-2-5-10-11 | 3-4 |
 2_15_5_1.0_1.0     38465.9      4735     11325    22405.9       72.3366    Feasible     3675.82	7-12-14-4-2-3-13-5-10-9-1-8-11-15-6    | 7-12 | 2-4-14 | 13-5-3 | 9-8-1-10 | 11-6-15 |
 3_15_5_1.0_1.0     31261.7      5384     10170    15707.7       61.1053    Feasible     3623.05	5-6-10-2-1-7-9-8-14-11-13-12-3-4-15    | 5-6-10 | 9-7-2-1 | 11-8-14 | 13-3-12 | 15-4 |
 4_15_5_1.0_1.0     28880.7      5109     10020    13751.7        65.851    Feasible     3630.11	6-8-15-2-5-10-13-14-11-7-12-9-1-4-3    | 6-15-8 | 2-5-10 | 13-14 | 12-7-9-11-1 | 3-4 |
 5_15_5_1.0_1.0     31800.2      4618      9720    17462.2       64.6413    Feasible     3637.58	11-2-13-10-4-1-3-12-7-6-14-8-5-15-9    | 2-11-13 | 1-4-3-10 | 7-12 | 14-6-8 | 9-15-5 |
 1_15_5_1.0_1.5     22357.4      4660      6600    11097.4       61.1528    Feasible     3680.02	2-5-4-9-10-6-14-3-15-7-8-12-13-11-1    | 2-4-5 | 10-9-6 | 8-14-15-7-3-12 | 11-1-13 |
 2_15_5_1.0_1.5       23865      4450      8175      11240       67.2828    Feasible     3672.93	8-4-10-9-3-7-12-15-14-13-5-2-11-1-6    | 4-9-10-8 | 7-3 | 15-14-12 | 5-2-13 | 11-6-1 |
 3_15_5_1.0_1.5     28694.7      4282      9435    14977.7       71.1348    Feasible     3618.19	4-5-12-14-6-2-9-1-11-13-7-8-15-3-10    | 4-12-5 | 6-14-2 | 1-9-13-11 | 15-8-7 | 10-3 |
 4_15_5_1.0_1.5     32717.6      5595     11085    16037.6       62.2109    Feasible     3687.06	4-10-14-11-15-12-5-9-2-7-3-6-1-8-13    | 4-10 | 14-11-15-12 | 5-2-9 | 3-6-7 | 13-1-8 |
 5_15_5_1.0_1.5     26917.3      4683     11025    11209.3       54.5183    Feasible      3671.2	7-6-9-15-14-3-1-4-13-2-11-12-10-8-5    | 15-7-9-6 | 3-1-14 | 4-2-13 | 11-12-8-10 | 5 |
 1_15_5_1.0_2.0     30126.3      4430     10305    15391.3       61.9449    Feasible     3689.77	10-13-1-15-11-8-6-7-2-12-5-9-3-4-14    | 1-10-13 | 15-8-11 | 7-6 | 5-2-12 | 9-3-14-4 |
 2_15_5_1.0_2.0     26930.1      5083      8955    12892.1       66.4573    Feasible     3655.94	9-10-2-1-3-7-8-13-14-4-15-11-5-6-12    | 10-9 | 2-1 | 3-7-14-8-13 | 11-4-5-15 | 6-12 |
 3_15_5_1.0_2.0     23360.8      5240      7470    10650.8       57.1238    Feasible     3675.61	10-8-5-3-12-14-2-13-7-15-4-1-9-6-11    | 8-10-12-3-5 | 14-2-13 | 15-7 | 4-1-9 | 11-6 |
 4_15_5_1.0_2.0     26543.2      4156     11700    10687.2       59.8927    Feasible     3618.45	15-13-7-12-8-9-2-3-14-6-5-10-11-1-4    | 15-13-7 | 12-8 | 2-3-9 | 5-6-14-10 | 11-1-4 |
 5_15_5_1.0_2.0     31755.1      4499      8610    18646.1       68.1999    Feasible     3624.26	11-7-5-2-13-8-9-1-3-10-14-12-4-6-15    | 5-7-11 | 9-13-8-2-1 | 10-3 | 15-12-4-14-6 |
 1_15_5_1.0_2.5       27637      4729      8055      14853       58.7814    Feasible     3638.51	7-12-2-4-3-8-6-5-9-1-11-15-14-10-13    | 12-7-4-2 | 6-3-8 | 5-1-11-9-15 | 10-14-13 |
 2_15_5_1.0_2.5     24603.3      5096      8010    11497.3        67.664    Feasible     3654.38	8-12-9-2-13-15-3-6-7-4-11-10-14-1-5    | 8-12-9 | 2-13-15 | 6-3 | 7-11-4 | 10-1-5-14 |
 3_15_5_1.0_2.5     28388.7      3941     10350    14097.7         50.59    Feasible     3638.57	10-3-2-11-13-7-9-5-4-14-15-6-8-12-1    | 2-10-3-11 | 7-9-13 | 14-5-4 | 15-8-6 | 1-12 |
 4_15_5_1.0_2.5     22274.1      5222      7005    10047.1       66.9632    Feasible     3614.56	10-8-4-1-2-6-5-11-9-13-14-3-15-12-7    | 10-4-8 | 2-1 | 6-5-11 | 13-3-14-9 | 7-15-12 |
 5_15_5_1.0_2.5     23214.4      4776      8775     9663.4       65.3264    Feasible     3663.75	13-12-5-15-9-10-6-14-2-7-4-11-3-1-8    | 5-13-12-15 | 9-10 | 6-14-2 | 7-4 | 8-1-3-11 |
 1_15_5_1.5_0.5     25476.1      4922      9225    11329.1       66.3048    Feasible     3699.37	13-10-4-15-9-1-14-11-7-3-2-6-8-5-12    | 10-13 | 15-4-9-1 | 11-3-14-7 | 6-8-2 | 12-5 |
 2_15_5_1.5_0.5     36170.2      4926     10260    20984.2       68.4639    Feasible     3672.48	5-10-13-2-7-11-8-15-9-1-4-14-3-12-6    | 10-13-5 | 2-7-11-8 | 15-4-1-9 | 6-14-12-3 |
 3_15_5_1.5_0.5     30872.7      4031     11070    15771.7       64.2966    Feasible     3643.21	2-4-7-6-14-8-9-1-13-12-11-10-15-3-5    | 14-6-2-4-7 | 9-13-8-1 | 10-11-12 | 3-5-15 |
 4_15_5_1.5_0.5     26203.9      4972      8520    12711.9       60.6152    Feasible     3632.33	3-11-6-14-15-1-5-8-4-9-12-7-10-2-13    | 3-6-11 | 15-14-1 | 8-5-9-4-7-12 | 2-10-13 |
 5_15_5_1.5_0.5     34196.5      4850      9405    19941.5       66.5684    Feasible     3625.22	4-2-9-5-15-14-12-10-13-7-1-8-3-6-11    | 5-4-9-2 | 12-14-15 | 10-7-1-13 | 3-6-11-8 |
 1_15_5_1.5_1.0     25892.7      4922      8130    12840.7       70.5321    Feasible     3616.84	3-9-5-15-14-13-10-11-2-1-6-8-7-12-4    | 9-3 | 15-5-13-14 | 2-10-11 | 8-7-6-1 | 12-4 |
 2_15_5_1.5_1.0     26928.5      4429      8925    13574.5       64.1339    Feasible     3636.37	7-5-8-14-12-15-9-6-1-11-13-10-3-4-2    | 7-8-5-14 | 15-12-6-9 | 13-10-1-11 | 3-4-2 |
 3_15_5_1.5_1.0     33780.1      4444     12225    17111.1       60.3351    Feasible     3609.65	15-10-4-7-9-2-3-14-6-8-1-13-5-11-12    | 10-15-7-4-9 | 2-3-14 | 6-8-1 | 5-12-13-11 |
 4_15_5_1.5_1.0     20434.4      4773      6915     8746.4       62.9568    Feasible      3679.9	12-15-14-7-4-11-9-13-3-6-10-1-5-2-8    | 12-15 | 7-14-4 | 11-3-9-13 | 6-10-5-1 | 2-8 |
 5_15_5_1.5_1.0     28003.1      4073      8850    15080.1       67.5756    Feasible      3636.3	6-10-13-14-9-1-8-15-4-3-7-5-2-11-12    | 10-6-13 | 15-9-1-8-14 | 4-3-7 | 2-5-11-12 |
 1_15_5_1.5_1.5     27507.4      4354     10020    13133.4       68.7393    Feasible     3621.93	5-3-15-11-9-12-8-6-13-1-10-4-14-7-2    | 3-5-15-11 | 12-9 | 6-13-8 | 4-10-1 | 7-14-2 |
 2_15_5_1.5_1.5     25327.7      4975     10230    10122.7       54.8242    Feasible      3632.8	7-15-9-11-8-4-13-5-1-6-12-10-2-14-3    | 7-9-15 | 8-4-11 | 1-5-13 | 12-6-10 | 2-14-3 |
 3_15_5_1.5_1.5     31383.2      5055     13110    13218.2       64.1712    Feasible      3628.9	5-1-8-7-6-11-3-10-4-12-14-15-2-9-13    | 1-5-8 | 11-7-6 | 10-3-4 | 12-14-15 | 13-2-9 |
 4_15_5_1.5_1.5     24227.6      4623      8490    11114.6       67.9899    Feasible     3635.64	4-10-15-11-1-13-8-12-3-6-2-5-7-14-9    | 11-10 | 4-1-13-15 | 8-3-6-12 | 5-7-2 | 14-9 |
 5_15_5_1.5_1.5     26569.3      4691      8430    13448.3       63.2479    Feasible     3678.02	10-11-8-15-13-14-7-4-2-9-1-6-3-12-5    | 10-8-11 | 14-15-4-13-7 | 9-2-6-1 | 12-3-5 |
 1_15_5_1.5_2.0     23601.6      4904      9915     8782.6       62.4004    Feasible     3638.03	2-9-14-12-15-4-7-11-10-1-13-5-6-3-8    | 2-14-9 | 4-12-7-15 | 1-11-10 | 5-13 | 3-6-8 |
 2_15_5_1.5_2.0     24384.5      4990     10725     8669.5       63.0496    Feasible     3671.24	10-7-13-3-5-9-14-12-6-8-15-2-1-11-4    | 10-13-7 | 5-3-9 | 14-12-6 | 15-8-2 | 4-11-1 |
 3_15_5_1.5_2.0     23753.4      4125      7365    12263.4        61.973    Feasible     3683.68	1-3-2-14-5-10-9-8-7-15-12-11-4-13-6    | 2-1-5-3-14 | 10-8-9 | 12-15-7 | 11-6-4-13 |
 4_15_5_1.5_2.0     28823.9      5051      8445    15327.9       62.9746    Feasible      3615.6	7-8-6-13-10-12-1-4-15-9-5-3-2-11-14    | 8-6-7 | 12-13-10 | 4-1 | 9-15 | 14-2-5-3-11 |
 5_15_5_1.5_2.0     23772.3      5416      8595     9761.3       62.1228    Feasible     3616.04	4-12-6-2-5-13-14-11-3-10-7-8-15-9-1    | 6-12-4 | 5-2 | 11-13-14 | 3-7-10 | 15-9-8-1 |
 1_15_5_1.5_2.5     18555.3      5016      8265     5274.3       55.1011    Feasible     3620.01	15-11-14-1-5-12-13-4-6-10-7-3-8-2-9    | 14-11-1-15 | 12-5 | 4-6-10-13 | 7-8-3 | 2-9 |
 2_15_5_1.5_2.5     26736.9      4137     11610    10989.9       62.4799    Feasible     3615.62	10-4-14-13-1-12-11-3-2-15-7-5-6-8-9    | 4-10 | 1-14-13 | 11-2-12-3 | 7-15-5 | 6-8-9 |
 3_15_5_1.5_2.5       29702      4666      9135      15901       62.3315    Feasible     3703.78	8-6-14-2-1-13-5-9-7-3-12-10-15-11-4    | 2-8-6-14 | 13-5-1 | 3-7-9 | 10-12 | 4-15-11 |
 4_15_5_1.5_2.5     19037.5      4060      6465     8512.5       61.9492    Feasible     3624.49	2-6-12-13-1-5-4-8-3-11-14-7-9-15-10    | 6-2-12 | 1-5-4-13 | 8-3-11-14 | 10-9-7-15 |
 5_15_5_1.5_2.5     33141.9      4362      8520    20259.9       69.9632    Feasible     3701.47	13-12-8-9-5-11-10-1-3-4-6-14-2-7-15    | 13-12 | 5-11-10-8-9 | 1-4-3 | 6-2-14-15-7 |
 1_15_5_2.0_0.5     32382.2      5701     14970    11711.2       68.7909    Feasible     3624.69	11-12-5-1-15-3-9-14-4-8-10-6-7-13-2    | 12-11-5 | 1-15-3 | 8-4-9-14 | 6-7-10 | 2-13 |
 2_15_5_2.0_0.5     22819.2      4576      8430     9813.2        62.726    Feasible     3630.36	1-6-4-5-9-7-12-11-3-10-13-14-8-2-15    | 5-1-4-6-9 | 12-11-7 | 10-13-3 | 14-8 | 2-15 |
 3_15_5_2.0_0.5     28965.2      4098     11745    13122.2       68.7181    Feasible     3654.98	7-14-6-3-4-15-11-10-8-13-5-2-12-1-9    | 7-14 | 3-15-6-4 | 11-10-8 | 5-13 | 12-2-1-9 |
 4_15_5_2.0_0.5     25860.6      3810      7185    14865.6        67.413    Feasible     3624.78	8-10-6-13-11-2-14-12-4-15-1-3-7-9-5    | 6-8-10-13-11 | 12-14-2 | 1-15-4 | 7-3-9-5 |
 5_15_5_2.0_0.5     34531.1      5040     10815    18676.1       65.1248    Feasible     3624.19	4-1-14-15-9-13-5-6-3-2-7-12-11-10-8    | 1-4-15-14 | 6-9-5-13 | 12-3-7-2 | 11-8-10 |
 1_15_5_2.0_1.0     25941.2      4434      8070    13437.2       70.9683    Feasible     3636.89	4-1-12-2-8-5-10-3-7-6-13-9-15-14-11    | 4-2-1-12 | 8-10-5-3 | 7-13-6 | 9-11-15-14 |
 2_15_5_2.0_1.0     23664.7      4059      9660     9945.7       60.0907    Feasible     3636.55	13-9-2-7-1-4-6-11-5-15-14-12-3-8-10    | 13-9-2-7 | 6-11-1-4 | 14-5-15 | 8-10-3-12 |
 3_15_5_2.0_1.0     23210.3      4658      7260    11283.3       63.7978    Feasible     3631.57	15-11-8-13-3-9-7-6-1-10-5-2-14-12-4    | 8-11-15 | 13-3-9 | 6-7-1 | 10-5 | 2-4-14-12 |
 4_15_5_2.0_1.0     30284.6      5148     12375    12761.6       65.3713    Feasible     3683.78	9-15-7-8-1-6-2-3-5-11-10-4-12-13-14    | 15-9 | 7-8-1 | 6-2-3 | 4-11-5-10 | 12-13-14 |
 5_15_5_2.0_1.0     29770.7      4288      8400    17082.7        67.565    Feasible     3679.56	11-8-12-10-6-15-14-7-3-2-5-1-9-4-13    | 12-6-8-10-11 | 3-14-7-15 | 1-9-5-2 | 4-13 |
 1_15_5_2.0_1.5     38507.1      3943     14325    20239.1       67.1945    Feasible     3683.93	2-3-13-8-4-15-5-10-7-6-14-1-12-11-9    | 2-8-4-3-13 | 15-10-7-5 | 14-1-6 | 11-9-12 |
 2_15_5_2.0_1.5     24952.7      4957      8460    11535.7       68.6302    Feasible     3672.67	6-15-3-9-2-13-5-11-8-4-12-7-10-1-14    | 6-3-15-9 | 2-13-5 | 11-8 | 4-12-7 | 14-10-1 |
 3_15_5_2.0_1.5     36151.8      4280     11760    20111.8       70.5483    Feasible     3609.95	3-4-15-7-5-12-13-11-6-1-9-2-14-8-10    | 4-3-15-7 | 13-12-5 | 9-2-11-1-6 | 14-8-10 |
 4_15_5_2.0_1.5     29839.3      5633     10965    13241.3       63.7832    Feasible     3642.89	14-5-1-3-4-10-15-11-8-6-9-13-12-7-2    | 5-1-14 | 15-3-10-4-11 | 9-6-8 | 13-12 | 2-7 |
 5_15_5_2.0_1.5     27433.9      4089      7725    15619.9       70.0887    Feasible     3676.86	4-15-6-5-7-2-11-14-10-9-12-1-3-8-13    | 6-5-15-4 | 7-14-11-2 | 1-9-12-10 | 13-3-8 |
 1_15_5_2.0_2.0     31279.7      4033     11325    15921.7       69.3642    Feasible     3632.76	12-13-2-7-1-15-5-14-4-3-10-6-8-11-9    | 13-12-2-7 | 14-5-1-15 | 4-10-3 | 11-9-8-6 |
 2_15_5_2.0_2.0       30163      4129     11355      14679       68.6535    Feasible     3622.62	4-9-8-10-11-2-1-7-6-15-12-3-14-13-5    | 9-8-4 | 10-1-2-11 | 15-12-7-6 | 13-3-14-5 |
 3_15_5_2.0_2.0     26220.4      3708      8280    14232.4        66.194    Feasible     3670.43	15-10-11-6-7-13-2-3-1-14-9-12-4-8-5    | 15-10-6-11 | 3-2-7-13 | 14-9-1 | 4-8-12-5 |
 4_15_5_2.0_2.0     23472.4      3954      8430    11088.4        65.214    Feasible     3659.66	10-13-15-9-2-6-8-7-12-3-4-14-1-5-11    | 9-15-13-10 | 8-2-6-7-12 | 3-4 | 14-5-11-1 |
 5_15_5_2.0_2.0     26290.6      4395     11640    10255.6       70.3939    Feasible     3611.79	2-11-15-7-12-4-5-14-8-1-13-10-3-6-9    | 11-2-12-15-7 | 14-5-4 | 1-8 | 10-13-3 | 9-6 |
 1_15_5_2.0_2.5     25824.4      5270     10935     9619.4       65.9044    Feasible     3682.01	3-10-4-11-7-15-1-2-13-8-14-5-6-9-12    | 10-3 | 11-7-4 | 1-13-15-2 | 5-8-14 | 12-9-6 |
 2_15_5_2.0_2.5     23106.1      3995      7065    12046.1       67.7266    Feasible     3611.84	6-1-11-3-4-15-9-7-8-12-13-14-10-2-5    | 3-11-1-6 | 9-4-15 | 7-8-12 | 13-2-5-10-14 |
 3_15_5_2.0_2.5     27915.4      4543      8505    14867.4       69.7575    Feasible     3628.93	6-10-3-5-1-2-4-14-15-8-12-11-9-7-13    | 3-10-6 | 2-1-4-5 | 14-12-8-15 | 9-11-13-7 |
 4_15_5_2.0_2.5     22802.9      4147      8475    10180.9       67.5993    Feasible     3649.06	5-13-8-7-4-15-11-12-10-1-9-2-14-3-6    | 13-5-8-7 | 11-4-15 | 12-10-1 | 9-2-14-3-6 |
 5_15_5_2.0_2.5       34298      4800      9450      20048       68.2688    Feasible     3626.69	5-11-1-9-4-7-3-13-2-15-10-14-12-8-6    | 5-1-9-4-11-7 | 13-3 | 12-14-2-15-10 | 6-8 |
 1_15_6_1.0_0.5     35953.4      5356     12885    17712.4       66.8086    Feasible     3622.48	2-6-7-14-15-4-11-12-13-10-5-8-9-3-1    | 2-6 | 7-14-15 | 4-11-12 | 13-5-10 | 9-8 | 1-3 |
 2_15_6_1.0_0.5     28560.3      5271      8820    14465.3       60.0901    Feasible     3627.49	14-2-5-6-12-4-9-15-10-7-13-8-11-3-1    | 6-2-14-5 | 9-4-12 | 15-13-7-10 | 11-8 | 1-3 |
 3_15_6_1.0_0.5     34256.4      6114      9090    19052.4       69.2547    Feasible     3685.32	9-10-7-3-11-13-4-1-5-14-12-2-8-6-15    | 9-3-7-10 | 13-11-4 | 5-14-1 | 2-12 | 15-6-8 |
 4_15_6_1.0_0.5     31554.2      6543     12270    12741.2       62.8463    Feasible     3632.72	12-1-14-5-10-7-3-2-8-4-6-11-9-13-15    | 12-14 | 1-10-5 | 7-2-3 | 4-8 | 6-11 | 13-15-9 |
 5_15_6_1.0_0.5     25052.1      6197     10245     8610.1        56.387    Feasible     3702.36	5-1-2-11-8-6-10-13-4-14-15-12-7-9-3    | 2-5-1 | 6-8-10-11 | 13-4 | 14-15 | 7-12 | 9-3 |
 1_15_6_1.0_1.0     36675.6      6170     11460    19045.6       65.6055    Feasible     3651.15	11-10-7-5-6-9-8-2-14-1-3-15-4-13-12    | 10-11 | 5-7-6-9 | 8-14-2-1 | 3-15 | 4-12-13 |
 2_15_6_1.0_1.0     32291.4      6976     12330    12985.4       59.9808    Feasible     3639.15	8-15-6-5-7-3-2-12-13-11-4-14-10-9-1    | 15-8 | 6-5 | 3-2-7 | 11-4-13-12 | 14-10 | 1-9 |
 3_15_6_1.0_1.0     34885.8      6421      8385    20079.8       72.5889    Feasible     3624.24	3-11-4-9-10-1-6-5-15-7-2-8-14-12-13    | 11-3 | 9-4-10 | 5-1-6 | 7-2-15 | 14-8 | 13-12 |
 4_15_6_1.0_1.0     27563.5      4263     10215    13085.5       65.5246    Feasible     3661.62	4-9-3-10-12-13-6-15-11-8-5-7-2-14-1    | 3-9-4 | 6-12-10-13 | 11-8-15-5 | 14-7-2 | 1 |
 5_15_6_1.0_1.0     32422.4      6177     12735    13510.4       67.8842    Feasible     3630.63	2-8-12-10-11-1-6-3-9-15-5-7-4-14-13    | 8 | 2-12 | 10-11-1 | 3-9-15-6 | 5-7 | 14-13-4 |
 1_15_6_1.0_1.5     24123.6      5751      7620    10752.6       60.3711    Feasible     3690.34	9-10-2-5-4-13-15-11-7-1-8-6-3-12-14    | 9-10-2-5 | 4-13-15 | 1-7-11 | 6-8 | 14-12-3 |
 2_15_6_1.0_1.5     32788.9      6081      9375    17332.9       67.9134    Feasible     3679.78	11-9-7-13-6-12-2-1-8-4-10-3-5-14-15    | 11-9-7 | 12-6-13 | 2-1 | 3-4-10-8 | 15-14-5 |
 3_15_6_1.0_1.5     22927.1      6515      6510     9902.1       64.0052    Feasible     3623.84	1-5-4-11-2-9-12-6-3-8-14-7-15-10-13    | 4-1-5 | 11-2 | 9-12 | 6-3 | 8-7-14 | 15-10-13 |
