       Instance   Obj_Value     Obj_1     Obj_2      OBj_3  RelativeGap%      Status     CPUtime	Processing_Order    Vehicle_Routes
  3_8_5_1.0_1.0      8555.3      3076      2328     3151.3    0.00736802     Optimal     533.933	3-5-4-7-8-1-6-2    | 3-5 | 7-4 | 8-1 | 6-2 |
  4_8_5_1.0_1.0      9418.9      3239      2864     3315.9             0     Optimal     619.798	4-1-2-5-6-8-3-7    | 4-1-2 | 5-6 | 8-3 | 7- |
  5_8_5_1.0_1.0     10591.4      2832      2288     5471.4    0.00762934     Optimal     694.687	7-1-8-5-6-2-3-4    | 1-7 | 5-2-8-6 | 3-4 |
  1_8_5_1.0_1.5        7565      3660      1600       2305    0.00897249     Optimal     336.114	5-2-8-7-6-4-3-1    | 2-5 | 7-8 | 4-6 | 3- | 1- |
  2_8_5_1.0_1.5     10328.9      4588      3912     1828.9    0.00928993     Optimal     1099.75	6-1-7-3-8-4-5-2    | 6-1 | 3-7 | 4-8 | 5- | 2- |
  3_8_5_1.0_1.5      8162.2      3427      2272     2463.2    0.00539841     Optimal      403.29	3-8-2-6-1-4-7-5    | 8-3 | 2-6 | 1- | 5-7-4 |
  4_8_5_1.0_1.5      8633.2      2902      3160     2562.2    0.00663342     Optimal      753.69	6-7-2-3-4-8-5-1    | 7-6-2 | 4-3 | 5-8 | 1- |
  5_8_5_1.0_1.5      8045.1      2906      2368     2771.1    0.00900184     Optimal     715.126	2-6-1-5-8-3-7-4    | 6- | 1-5-2-8 | 3-7 | 4- |
  1_8_5_1.0_2.0      8942.5      3327      2856     2759.5     0.0057237     Optimal     472.859	7-4-6-8-1-5-2-3    | 6-7-4 | 1-8 | 5- | 2-3 |
  2_8_5_1.0_2.0      7423.5      2760      2624     2039.5     0.0089024     Optimal     967.971	6-1-2-7-3-4-8-5    | 1-6-2 | 7- | 4-3 | 5-8 |
  3_8_5_1.0_2.0     11829.6      3502      2743     5575.6    0.00950922     Optimal     2218.07	5-2-6-1-7-8-4-3    | 5-2-6 | 7-1 | 3-4-8 |
  4_8_5_1.0_2.0      8350.9      3487      2320     2543.9     0.0075226     Optimal     1964.99	3-4-6-2-1-5-7-8    | 3-4-6 | 2-1-5 | 7- | 8- |
  5_8_5_1.0_2.0     10967.6      2787      4080     4100.6    0.00858479     Optimal     797.051	8-7-5-2-4-6-1-3    | 2-7-8-5 | 6-4-1 | 3- |
  1_8_5_1.0_2.5     12241.5      3644      4544     4053.5    0.00786797     Optimal     954.393	8-6-2-7-1-4-3-5    | 8-6-2 | 7- | 1-4 | 5-3 |
  2_8_5_1.0_2.5      7323.5      3697      2000     1626.5    0.00329988     Optimal     423.134	3-2-6-8-4-5-1-7    | 3-2 | 6-8 | 1-5-4 | 7- |
  3_8_5_1.0_2.5      9113.2      3678      3112     2323.2    0.00937741     Optimal     251.515	6-3-2-1-8-4-5-7    | 6-3 | 1-2 | 8- | 4-7-5 |
  4_8_5_1.0_2.5      9051.3      3443      3080     2528.3    0.00974837     Optimal     2357.52	3-7-5-1-6-8-4-2    | 7-3 | 5-1 | 8-6 | 4-2 |
  5_8_5_1.0_2.5      8163.8      3420      2408     2335.8    0.00749497     Optimal     455.398	8-1-3-2-4-5-7-6    | 1-8 | 2-4-3 | 5- | 6-7 |
  1_8_5_1.5_0.5      9568.9      2903      2848     3817.9    0.00901777     Optimal     2881.12	7-5-2-4-8-3-1-6    | 5-7 | 2-4 | 3-8 | 1-6 |
  2_8_5_1.5_0.5      8962.7      3211      2104     3647.7    0.00674252     Optimal     1725.14	6-1-3-4-8-7-5-2    | 6-1 | 4-3 | 5-8-7 | 2- |
  3_8_5_1.5_0.5      9158.3      3012      2552     3594.3    0.00528355     Optimal     2368.97	1-2-7-3-8-6-5-4    | 2-1 | 7- | 8-3 | 4-5-6 |
  4_8_5_1.5_0.5     10685.8      3274      3912     3499.8    0.00606112     Optimal     1077.18	3-4-7-2-6-8-1-5    | 4-3 | 2-7 | 6-8 | 1-5 |
  5_8_5_1.5_0.5      8136.5      3088      1856     3192.5    0.00698636     Optimal     2056.82	1-5-7-2-4-3-8-6    | 7-1-5 | 4-2 | 3-8-6 |
  1_8_5_1.5_1.0      8536.6      3409      1968     3159.6    0.00966427     Optimal     1269.96	6-1-5-2-8-3-4-7    | 6-1 | 5- | 2-8 | 3-7-4 |
  2_8_5_1.5_1.0     12145.7      3693      2880     5572.7       19.6299    Feasible     3611.26	6-4-5-7-3-8-2-1    | 4-6 | 5- | 3-7 | 2-1-8 |
  3_8_5_1.5_1.0     10617.2      2786      2944     4887.2    0.00998723     Optimal     1184.31	7-6-8-4-2-3-1-5    | 7-8-6 | 4-2 | 1-5-3 |
  4_8_5_1.5_1.0      9902.3      3612      3912     2378.3    0.00493984     Optimal     958.888	7-1-2-8-6-3-5-4    | 7-1 | 8-2 | 3-6 | 5-4 |
  5_8_5_1.5_1.0        9943      4360      3351       2224    0.00816472     Optimal     2639.41	1-2-6-3-5-7-8-4    | 6-1-2 | 3- | 5- | 7- | 8-4 |
  1_8_5_1.5_1.5       10147      2583      5008       2556       18.7559    Feasible     3609.82	5-3-4-7-2-8-6-1    | 5- | 7-4-3 | 2-8 | 6-1 |
  2_8_5_1.5_1.5     10525.5      3024      3200     4301.5       25.1491    Feasible     3610.27	1-5-3-8-6-4-2-7    | 5-3-1 | 8- | 4-6 | 2-7 |
  3_8_5_1.5_1.5      8955.4      2183      4200     2572.4    0.00984475     Optimal     2787.39	5-2-4-6-3-7-1-8    | 4-2-5 | 6-3 | 7-8-1 |
  4_8_5_1.5_1.5      9343.6      2800      2720     3823.6    0.00933738     Optimal     926.586	5-8-1-2-3-4-6-7    | 1-5-8 | 2-3 | 4-6-7 |
  5_8_5_1.5_1.5      7888.1      2719      2040     3129.1    0.00943193     Optimal     1159.57	6-7-5-3-1-2-8-4    | 6-7-5 | 3-1 | 8-4-2 |
  1_8_5_1.5_2.0      7569.2      3722      1168     2679.2    0.00995177     Optimal     272.687	5-4-7-8-6-3-1-2    | 4-5 | 7-8 | 6-3 | 2-1 |
  2_8_5_1.5_2.0       10574      2955      2928       4691        26.807    Feasible     3610.38	1-4-5-3-7-8-6-2    | 4-1 | 7-5-3 | 2-8-6 |
  3_8_5_1.5_2.0      9654.1      2914      2968     3772.1       16.3705    Feasible     3610.28	4-1-2-6-7-8-3-5    | 4-2-1 | 8-7-6 | 3-5 |
  4_8_5_1.5_2.0      8294.7      3476      2712     2106.7    0.00923674     Optimal      1088.6	3-6-7-4-1-2-5-8    | 3-7-6 | 4-1 | 2- | 5-8 |
  5_8_5_1.5_2.0      9053.5      3269      3144     2638.5    0.00934361     Optimal     1287.36	2-8-1-3-6-4-7-5    | 2-8 | 1-3 | 6-7-4 | 5- |
  1_8_5_1.5_2.5      7137.9      3650      1568     1919.9    0.00512133     Optimal     487.302	1-3-4-8-2-7-6-5    | 3-1 | 8-4 | 2-7 | 6-5 |
  2_8_5_1.5_2.5      7295.7      2825      1952     2518.7     0.0097512     Optimal     1184.31	2-8-5-3-4-1-7-6    | 2-5-3-8 | 1-4 | 7-6 |
  3_8_5_1.5_2.5     10302.9      3544      3040     3718.9    0.00915079     Optimal     2365.41	5-4-8-6-2-1-7-3    | 5-4-8 | 6- | 1-2 | 3-7 |
  4_8_5_1.5_2.5      8223.4      3439      2024     2760.4    0.00985819     Optimal     1434.92	7-8-3-5-2-4-6-1    | 7- | 3-8 | 4-2-5 | 1-6 |
  5_8_5_1.5_2.5      8323.7      2823      3400     2100.7    0.00961111     Optimal     3153.42	2-3-7-5-8-4-6-1    | 2-3 | 7-8-5 | 6-4 | 1- |
  1_8_5_2.0_0.5     11843.3      3620      4264     3959.3       29.3012    Feasible     3609.74	1-7-2-3-4-5-6-8    | 7-1 | 3-2 | 5-4 | 8-6 |
  2_8_5_2.0_0.5       14263      4038      4424       5797    0.00973547     Optimal     3291.38	2-1-8-4-7-5-3-6    | 2-1 | 8- | 7-4-5 | 6-3 |
  3_8_5_2.0_0.5     11548.1      3179      3432     4937.1        28.564    Feasible     3611.13	5-8-6-7-2-1-3-4    | 5-8 | 6-7 | 1-2-4-3 |
  4_8_5_2.0_0.5     11050.8      3488      4120     3442.8    0.00782048     Optimal     2813.15	4-8-6-5-1-7-2-3    | 4- | 8-6 | 5-1 | 7-3-2 |
  5_8_5_2.0_0.5      8585.4      2897      2200     3488.4    0.00951767     Optimal      1033.3	6-7-2-8-5-3-1-4    | 2-6-7 | 3-8-5 | 4-1 |
  1_8_5_2.0_1.0     12330.7      3495      4776     4059.7     0.0066732     Optimal        2314	8-4-7-6-2-5-1-3    | 4-8 | 7-6 | 2-5 | 1-3 |
  2_8_5_2.0_1.0      9687.2      2955      2744     3988.2       23.0873    Feasible     3610.97	2-7-8-1-3-6-4-5    | 7-2 | 8-3-1 | 5-4-6 |
  3_8_5_2.0_1.0      7961.6      3699      2328     1934.6    0.00851309     Optimal     1219.67	5-1-2-6-7-4-3-8    | 1-5 | 7-2-6 | 3-4 | 8- |
  4_8_5_2.0_1.0      9988.1      2392      3088     4508.1    0.00977714     Optimal     3209.51	1-3-5-7-2-4-6-8    | 5-7-1-3 | 2-4 | 8-6 |
  5_8_5_2.0_1.0       11211      2696      3840       4675    0.00965194     Optimal     2845.37	3-4-5-7-8-2-6-1    | 3- | 4-5-7 | 8- | 1-2-6 |
  1_8_5_2.0_1.5      9036.7      3508      3704     1824.7    0.00633832     Optimal     1086.43	1-4-6-2-7-3-8-5    | 1-4-6 | 7-2 | 3-8 | 5- |
  2_8_5_2.0_1.5     10458.8      3781      2168     4509.8        15.818    Feasible     3610.99	7-1-3-4-2-8-5-6    | 1-7 | 2-4-3 | 8-5 | 6- |
  3_8_5_2.0_1.5     11239.2      2938      4096     4205.2       32.1712    Feasible     3610.25	3-6-8-2-1-5-7-4    | 6- | 3-8 | 5-2-1 | 7-4 |
  4_8_5_2.0_1.5      6985.9      3445      2104     1436.9    0.00331028     Optimal     964.107	7-8-4-1-6-3-5-2    | 8-7 | 6-1-4 | 3- | 2-5 |
  5_8_5_2.0_1.5      8224.4      3297      2952     1975.4    0.00588821     Optimal     1529.38	1-8-7-2-6-5-4-3    | 1-7-8 | 2- | 5-6 | 3-4 |
  1_8_5_2.0_2.0     10708.6      3316      3080     4312.6       22.0824    Feasible     3610.31	3-4-7-6-8-5-1-2    | 7-3-4 | 6-8 | 5-2-1 |
  2_8_5_2.0_2.0     12698.7      3767      3232     5699.7    0.00893981     Optimal     3095.49	7-8-5-4-1-6-2-3    | 8-7-5 | 4-1-6 | 2-3 |
  3_8_5_2.0_2.0     12126.5      3358      4544     4224.5       9.06754    Feasible     3609.79	1-4-3-7-5-6-8-2    | 1-4 | 3- | 5-7 | 6-8-2 |
  4_8_5_2.0_2.0     10176.3      2781      3256     4139.3        25.021    Feasible     3610.62	7-3-2-4-8-6-1-5    | 7-3 | 4-8-2 | 5-1-6 |
  5_8_5_2.0_2.0      9379.4      2849      3272     3258.4    0.00863551     Optimal     1578.92	5-8-1-6-4-7-2-3    | 5-8-1 | 4-6 | 7-3-2 |
  1_8_5_2.0_2.5     10702.7      3604      4176     2922.7    0.00851707     Optimal     1958.62	1-3-8-2-4-5-7-6    | 3-1 | 2-8 | 5-4 | 7-6 |
  2_8_5_2.0_2.5      9123.5      3314      3392     2417.5    0.00854002     Optimal     2565.41	7-1-8-6-4-2-3-5    | 7-1 | 6-8 | 2-4 | 5-3 |
  3_8_5_2.0_2.5      8246.6      2681      2824     2741.6    0.00677821     Optimal     2224.58	5-1-6-3-4-8-2-7    | 1-6-5 | 8-4-3 | 2-7 |
  4_8_5_2.0_2.5      6205.3      3430      1624     1151.3      0.005273     Optimal     833.352	8-7-1-6-5-4-2-3    | 8-7 | 6-1 | 4-5 | 3-2 |
  5_8_5_2.0_2.5      7533.3      2946      2752     1835.3    0.00673806     Optimal     3331.47	7-1-4-2-5-3-6-8    | 7-1 | 2-4 | 3-5 | 6-8 |
  1_8_6_1.0_0.5     11543.3      3895      4200     3448.3    0.00901244     Optimal     2896.99	6-7-8-1-3-5-4-2    | 7-6 | 8-1 | 3- | 5-4 | 2- |
  2_8_6_1.0_0.5       11236      4233      4304       2699    0.00691904     Optimal     667.995	3-4-1-7-8-2-5-6    | 1-4-3 | 7-8 | 2- | 5- | 6- |
  3_8_6_1.0_0.5     11045.3      3561      4664     2820.3    0.00961776     Optimal     3228.45	4-1-2-8-5-6-3-7    | 4-1 | 2- | 8- | 5- | 7-3-6 |
  4_8_6_1.0_0.5      9866.5      4278      2952     2636.5        14.548    Feasible      3609.9	8-6-7-3-4-1-5-2    | 8- | 7-6 | 4-3 | 5-1 | 2- |
  5_8_6_1.0_0.5     11324.6      4376      3816     3132.6     0.0090195     Optimal     1895.12	8-4-3-1-5-2-6-7    | 8- | 4-3 | 5-1 | 6-2 | 7- |
  1_8_6_1.0_1.0     10523.6      4038      3232     3253.6    0.00866521     Optimal      1670.4	5-4-2-8-3-1-6-7    | 5- | 2-4 | 8- | 1-3 | 7-6 |
  2_8_6_1.0_1.0       12558      4697      4896       2965    0.00961692     Optimal     2862.08	8-5-3-2-1-7-4-6    | 8-5 | 3-2 | 1-7 | 4- | 6- |
  3_8_6_1.0_1.0     10714.4      3115      3624     3975.4     0.0098037     Optimal      689.46	5-6-2-8-7-4-1-3    | 5-6-2 | 8- | 7-4-1 | 3- |
  4_8_6_1.0_1.0       11576      3778      4088       3710    0.00960126     Optimal        2063	4-8-5-2-3-7-6-1    | 8-4 | 5- | 3-2-7 | 1-6 |
  5_8_6_1.0_1.0      8549.7      4545      2160     1844.7             0     Optimal     325.473	5-3-1-4-2-6-8-7    | 3-5 | 1- | 2-4 | 6- | 8-7 |
  1_8_6_1.0_1.5     11560.6      4996      3664     2900.6    0.00927917     Optimal     1956.43	1-8-6-3-4-5-7-2    | 8-1 | 6- | 3- | 5-4 | 7-2 |
  2_8_6_1.0_1.5      7395.3      4439      1928     1028.3    0.00653877     Optimal       65.23	7-6-8-5-3-2-4-1    | 7- | 6-8 | 5-3 | 4-2 | 1- |
  3_8_6_1.0_1.5      9411.4      3659      3104     2648.4    0.00954126     Optimal     655.705	2-7-5-6-8-4-3-1    | 2-5-7 | 6-8 | 4- | 1-3 |
  4_8_6_1.0_1.5      9005.7      4205      2128     2672.7      0.008461     Optimal     1058.36	2-5-7-8-4-1-3-6    | 2-5 | 7-8 | 4-1 | 6-3 |
  5_8_6_1.0_1.5     11708.7      3513      4920     3275.7    0.00931373     Optimal     2420.72	5-3-6-4-7-8-2-1    | 5-3 | 4-6 | 7-8 | 2- | 1- |
  1_8_6_1.0_2.0      9657.3      3398      2376     3883.3     0.0074392     Optimal     1134.32	4-2-5-1-7-3-6-8    | 4-2-5 | 7-3-1 | 8-6 |
  2_8_6_1.0_2.0      8081.2      3237      2424     2420.2    0.00936554     Optimal     1655.54	6-4-7-2-5-1-3-8    | 4-6 | 2-7 | 5- | 3-8-1 |
  3_8_6_1.0_2.0     10012.6      3651      3208     3153.6    0.00934225     Optimal     1576.59	4-3-8-1-7-6-5-2    | 4-3-8 | 1- | 7-6 | 2-5 |
  4_8_6_1.0_2.0      8266.6      4334      2744     1188.6    0.00163578     Optimal     669.838	4-6-2-5-1-3-8-7    | 6-4 | 5-2 | 1- | 3-8 | 7- |
  5_8_6_1.0_2.0        8762      3648      2368       2746    0.00775645     Optimal     668.837	1-4-5-2-7-6-3-8    | 4-1 | 5-2 | 6-7-3 | 8- |
  1_8_6_1.0_2.5      8505.6      4058      2672     1775.6    0.00989016     Optimal     915.056	5-3-4-2-1-7-8-6    | 3-5 | 4-1-2 | 7- | 6-8 |
  2_8_6_1.0_2.5     10642.8      3163      2696     4783.8    0.00842629     Optimal     2563.38	6-1-5-3-4-7-8-2    | 1-6 | 5-4-3 | 2-7-8 |
  3_8_6_1.0_2.5      9382.5      4021      2856     2505.5      0.009864     Optimal     507.522	3-5-4-8-1-7-6-2    | 3-5 | 8-4 | 1-7 | 2-6 |
  4_8_6_1.0_2.5     11786.4      4692      3904     3190.4    0.00239105     Optimal     880.339	8-2-3-1-4-5-6-7    | 8-2 | 1-4-3 | 5- | 7-6 |
  5_8_6_1.0_2.5      8187.1      4356      2424     1407.1    0.00925872     Optimal     610.504	6-5-1-4-8-3-2-7    | 6-5 | 1- | 8-4 | 3- | 7-2 |
  1_8_6_1.5_0.5     13342.6      4293      4336     4713.6       30.2514    Feasible     3609.56	2-3-4-8-5-6-1-7    | 3-2-4 | 8-5 | 6- | 1-7 |
  2_8_6_1.5_0.5     10342.1      2022      2744     5576.1       45.4054    Feasible     3612.67	6-4-3-1-5-8-2-7    | 6-4-1-3 | 5-8 | 7-2 |
  3_8_6_1.5_0.5      9554.6      3218      2600     3736.6       31.2028    Feasible     3609.31	6-5-2-8-1-3-7-4    | 5-6 | 2- | 8-1 | 7-3-4 |
  4_8_6_1.5_0.5      9687.2      3589      3568     2530.2    0.00714027     Optimal     926.498	4-8-7-2-6-5-1-3    | 8-4 | 6-2-7 | 5- | 1-3 |
  5_8_6_1.5_0.5     12251.9      4562      3416     4273.9    0.00587831     Optimal     738.431	6-1-4-7-2-5-3-8    | 6- | 1-4 | 2-7 | 5-8-3 |
  1_8_6_1.5_1.0      7775.7      3702      2056     2017.7     0.0099989     Optimal     2085.39	8-3-4-6-5-7-1-2    | 3-8 | 4- | 5-6 | 7-1-2 |
  2_8_6_1.5_1.0     11227.5      3666      3176     4385.5       42.6945    Feasible     3611.17	7-8-4-5-2-1-6-3    | 7-8 | 5-4 | 2-1 | 3-6 |
  3_8_6_1.5_1.0      7248.8      4082      1768     1398.8    0.00806027     Optimal     311.273	6-4-1-2-5-7-8-3    | 6-4 | 1-2 | 5-7 | 8-3 |
  4_8_6_1.5_1.0      6165.7      4073      1184      908.7    0.00950632     Optimal     90.9454	8-7-2-4-5-1-6-3    | 8-7 | 2- | 4-5 | 1-6 | 3- |
  5_8_6_1.5_1.0     11433.1      4318      3040     4075.1    0.00973839     Optimal     1275.41	1-5-3-2-8-6-7-4    | 1-5 | 3-8-2 | 6- | 4-7 |
  1_8_6_1.5_1.5       12234      4865      5160       2209       32.1269    Feasible     3610.57	4-3-2-7-8-5-6-1    | 4-3 | 2- | 7- | 5-8 | 1-6 |
  2_8_6_1.5_1.5      6810.4      3426      1576     1808.4    0.00849174     Optimal      616.16	5-7-1-4-2-6-3-8    | 7-5 | 1- | 2-4 | 3-8-6 |
  3_8_6_1.5_1.5      9097.5      3609      2728     2760.5    0.00986832     Optimal      2223.8	3-5-8-7-4-1-6-2    | 7-3-8-5 | 4-1 | 2-6 |
  4_8_6_1.5_1.5     10422.9      3516      3096     3810.9    0.00680812     Optimal     2755.57	1-3-4-6-5-8-2-7    | 3-1-4 | 8-5-6 | 2-7 |
  5_8_6_1.5_1.5      7318.2      2437      2752     2129.2        20.738    Feasible     3609.61	1-2-3-5-4-6-7-8    | 1-2 | 3-5 | 4-6 | 7-8 |
  1_8_6_1.5_2.0     10612.6      4170      3088     3354.6    0.00950374     Optimal     2250.91	3-8-6-7-4-1-2-5    | 8-3 | 6-7 | 2-4-1 | 5- |
  2_8_6_1.5_2.0        8396      3533      2656       2207    0.00334065     Optimal     1129.77	4-7-3-6-8-2-5-1    | 3-4-7 | 8-6 | 1-5-2 |
  3_8_6_1.5_2.0     12457.7      3911      4528     4018.7       35.3825    Feasible     3610.02	6-2-3-1-8-4-5-7    | 6-2 | 3-1 | 8-4 | 7-5 |
  4_8_6_1.5_2.0      9224.6      3541      2576     3107.6        25.144    Feasible     3609.89	2-5-8-1-7-4-3-6    | 2-5 | 8- | 4-1-7 | 3-6 |
  5_8_6_1.5_2.0     10546.4      3638      3312     3596.4       33.2644    Feasible     3615.99	2-3-1-5-4-8-7-6    | 1-3-2 | 5- | 4-8 | 7-6 |
  1_8_6_1.5_2.5      7338.9      3120      2064     2154.9    0.00967041     Optimal     1270.49	1-5-6-7-2-8-3-4    | 5-1-6 | 7-2-8 | 4-3 |
  2_8_6_1.5_2.5      8004.8      3575      3064     1365.8    0.00216019     Optimal     1038.67	1-6-8-3-2-7-4-5    | 1-6 | 8-3-2 | 7- | 4-5 |
  3_8_6_1.5_2.5     10245.4      3278      2832     4135.4       33.6502    Feasible     3615.53	3-4-7-8-5-1-6-2    | 8-4-7-3 | 1-5-6 | 2- |
  4_8_6_1.5_2.5     11681.3      3860      4064     3757.3       38.3703    Feasible     3609.75	7-3-6-4-2-8-1-5    | 7-3 | 6- | 8-2-4 | 5-1 |
  5_8_6_1.5_2.5      9966.8      3961      3544     2461.8    0.00921902     Optimal     2914.84	6-5-7-8-1-4-2-3    | 5-6 | 7-8 | 1-4 | 2-3 |
  1_8_6_2.0_0.5     12286.2      3813      4440     4033.2       26.9828    Feasible      3609.8	1-6-7-3-4-5-2-8    | 1- | 6- | 7-3-4-5 | 8-2 |
  2_8_6_2.0_0.5      9256.1      2480      2712     4064.1       33.2797    Feasible      3609.7	4-1-8-2-7-6-5-3    | 4-1-8 | 7-2 | 3-5-6 |
  3_8_6_2.0_0.5      9930.1      3883      2248     3799.1       25.2652    Feasible     3610.07	2-5-3-8-6-7-4-1    | 2-5 | 3-6-8 | 4-1-7 |
  4_8_6_2.0_0.5     13608.9      4417      3272     5919.9    0.00971283     Optimal     2224.38	7-6-5-3-8-1-4-2    | 7-6 | 5- | 8-3 | 2-1-4 |
  5_8_6_2.0_0.5     10491.7      4810      3520     2161.7     0.0092376     Optimal     3584.12	6-8-4-2-7-3-1-5    | 6-8 | 4- | 2-7 | 3-1 | 5- |
  1_8_6_2.0_1.0     11379.7      4253      3112     4014.7       35.5703    Feasible     3609.65	5-8-2-7-4-1-6-3    | 8-5 | 2- | 1-7-4 | 3-6 |
  2_8_6_2.0_1.0      8650.5      3664      2624     2362.5     0.0095419     Optimal     1498.05	1-6-7-3-8-2-4-5    | 1-6 | 3-7 | 2-8 | 4-5 |
  3_8_6_2.0_1.0      8563.1      3083      2672     2808.1    0.00791928     Optimal     2198.37	6-4-8-5-7-1-2-3    | 6-4 | 5-8-7 | 2-1-3 |
  4_8_6_2.0_1.0     10423.2      4499      2968     2956.2       33.7473    Feasible     3609.96	8-3-4-5-1-2-6-7    | 8-3 | 5-4 | 2-1 | 7-6 |
  5_8_6_2.0_1.0      7788.3      3026      1912     2840.3    0.00920928     Optimal     1823.98	6-2-7-5-1-8-4-3    | 7-2-6 | 1-5 | 4-8-3 |
  1_8_6_2.0_1.5      8345.5      3530      1224     3591.5       12.6783    Feasible     3610.23	3-2-4-1-7-6-8-5    | 2-4-3 | 7-6-1 | 8-5 |
  2_8_6_2.0_1.5     10923.4      3990      3168     3765.4       21.7593    Feasible     3609.15	6-2-7-1-5-3-8-4    | 6- | 2-1-7 | 3-5 | 8-4 |
  3_8_6_2.0_1.5       10812      3133      3432       4247       43.6262    Feasible     3608.93	3-4-8-6-1-2-7-5    | 3-4-8 | 6-1-2 | 7-5 |
  4_8_6_2.0_1.5      9428.1      2619      2616     4193.1    0.00898755     Optimal     3175.39	8-6-1-2-4-5-3-7    | 8-1-2-6 | 4-5 | 7-3 |
  5_8_6_2.0_1.5      9894.7      2937      2048     4909.7    0.00886991     Optimal     2992.56	5-4-7-8-6-1-3-2    | 4-7-5 | 6-8 | 1-3-2 |
  1_8_6_2.0_2.0     12211.8      3692      4640     3879.8       29.8039    Feasible     3609.82	4-8-6-3-1-5-7-2    | 4- | 3-6-8 | 5-1 | 2-7 |
  2_8_6_2.0_2.0        9434      3174      3592       2668       19.9546    Feasible     3609.41	7-2-5-1-8-4-3-6    | 5-2-7 | 1- | 8- | 3-4-6 |
  3_8_6_2.0_2.0       10331      4389      3544       2398       24.5591    Feasible     3609.34	5-1-4-6-2-3-8-7    | 5-1 | 6-4 | 2- | 8-7-3 |
  4_8_6_2.0_2.0      9330.7      2712      2800     3818.7        40.665    Feasible     3615.44	5-6-8-2-1-7-4-3    | 5-6 | 1-8-2 | 4-7 | 3- |
  5_8_6_2.0_2.0      7778.9      2919      1904     2955.9    0.00960409     Optimal        2809	5-6-1-7-8-2-3-4    | 5-6-1 | 2-7-8 | 4-3 |
  1_8_6_2.0_2.5     10014.4      3399      3872     2743.4    0.00975518     Optimal     2913.09	8-3-4-6-2-7-5-1    | 4-8-3 | 6- | 2-7 | 5-1 |
  2_8_6_2.0_2.5     11141.2      4199      3624     3318.2       28.1018    Feasible        3610	5-2-7-3-1-6-4-8    | 2-5 | 7- | 3-1 | 6-8-4 |
  3_8_6_2.0_2.5      9031.8      3590      3320     2121.8       29.7273    Feasible     3610.32	2-6-5-7-1-4-3-8    | 2-6-5 | 1-7 | 4-3 | 8- |
  4_8_6_2.0_2.5      9801.8      3922      3192     2687.8    0.00992833     Optimal     745.782	3-7-1-4-2-8-5-6    | 7-3 | 1-4 | 2-8 | 6-5 |
  5_8_6_2.0_2.5      8727.5      4311      1928     2488.5    0.00753608     Optimal        2039	4-6-1-3-7-5-8-2    | 6-4-1 | 3- | 7-5 | 2-8 |
