       Instance   Obj_Value     Obj_1     Obj_2      OBj_3  RelativeGap%      Status     CPUtime	Processing_Order    Vehicle_Routes
  3_8_3_1.5_1.5      7619.4      2271      2128     3220.4             0     Optimal     152.432	1-4-7-2-3-6-5-8    | 7-1-4 | 2-6-3 | 5-8 |
  4_8_3_1.5_1.5      6803.9      1762      2600     2441.9             0     Optimal     279.148	6-8-3-2-7-4-1-5    | 6-8 | 7-3-2 | 4-5-1 |
  5_8_3_1.5_1.5      5664.4      1846      2000     1818.4    0.00386958     Optimal     234.446	3-2-4-1-5-6-7-8    | 2-3-4 | 5-1 | 7-6-8 |
  1_8_3_1.5_2.0        7883      2111      4112       1660             0     Optimal     232.955	7-3-4-5-2-8-1-6    | 3-7 | 4-8-2-5 | 6-1 |
  2_8_3_1.5_2.0      9167.3      1737      3664     3766.3    0.00822354     Optimal     953.209	5-6-2-8-7-3-1-4    | 2-6-5 | 7-3-8 | 4-1 |
  3_8_3_1.5_2.0      9153.9      1902      2680     4571.9    0.00494807     Optimal     399.862	1-7-4-8-6-2-5-3    | 1-7 | 6-8-4 | 3-2-5 |
  4_8_3_1.5_2.0      6621.9      1860      2368     2393.9    0.00283297     Optimal     176.429	5-8-1-3-7-4-6-2    | 1-5-8 | 3- | 7-6-4-2 |
  5_8_3_1.5_2.0      8437.4      1850      2888     3699.4    0.00948159     Optimal     266.014	5-6-1-2-4-8-7-3    | 5-1-6 | 8-4-2 | 3-7 |
  1_8_3_1.5_2.5      7511.4      1911      1936     3664.4    0.00168328     Optimal     549.539	7-1-8-4-3-5-2-6    | 7-1 | 8-4 | 5-2-6-3 |
  2_8_3_1.5_2.5      7311.3      1593      3488     2230.3             0     Optimal     217.503	4-8-7-6-1-5-3-2    | 4-8 | 5-6-1-7 | 3-2 |
  3_8_3_1.5_2.5      5998.2      1921      2288     1789.2             0     Optimal     150.824	4-2-7-5-1-6-8-3    | 2-7-4 | 1-6-5 | 3-8 |
