40_500_0.2 40_800_0.2 40_1000_0.2 40_500_0.3 40_800_0.3 40_1000_0.3 40_500_0.5 40_800_0.5 40_1000_0.5 50_500_0.2 50_800_0.2 50_1000_0.2 50_500_0.3 50_800_0.3 50_1000_0.3 50_500_0.5 50_800_0.5 50_1000_0.5 70_500_0.2 70_800_0.2 70_1000_0.2 70_500_0.3 70_800_0.3 70_1000_0.3 70_500_0.5 70_800_0.5 70_1000_0.5 OVER_1 OVER_2 OVER_3 OVER_4 OVER_5 OVER_6 OVER_7 OVER_8 OVER_9 OVER_10 OVER_11 OVER_12 OVER_13 OVER_14 OVER_15 OVER_16 OVER_17 OVER_18 OVER_19 OVER_20 OVER_21 OVER_22 OVER_23 OVER_24 OVER_25 OVER_26 OVER_27 TIME_1 TIME_2 TIME_3 TIME_4 TIME_5 TIME_6 TIME_7 TIME_8 TIME_9 TIME_10 TIME_11 TIME_12 TIME_13 TIME_14 TIME_15 TIME_16 TIME_17 TIME_18 TIME_19 TIME_20 TIME_21 TIME_22 TIME_23 TIME_24 TIME_25 TIME_26 TIME_27 
919428 900972 916090 901427 879821 873835 873014 892247 870661 989695 911202 868822 921262 839106 886544 862727 883838 869361 894660 886796 881539 878040 867536 851942 841064 931816 898807 0 0 0 0 0 0 0 0 0 74 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 0 1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2
974079 1.01407e+06 942401 984866 939434 956741 931052 968106 942297 985717 1.01077e+06 968638 1.00246e+06 906775 986452 1.04654e+06 940365 939834 930444 959734 971964 950460 857257 992679 909922 946246 906920 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 90 0 0 0 0 0 0 0 39 0 0 0 0 1 1 1 0 1 1 1 1 0 1 1 1 0 2 0 1 2 0 1 2 1 1 2 0 2 1
1.03207e+06 1.01514e+06 937622 979573 976508 933821 925611 961422 964997 1.02739e+06 1.05545e+06 969414 982304 970684 1.05751e+06 952694 946444 955944 988485 966444 996444 958913 1.03728e+06 888089 1.00495e+06 992894 903439 0 0 0 0 0 0 0 0 0 0 22 0 0 0 92 0 0 0 0 0 0 0 105 0 0 15 0 1 1 0 1 0 1 1 1 1 0 1 1 1 0 2 0 1 1 1 1 2 1 1 1 1 2 1
1.00384e+06 915069 911025 1.0127e+06 961743 939486 1.0522e+06 962655 962156 928204 966148 1.00144e+06 887704 876555 962950 956691 902510 900443 1.03767e+06 949543 908587 945225 997899 984443 887894 961023 947201 0 0 0 0 0 0 51 0 57 0 0 0 0 0 53 23 4 0 79 0 0 0 73 96 0 58 36 1 1 0 1 0 1 1 1 1 0 1 1 1 0 2 0 1 2 1 1 1 1 1 2 1 2 1
964156 962232 883619 932870 940432 878837 945684 861265 889596 978076 931500 876118 900942 949927 914876 903742 914233 911865 904808 905792 875021 906866 879923 901132 890398 946129 859702 0 1 0 0 0 0 0 0 0 0 0 13 0 22 0 0 0 0 0 0 0 0 0 0 0 51 0 1 0 1 1 0 1 1 1 1 0 1 1 1 1 1 0 1 2 0 2 1 1 1 1 1 2 1
1.09293e+06 994178 1.02531e+06 1.04014e+06 1.00622e+06 1.07825e+06 999464 1.01345e+06 980810 1.03077e+06 998408 1.01051e+06 1.00151e+06 974552 931747 1.03498e+06 985103 963572 1.01102e+06 966719 1.00388e+06 988058 991656 989809 964705 916757 969453 0 0 0 0 0 0 0 0 0 0 0 33 0 0 0 0 42 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 1 1 0 1 1 0 1 1 1 1 1 1 1 2 0 2 1 1 1 2
1.1122e+06 1.0229e+06 988524 1.02711e+06 997413 966596 991727 1.03866e+06 953839 1.00964e+06 956775 973191 997590 928248 976890 1.01412e+06 949888 970900 1.00841e+06 956727 1.01337e+06 987228 951826 993679 1.0064e+06 965636 986882 89 0 0 0 19 0 4 30 0 0 0 0 0 0 0 0 0 15 0 0 34 0 0 0 0 0 0 0 1 1 0 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 2 1 1 2
903048 944038 848913 901082 909780 884808 896390 862351 879427 878960 841614 905354 878045 853331 822318 865280 850437 863763 873392 858669 875138 841534 822735 786941 813148 859828 832539 0 31 0 0 0 0 50 0 29 0 0 0 0 0 11 0 0 0 0 31 17 0 0 0 0 18 0 0 1 1 0 1 1 0 1 1 1 0 2 0 1 1 1 1 1 1 1 2 0 2 1 1 1 2
874458 822212 899408 899329 827870 822972 844207 797035 810532 824936 815977 831868 828367 796834 824855 811569 803833 813343 878023 819294 805765 821074 801585 830024 824987 768158 727588 0 0 78 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 2 0 2 2
861571 869418 792575 799531 837113 843819 827484 824977 788118 856948 885315 904326 821618 776572 803481 831312 795383 801895 792598 838171 806717 822660 853314 809469 795175 871503 859847 0 0 0 0 0 0 19 33 0 0 0 60 0 0 4 0 0 30 0 0 31 0 0 0 0 105 85 0 1 0 1 1 0 1 1 1 0 1 1 1 1 1 0 1 2 0 2 1 1 1 2 1 1 2
1.10477e+06 1.14127e+06 1.10845e+06 1.1336e+06 1.13943e+06 1.17e+06 1.14126e+06 1.1702e+06 1.09233e+06 1.17226e+06 1.14626e+06 1.10625e+06 1.17602e+06 1.09235e+06 1.05821e+06 1.14455e+06 1.14087e+06 1.08996e+06 1.13444e+06 1.09741e+06 1.08171e+06 1.10076e+06 1.12453e+06 1.02722e+06 1.09348e+06 1.06979e+06 1.08663e+06 0 0 0 0 62 0 0 23 0 0 0 0 3 0 0 0 0 0 3 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 2 1 1 2
1.00017e+06 990108 978479 977518 911104 956154 932930 918093 918741 987687 974138 938074 973338 974006 952130 929672 911290 930243 944851 949334 951298 993464 923352 911660 949318 968111 922697 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 39 0 1 0 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 2 1 1 2
1.02519e+06 969978 1.01208e+06 984628 964844 962199 972996 965870 944549 978403 943202 920518 1.02516e+06 916067 960992 992218 960088 929917 984674 996539 955682 960858 958325 948288 983464 922560 904234 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 0 1 2 0 1 2 1 1 1 1 2 1
1.21814e+06 1.17236e+06 1.15707e+06 1.14039e+06 1.16095e+06 1.18152e+06 1.17059e+06 1.13161e+06 1.13505e+06 1.17297e+06 1.12392e+06 1.18703e+06 1.11383e+06 1.13484e+06 1.17213e+06 1.22535e+06 1.08902e+06 1.09213e+06 1.21869e+06 1.21783e+06 1.15243e+06 1.15133e+06 1.11897e+06 1.12689e+06 1.14893e+06 1.13041e+06 1.14181e+06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 2 0 2 1 1 1 2
987403 976229 943773 1.00407e+06 962249 931531 989063 966645 1.0256e+06 959676 1.00436e+06 965637 985283 927585 984739 959926 977926 1.01122e+06 1.02967e+06 1.00739e+06 918426 957399 948182 983673 945091 944693 987222 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 31 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 2 1 1 1 1 2 1
728833 730371 704210 747935 685656 710071 731903 740136 678457 743554 708166 680590 713451 720269 676661 744127 693758 709718 768881 669426 707923 701741 725369 672761 726075 671569 690984 0 0 0 0 0 0 0 41 0 0 0 0 0 22 0 0 0 0 0 0 0 0 7 0 0 27 47 1 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 2 2
837280 891725 788195 804104 824080 836369 805993 795341 825677 818469 925951 804303 921612 844745 795051 788298 772517 800968 805667 818394 790310 867040 760395 807774 845072 832876 767633 0 47 0 0 0 0 10 0 2 0 75 0 97 10 0 0 0 0 0 0 0 0 0 36 0 0 0 0 1 1 0 1 1 1 1 1 0 1 2 0 1 2 0 1 2 0 2 2 0 2 2 1 1 2
750908 822415 844149 829673 824174 870997 723922 784549 769945 800625 731072 769478 828761 833838 742253 754958 781307 795629 809237 720328 741681 841232 723826 785873 765122 780281 743061 0 13 54 0 62 119 0 42 26 0 0 0 48 53 0 0 9 72 0 2 21 79 0 48 7 59 9 0 1 1 1 1 1 0 1 2 0 1 1 1 1 1 1 1 2 1 1 2 1 1 2 1 2 2
831146 812586 841793 848074 816304 899371 824692 780555 811348 843818 855954 848567 814905 812927 788720 806842 872237 779421 855550 845514 792557 838405 791675 843773 827130 804745 797551 0 0 0 0 0 79 0 0 0 0 26 25 0 0 0 0 41 0 0 9 0 0 0 23 0 0 0 1 0 1 1 0 2 0 1 1 1 0 2 0 1 2 0 1 2 1 1 1 1 2 2 1 1 2
864444 816996 928936 813233 852978 758234 793343 774219 777706 816442 823990 852102 846521 805014 832957 796582 819009 827969 763656 778193 808728 816060 791443 764084 788815 788364 775423 0 0 94 0 0 0 12 0 0 0 0 44 0 17 0 0 14 46 0 0 0 0 16 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 2 0 2 1 0 2 1 1 1 2 0 2 1 1 2 2
984692 886823 923431 924192 967352 1.04232e+06 991932 912107 872926 970860 937214 931139 1.00773e+06 902457 977400 1.17703e+06 916278 934639 1.01131e+06 950119 892037 1.01045e+06 954238 934824 916733 967120 971933 23 0 0 0 0 102 10 0 0 0 0 0 55 0 85 219 0 9 41 0 0 77 58 0 0 0 41 0 1 1 1 0 1 1 1 1 0 1 1 1 1 2 0 2 1 1 1 2 1 1 2 1 1 2
970393 889093 876659 932647 857528 918886 906105 865097 845470 906862 860535 867885 872739 898285 908646 905780 841421 909557 911468 891321 964601 896440 874845 857331 934924 877173 881449 0 0 0 0 0 22 0 0 0 27 0 0 0 0 14 14 0 35 0 0 74 0 0 0 33 0 0 1 0 1 1 0 2 0 1 1 1 1 1 0 1 2 0 1 2 1 1 2 1 1 2 1 1 2
840255 792151 773026 823940 782902 758340 783243 852083 748087 848844 782652 721082 789596 817764 792735 817232 774269 743544 797359 845671 736841 795489 790172 742451 801590 767748 757960 13 0 0 0 0 0 0 62 0 32 0 0 0 0 0 0 0 0 5 12 0 0 5 0 0 0 0 1 0 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 2 0 2 1 1 1 2 1 2 2
936855 1.08343e+06 949449 927953 888752 850402 939803 903837 882217 904520 903353 900824 895218 873909 831148 882180 866226 878574 927303 902036 891591 916119 866143 930541 908108 875496 882844 0 137 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 0 1 2 1 1 1 1 1 2 1 2 1
