40_500_0.2 40_800_0.2 40_1000_0.2 40_500_0.3 40_800_0.3 40_1000_0.3 40_500_0.5 40_800_0.5 40_1000_0.5 50_500_0.2 50_800_0.2 50_1000_0.2 50_500_0.3 50_800_0.3 50_1000_0.3 50_500_0.5 50_800_0.5 50_1000_0.5 70_500_0.2 70_800_0.2 70_1000_0.2 70_500_0.3 70_800_0.3 70_1000_0.3 70_500_0.5 70_800_0.5 70_1000_0.5 OVER_1 OVER_2 OVER_3 OVER_4 OVER_5 OVER_6 OVER_7 OVER_8 OVER_9 OVER_10 OVER_11 OVER_12 OVER_13 OVER_14 OVER_15 OVER_16 OVER_17 OVER_18 OVER_19 OVER_20 OVER_21 OVER_22 OVER_23 OVER_24 OVER_25 OVER_26 OVER_27 TIME_1 TIME_2 TIME_3 TIME_4 TIME_5 TIME_6 TIME_7 TIME_8 TIME_9 TIME_10 TIME_11 TIME_12 TIME_13 TIME_14 TIME_15 TIME_16 TIME_17 TIME_18 TIME_19 TIME_20 TIME_21 TIME_22 TIME_23 TIME_24 TIME_25 TIME_26 TIME_27 
334904 342793 328210 316226 328126 293548 320225 302894 315135 340559 325287 316290 340436 324625 341288 331522 309674 323264 329165 339365 312691 319187 331986 330049 307622 365608 325434 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43 0 0 0 1 0 1 0 1 0 1 0 0 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 2
368430 330089 308056 346641 336182 311698 311593 324259 290101 322135 318377 308963 317208 357026 377937 321710 328596 320922 337907 318704 330011 317632 346326 322817 303799 342349 335117 32 0 0 15 0 0 0 0 0 0 0 0 0 12 39 0 0 0 12 0 0 0 23 0 0 15 0 0 0 1 0 1 0 0 1 1 0 0 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1
356949 339011 357919 356594 358344 353196 389884 360322 347014 365786 367783 352865 405713 350827 375206 365106 347247 342950 328796 344502 314540 362616 359262 349493 379943 321572 336416 0 0 0 0 0 0 33 0 16 19 0 0 33 0 23 0 0 0 0 0 0 0 0 0 38 0 0 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 1 1 1 1
362914 366126 335000 387862 346321 339522 348526 344829 361282 362375 376512 364561 335461 353498 360748 375008 361690 337593 368279 351110 406420 347141 343426 348698 356340 405888 360339 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 45 0 0 0 0 56 0 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 1 1 1 1
332344 350645 332872 339201 328631 339821 335971 341894 317222 308521 294428 299942 331534 328848 336203 310251 298594 315742 329198 318075 326751 320104 330554 326002 336325 333594 332161 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 11 0 0 0 0 1 0 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 1 1 1 1
386256 385152 389799 393624 386107 387356 462067 390769 443255 378248 384121 360643 380885 354594 383491 375800 370020 376024 372496 369345 408320 362009 358375 380441 399123 383746 366583 0 0 0 0 0 0 85 0 66 0 0 0 0 0 15 0 0 0 12 0 0 0 0 0 12 0 0 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 1 1 0 1 1 1 1
402277 368740 394491 407838 363901 374371 383418 394511 368026 384654 413899 422508 393215 389905 387794 416145 374078 416109 396237 385840 389370 394012 379609 373553 394362 410515 416035 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 39 0 0 0 0 0 0 0 0 0 0 29 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 1 1 1 1
340302 342711 336413 316346 297532 326516 342986 325816 310954 329470 315748 324971 306778 332304 316451 331482 306487 298819 327284 348203 340079 324146 330990 311060 298564 334510 303610 0 0 13 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 1 1 1 1
387196 368571 503964 342224 356170 375219 377385 350081 347185 369993 377660 401639 395027 348099 357954 384866 360338 345670 369388 374317 357254 350892 357921 393846 375341 342968 350434 0 0 120 0 0 0 0 0 0 0 0 53 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 1 1 0 2
400139 350514 355518 373919 401364 358761 357593 356600 338375 383352 352636 353395 360179 341782 355564 371112 337438 345691 366818 389789 401036 363943 352080 373475 349393 355724 354450 0 0 0 0 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 41 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 0 1 0 1 1 0 1 0 1 1 1 0 1 1 0 1 1
