40_500_0.2 40_800_0.2 40_1000_0.2 40_500_0.3 40_800_0.3 40_1000_0.3 40_500_0.5 40_800_0.5 40_1000_0.5 50_500_0.2 50_800_0.2 50_1000_0.2 50_500_0.3 50_800_0.3 50_1000_0.3 50_500_0.5 50_800_0.5 50_1000_0.5 70_500_0.2 70_800_0.2 70_1000_0.2 70_500_0.3 70_800_0.3 70_1000_0.3 70_500_0.5 70_800_0.5 70_1000_0.5 OVER_1 OVER_2 OVER_3 OVER_4 OVER_5 OVER_6 OVER_7 OVER_8 OVER_9 OVER_10 OVER_11 OVER_12 OVER_13 OVER_14 OVER_15 OVER_16 OVER_17 OVER_18 OVER_19 OVER_20 OVER_21 OVER_22 OVER_23 OVER_24 OVER_25 OVER_26 OVER_27 TIME_1 TIME_2 TIME_3 TIME_4 TIME_5 TIME_6 TIME_7 TIME_8 TIME_9 TIME_10 TIME_11 TIME_12 TIME_13 TIME_14 TIME_15 TIME_16 TIME_17 TIME_18 TIME_19 TIME_20 TIME_21 TIME_22 TIME_23 TIME_24 TIME_25 TIME_26 TIME_27 
337224 339857 325064 351716 391579 327308 308579 308700 338978 357792 340333 306100 316787 354201 350723 295860 324088 312588 352973 319089 326293 311401 323520 320275 353222 298917 335125 0 0 11 0 62 0 0 0 0 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 48 0 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 1 1 1 0 1 1
338199 340162 310534 321275 345236 300762 307805 310154 326287 342206 340457 329293 332230 341656 309459 311333 332750 316468 321913 313980 317720 344545 320500 320014 327252 326671 317852 0 2 0 0 0 0 0 0 0 11 4 0 0 0 0 0 8 0 0 0 1 13 0 0 0 0 0 0 1 0 1 0 1 0 0 1 0 1 1 0 0 1 1 0 1 0 1 1 1 1 1 0 1 1
355625 343472 353624 335869 361880 335507 336353 375567 359797 378793 367008 319202 336679 335241 356417 338165 338474 350628 360382 345580 349087 365036 337164 375700 337748 338324 329256 0 0 0 0 0 0 0 51 0 9 0 0 0 0 0 0 0 0 14 0 0 38 0 24 0 0 0 0 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 1 1 0 1 1 1 1 0 1 1
386931 355662 373501 362810 365282 350248 358173 343700 337632 412139 376431 349743 361564 376560 365034 345712 375066 349113 420361 365065 340081 360693 381112 346893 355454 325618 354874 0 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 0 0 54 0 0 10 10 0 0 0 0 0 1 0 1 0 1 0 1 0 0 1 1 0 1 0 1 0 1 1 0 1 1 1 1 0 1 1
326097 310144 329856 301690 337623 306303 364695 320721 312552 327732 321356 340182 343928 299034 315512 321366 314011 344168 341199 338827 312582 329613 318788 290630 308620 319312 326495 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 1 1 1 0 1 1
386394 377838 380591 431405 369337 363936 367000 372920 376253 449387 385698 390102 385635 358160 354541 390853 357979 371634 369119 381601 383255 351750 361036 385566 381029 368534 384414 0 0 0 35 0 0 0 0 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 1 0 1 1 1 0 1 1
420900 380930 391561 378578 391386 408342 390620 382028 393496 397162 397272 405025 397751 395584 370416 401451 373165 435585 391402 398314 430770 402534 402549 513053 376625 385943 432602 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 38 0 0 23 0 0 120 0 0 46 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 1 1 1 1 0 2
326912 350374 317853 310083 321465 383040 319429 327626 306081 326645 423725 302990 333255 331976 331808 327866 317642 321170 309309 324402 348893 314048 312999 330758 337989 321565 319069 0 3 0 0 0 56 0 0 0 0 87 0 0 0 0 0 0 0 0 0 28 0 0 0 0 0 22 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 1 1 1 1
353672 372652 367114 377327 377200 382982 359679 358049 379706 388135 342260 360798 361642 370855 425078 347593 358520 354899 376308 370090 386562 349154 389408 365166 346363 356262 365816 0 0 10 0 0 0 0 0 0 0 0 0 3 0 65 0 0 0 0 0 0 0 18 0 0 0 0 0 1 0 0 1 0 1 0 1 0 1 1 0 0 1 1 0 1 0 1 1 1 0 1 1 1 1
358087 364625 368160 422898 336761 386009 367448 348697 347381 372653 359978 366429 376099 326499 338520 343890 360168 354526 357750 373270 344757 351907 358801 369741 357748 330422 332270 0 0 1 46 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 1 1 1 1
411614 427177 396390 382870 414802 411215 404856 372598 400574 402929 438573 403999 409797 402317 434276 403599 375120 432137 395502 384946 416638 399566 394470 390864 428355 409620 391830 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 0 0 1 0 1 1 0 1 0 1 1 1 0 1 1 0 1 1
360390 376381 344259 385273 337282 336375 373615 359786 359252 393859 345813 358964 379443 368999 352732 388813 363653 331728 361118 359216 359009 357558 351420 339174 354388 341464 322924 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 1 1 0 1 1 0 1 1
349425 342711 346004 363440 355211 341265 374332 339709 333142 347495 408367 384113 347828 345338 337349 337810 352573 348740 342104 356414 377070 351549 320696 385660 337507 329228 367089 0 0 0 0 0 0 0 0 0 0 65 42 0 0 0 0 0 0 0 0 47 0 0 49 0 0 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 1 1 0 1 1 1 0 2
418599 364303 397481 376492 381979 383798 400767 358597 354595 395361 372317 399548 372299 387886 405365 366632 401118 377394 372308 392987 366891 393764 358098 375693 346926 370333 358450 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 1 1 1 0 1 1
386071 415361 411580 403136 392552 414082 406869 407189 386558 413758 391601 400994 423360 410835 376231 395405 375941 388982 402863 427074 407709 384800 392933 395141 418470 387804 378573 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 1 1 1 1
360970 379435 358600 354518 383151 360350 358063 363141 356579 382693 384393 375886 370894 362211 366749 373206 363558 370187 377369 364990 349011 374705 359829 385368 348939 401447 360648 0 8 0 0 0 6 0 5 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 7 0 0 0 0 0 1 0 1 1 0 0 1 1 0 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1
283589 269014 300049 263750 273913 270085 269826 244587 313668 316876 324075 270362 366936 255725 260062 264325 256565 251481 282283 251358 259030 272927 270606 273978 254062 251988 354314 20 0 33 0 0 4 0 0 48 34 59 4 90 0 0 0 0 0 18 0 0 0 0 0 0 0 100 0 1 0 1 0 1 0 1 1 0 1 0 1 1 0 1 0 1 1 1 1 0 1 1 1 1 1
313400 306605 305851 318641 313180 301454 317280 329504 317124 349401 306491 325882 337063 322838 322115 306700 324761 312790 302128 310654 315420 317407 308539 329357 321505 315058 302818 0 0 0 0 0 0 0 5 0 0 0 0 24 0 0 0 13 3 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 1 1 0 1 1 0 1 0 1 1 1 0 1 1 1 0 2 0 1 1
323670 315380 401098 309894 336979 311368 319587 334329 293821 332063 321571 327303 315320 301613 307477 343282 321860 292713 380334 313441 308721 311501 314622 305892 304000 309647 307821 0 0 51 0 0 0 0 13 0 0 0 0 0 0 0 34 0 0 44 0 0 0 0 0 3 0 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 1 0 1 1 1 0 1 1 1 1 1
385638 420982 408628 408552 373764 380552 407078 416722 371140 425563 393647 382686 382664 376525 391601 395075 387160 440670 373526 394307 381377 365028 371620 348617 420940 380943 399694 0 0 0 14 0 0 37 0 0 34 12 0 0 0 18 0 26 65 0 0 0 0 0 0 37 0 8 1 0 1 0 0 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 0 1 2
360852 333904 318503 346226 345354 335931 469534 332590 348940 354537 330978 332972 372044 332264 328377 351059 320748 328654 321159 329036 316275 323394 343454 348428 348819 325706 326481 0 0 0 0 0 0 110 0 0 0 0 0 24 0 0 0 0 0 0 0 0 0 0 5 24 0 0 0 1 0 0 1 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 1 1 0 2 0 1 2
327509 312911 307731 325979 313342 359333 306880 309108 310356 321095 314947 334474 308221 322187 306971 312083 310122 320192 320877 303700 324629 303166 292500 308933 308454 323413 298798 0 0 0 0 8 59 0 0 0 0 0 0 0 0 2 0 0 8 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 0 1 2
384675 381757 377216 403246 371842 373403 374069 367177 350475 414248 369448 384753 358686 361227 351336 374341 379344 358354 363236 357691 363611 377358 373487 360760 357564 377977 360070 0 17 0 26 0 0 0 0 0 45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1
371184 387968 399218 374227 472197 384499 381988 354226 358306 376094 360968 371311 382123 378313 360122 347420 375644 350132 334825 345820 379706 382418 359768 362622 405403 379833 353004 0 0 0 0 76 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 1 1 0 0 1 0 1 1 0 1 0 1 0 1 0 1 1 1 0 1 1 1 1 1 0 2
358987 351547 356653 348806 369690 343985 363059 368001 353226 361211 347473 363195 361029 413857 365536 356943 357464 353703 365918 348330 353769 356414 338352 342978 351009 347173 347641 0 0 12 0 0 0 0 0 0 0 0 18 0 60 0 2 0 0 0 0 0 10 0 0 0 0 0 0 0 1 0 1 1 0 0 1 1 0 1 0 1 1 0 1 1 0 1 1 1 1 1 0 1 2
348811 354591 360359 346703 343236 342112 348087 350612 356990 355625 340840 338502 344155 356984 347612 338579 335777 364715 320342 337144 347010 339776 338061 329318 327679 341400 324390 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 1 0 1 1 1 0 1 1 1 1 1
341738 336979 331499 316277 323953 365230 330737 336274 326234 330551 347782 314975 323211 311961 330457 323056 352150 325820 343490 329177 352145 336553 334123 305192 319740 309842 320088 0 0 0 0 0 11 0 0 4 0 6 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 1 0 1 1 0 1 0 1 0 1 1 1 1 0 1 1 1 1 1
333664 339462 333209 329969 327370 338613 333142 325047 333708 347424 324684 331890 332964 424085 325224 342762 337802 315184 331144 335242 332874 312397 333654 338062 327002 325120 315825 0 0 0 0 0 0 0 0 0 0 0 0 0 79 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 1 0 1 0 1 1 0 1 0 1 1 1 1 0 1 1 1 1 1
375683 359311 345929 379623 348290 370138 364879 363468 362072 366066 359943 444807 367342 365805 353925 347606 350189 354719 371802 409619 349658 347273 360925 361481 355924 359876 354844 0 0 0 13 0 0 0 0 0 0 0 64 0 0 0 0 0 0 0 48 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 1 0 1 1 1 1 0 1 1 1 1
352050 337197 329678 335062 334238 333333 326252 328572 341474 325504 317857 341590 342335 346733 346868 337850 333485 329337 330301 319223 322913 336002 335833 354389 327755 337338 335230 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 1 0 1 0 1 0 1 1 1 0 1 1 1 1 1 0 2
338553 327565 315830 338134 315367 326012 338857 317262 318268 338647 320295 341033 327775 323908 317146 309704 318005 328290 352710 318639 308155 330514 326963 321354 314967 341149 346186 0 0 0 0 0 0 0 0 0 0 0 18 0 0 0 0 1 0 31 0 0 0 0 7 0 19 9 0 1 0 0 1 1 0 1 0 1 0 1 1 0 1 0 1 1 1 1 1 0 1 2 0 1 2
336370 326219 339883 326692 313058 335423 304892 317926 363863 328769 312319 342439 327677 331201 366038 333874 330412 326313 321534 321801 319043 326554 334030 339542 325522 381335 345933 0 0 0 0 0 4 0 0 41 0 0 0 0 0 38 0 0 13 0 0 0 0 4 0 0 37 34 0 1 0 1 0 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 0 1 2 0 2 1
328299 309871 313215 309165 308986 313646 326790 315714 304297 373325 310104 304796 324058 303103 346761 306900 318657 344307 298696 303024 302328 305030 302165 311691 310566 397195 316348 0 0 0 0 0 0 0 0 0 49 0 0 2 0 49 0 5 32 0 0 0 0 0 0 0 90 0 0 1 1 0 0 1 1 0 1 0 1 1 0 1 1 0 1 1 1 1 1 0 1 2 0 1 2
351046 352048 330138 323163 356879 321539 325867 332389 352202 352496 345776 340780 328223 366017 373724 356633 334704 359554 326378 341307 334804 342115 335176 323151 336018 330387 334331 0 0 0 0 0 0 0 0 30 2 0 0 0 6 24 14 0 31 0 16 0 0 0 0 3 0 3 0 1 0 1 0 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 2
295922 251132 272327 257746 262344 275908 265240 261966 255290 278039 283181 267584 261404 270992 294826 286668 252805 250486 268685 248870 283703 260400 267373 260288 262308 279552 235722 24 0 0 0 0 18 0 5 0 9 0 0 0 0 24 16 0 0 0 0 29 0 0 0 0 0 0 0 1 1 0 0 1 1 0 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 0 1 2
367163 359138 373081 373366 347743 378760 362768 354877 351516 363660 367526 378201 376891 380655 363701 357692 363532 347988 354330 363496 359243 355253 355688 358826 354945 350764 367470 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 0 1 2
409993 397284 403344 460668 401942 405209 395313 413782 378627 406262 418621 402155 395419 395788 401557 392114 382353 385552 400736 404477 390432 381616 393430 407022 398082 391174 394192 0 0 0 32 0 0 0 17 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 1 0 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 1
275795 284175 285331 283012 278651 265388 264242 279289 299077 291826 271171 323925 285187 279090 297157 287771 274792 261094 282255 282341 282331 277509 272971 280487 277015 286149 278991 0 0 0 0 0 0 0 0 0 0 0 39 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 0 2 1
308959 294980 298911 292741 302904 283467 303141 291610 297362 311451 305236 296737 295877 283044 303922 296495 304167 297931 317183 288652 286920 301205 290018 294220 384110 285662 287533 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 86 0 0 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 1 1 0 2 0 1 1 1 1 1
327584 320610 320279 314716 313447 323247 308417 315531 330241 301000 337567 329968 314799 302427 312540 328054 314401 317868 321727 354811 321148 342195 307968 307229 320990 321365 312736 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 47 0 6 0 0 0 0 12 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 1 1 0 1 1 1 1 1 0 1 2
413061 398080 393169 383958 399634 393050 389984 391452 403078 380117 396670 384032 390756 373984 379606 389120 395119 392533 390630 380870 379292 393473 384636 379347 385891 379141 383609 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 1 0 1 0 1 0 1 1 0 1 1 1 1 0 1 1 1 1 1
389429 375221 386676 399994 380140 389782 396872 387515 386030 369196 396805 370440 386876 373783 390041 389028 348756 372655 382318 375498 368883 377145 391612 368779 368399 384329 383997 0 0 5 0 0 0 9 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 0 1 2
396331 361866 364538 366319 351768 366136 360356 375102 343803 359770 370671 346470 365174 372157 354825 366946 368435 355550 364172 367195 369225 370729 339450 367458 351038 349227 367798 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 1 0 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1
335001 339584 331590 332032 336917 329536 335437 318970 336955 341921 337129 329160 339213 321500 315791 321262 364909 337108 327063 321693 331294 314074 323076 312768 338105 336116 327418 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1
334850 360319 336058 331342 328218 328912 379486 331254 315786 332589 346488 324015 321871 335826 324376 330806 312690 329943 312793 329720 314533 335053 327321 331293 324312 332759 313611 0 21 7 0 0 0 49 0 31 0 15 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 0 0 1 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1
385562 282957 299369 285795 290254 325887 287801 290056 305628 327560 316669 294570 282059 266339 284027 296474 286788 282348 286548 285965 289029 281127 276610 319745 299934 292129 296734 83 0 0 0 0 37 0 0 0 8 25 6 0 0 0 0 0 0 0 0 0 0 0 22 14 0 32 0 1 0 1 0 1 1 0 1 0 1 1 0 1 1 0 1 1 1 0 2 0 1 1 1 1 2
354324 374105 320861 330731 316892 311824 317164 314422 312856 317776 320600 324272 321847 343616 415396 314701 338619 310455 331115 326692 325678 348535 354014 323385 313823 321361 311539 6 62 0 0 0 0 0 0 0 0 0 0 0 26 87 0 23 0 0 0 4 27 43 0 0 0 0 0 1 0 1 0 1 0 1 1 0 1 0 1 1 1 0 1 1 1 0 2 0 2 1 0 1 2
313006 428130 316484 322448 313293 362058 341232 333676 315577 345778 332507 370388 311077 357208 374352 346862 337610 324263 366761 348754 377967 318026 309878 312871 313601 314819 352606 4 112 0 0 0 41 21 26 0 33 0 44 0 44 69 27 24 0 43 29 63 6 0 0 0 0 40 0 1 0 1 0 1 1 0 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1
294260 293352 288402 295804 281355 282514 284062 341183 274010 293441 284251 283604 290389 295568 294432 282416 318128 290150 288574 297862 281256 283647 291467 291020 291867 275248 283892 0 0 0 0 0 0 0 53 0 0 0 0 0 0 0 0 27 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1
360233 325756 321376 309486 331277 375386 329489 321819 321712 329636 362818 322382 339413 330672 349175 329217 340566 353099 331490 339657 332238 322412 368096 323141 358869 318401 353545 27 0 0 0 0 49 0 0 0 0 26 0 1 0 24 0 0 31 0 19 14 1 50 0 33 0 27 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 2
351015 357395 352770 359159 351667 357317 367344 361846 363658 363608 355722 359876 361730 347034 346583 351649 351837 361507 360658 347131 359477 349746 356644 354192 342852 385962 352197 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35 2 0 1 0 1 0 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 2 0 1 1 1 1 2
318174 324971 319447 318157 320086 311332 308664 305038 324163 314738 313644 307746 325014 310758 306315 316863 301732 331138 315323 330679 314452 319020 328586 315590 319227 305416 301235 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 2 0 0 0 1 0 1 1 0 1 0 1 0 1 1 0 1 1 0 1 1 1 1 1 0 2 0 2 1
309089 293484 273024 278473 287515 268293 281624 281717 265144 275979 281810 284618 279090 287336 287251 329127 331793 272750 285244 290462 315551 271302 269183 281458 284598 273429 275641 8 0 0 0 0 0 0 0 0 0 0 8 0 5 10 62 47 0 0 0 39 0 0 0 0 0 0 0 1 0 1 0 1 0 1 1 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1
309942 310470 307768 315569 307749 313618 332760 316161 317457 312727 332434 296758 301474 303145 293121 305175 326178 298389 319098 292796 311219 304115 326182 311791 302096 309528 301374 0 0 0 0 0 0 15 0 0 0 28 0 0 0 0 0 12 0 0 0 0 0 29 0 0 0 0 0 1 0 1 0 1 0 1 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1
308274 306881 315468 297500 310221 298590 330019 306930 305833 299986 307700 307402 304484 322954 309285 354053 302512 315767 334828 330869 314672 310314 302626 301958 307541 311613 313571 0 0 6 0 0 0 12 0 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1
381634 385873 365498 383968 371985 379008 350888 375377 375222 381112 363876 378084 389873 371705 376873 379947 380734 370097 373657 363610 379166 366315 370419 369559 368717 351575 373199 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1
393984 388457 386435 404646 400061 388657 398209 397351 372982 416569 453689 375511 404877 392234 391612 440849 383077 394126 389048 393055 389013 417725 397934 357062 385834 382201 438302 0 0 0 0 0 0 0 0 0 15 60 0 0 0 0 79 0 7 0 0 0 27 0 0 0 3 47 0 1 0 1 0 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 2
393709 367068 347616 326702 334292 322797 345927 329022 372288 330910 363446 323405 325429 363957 324482 347834 376113 336974 333266 316215 323518 392859 366311 342546 319735 303683 320631 48 8 29 0 2 9 28 9 50 0 35 0 0 25 0 0 65 15 0 0 0 57 0 0 0 0 0 0 1 1 0 1 0 1 0 1 1 0 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 1
287837 288426 290593 323336 304786 324980 289387 288387 291483 303821 310846 285055 293466 281889 271646 287617 280503 294446 285724 293764 287859 292373 279953 295064 288959 288575 310532 0 0 2 28 0 41 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 1 0 23 0 1 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 1 1 0 2 0 1 1 1 1 2
341204 339862 338603 339655 335927 332935 330257 332202 334600 329497 338020 332678 338310 326548 335171 317539 348332 325144 344742 345191 322174 326353 333222 324958 328553 349236 328390 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 1 1 0 1 1 1 1 1 1 0 1 2
