       Instance   Obj_Value     Obj_1     Obj_2      OBj_3  RelativeGap%      Status     CPUtime	Processing_Order    Vehicle_Routes
 1_15_3_1.0_0.5     34587.6      2979      5040      26565       80.3922    Feasible     15.0696	4-11-9-12-15-3-2-5-8-1-13-6-7-10-14     [0] 11-4-9-12-15 [1] 3-8-13-2-1-5 [2] 6-14-10-7
 2_15_3_1.0_0.5     36079.3      3966      5685      26425        79.215    Feasible     15.0454	15-8-1-9-4-7-2-10-11-13-5-3-6-14-12     [1] 8-9-1-15 [2] 13-2-11-10-7-4 [0] 3-14-12-5-6
 3_15_3_1.0_0.5     38765.1      3042      7425      28293        76.248    Feasible      15.082	1-11-6-10-7-9-3-2-4-14-15-13-12-5-8     [2] 9-7-10-6-11-1 [0] 15-4-2-3-14 [1] 12-8-13-5
 4_15_3_1.0_0.5     49028.3      3393      5640      39989       84.3055    Feasible      15.102	10-14-1-5-13-3-2-4-11-7-15-9-12-6-8     [1] 14-10-1-5 [0] 9-4-3-15-13 [2] 7-11-6-12-8-2
 5_15_3_1.0_0.5     42510.6      3026      5715      33766       81.8936    Feasible     15.0408	3-4-5-2-12-6-14-8-9-13-7-10-1-11-15     [0] 6-8-4-9-12-14 [1] 3-5-2-13-7-10 [2] 1-15-11
 1_15_3_1.0_1.0     47995.1      3542      9285      35157       76.4101    Feasible     15.0345	2-6-3-11-5-1-9-4-7-12-13-8-15-14-10     [2] 2-11-5-6 [1] 13-7-4-15-12-1-9-8 [0] 3-10-14
 2_15_3_1.0_1.0     28521.2      2598      4980      20939       76.3152    Feasible     15.0237	1-3-4-6-7-8-10-9-15-14-5-11-12-2-13     [0] 6-4-3-1 [2] 14-9-7-10-8-15 [1] 13-12-11-5-2
 3_15_3_1.0_1.0     43476.2      3938      7980      31553       75.8362    Feasible     15.0785	2-5-4-3-6-8-13-12-9-11-10-14-1-7-15     [1] 8-4-6-3-2-5-13 [0] 10-14-11-12-9 [2] 15-1-7
